'an'lie 暗裂
'ban'ming'liao 半明料
'bian'jiao'liao 边角料
'bian'tiao'zhuo 扁条镯
'bing'dou'zhong 冰豆种
'bing'nuo'zhong 冰糯种
'bing'zhong 冰种
'bo'li'zhong 玻璃种
'chun'dai'cai 春带彩
'dan'mian 蛋面
'di'zi'gan'jing 底子干净
'dou'zhong 豆种
'dou'zi 豆紫
'fei'liao 肥料
'fen'zi 粉紫
'gao'bing'zhong 高冰种
'gui'fei'zhuo 贵妃镯
'jie'mian 戒面
'jin'xiang'yu 金镶玉
'lan'zi 蓝紫
'lie'wen 裂纹
'ma'an'mian 马鞍面
'ming'liao 明料
'ming'lie 明裂
'nuo'zhong 糯种
'qi'jiao 起胶
'qi'ying 起荧
'qian'biao'lie 浅表裂
'qie'zi 茄紫
'shi'wen 石纹
'shui'tou 水头
'wen'lie 纹裂
'wu'wen'lie 无纹裂
'xi'dou'zhong 细豆种
'xi'nuo'zhong 细糯种
'xian'wei'bian'jing'jie'gou 纤维变晶结构
'xian'wei'zhu'li'jiao'zhi'jie'gou 纤维柱粒交织结构
'xian'wei'zhu'zhuang'jiao'zhi'jie'gou 纤维柱状交织结构
'xu'zhuang'mian 絮状棉
'xue'hua'mian 雪花棉
'yan'zi 艳紫
'yin'xiang'gua'jian 银镶挂件
'you'qing'zhong 油青种
'yuan'tiao'zhuo 圆条镯
'zhong'di'xi'ni 种地细腻
'zhong'shui'se 种水色
'zhong'shui'se'di'gong'xia 种水色底工瑕
'zhuo'bi 镯臂
'zhuo'nei'wai'bi 镯内外壁
'zhuo'xin'liao 镯芯料
