'ben'shu'jiang'shu'le 本书讲述了
'bian'ma'shu'ju 编码数据
'bian'yi 编译
'bian'zhu 编著
'bian'zhuan 编撰
'chang'pian'xiao'shuo 长篇小说
'chu'ban'fa'xing 出版发行
'chu'ban'guo'bie 出版国别
'chu'ban'she 出版社
'chu'ban'ti'shi 出版提示
'cong'bian'xiang 丛编项
'dang'dai 当代
'di'ban 第版
'di'er'ze'ren'zhe 第二责任者
'di'yi'ze'ren'zhe 第一责任者
'fen'lei'hao 分类号
'fu'zhu'xiang 附注项
'hui'zhi 绘制
'pu'tong'zhu'ti 普通主题
'ren'ming'deng'tong 人名等同
'ti'ming'ze'ren 提名责任
'ti'yao'wen'zhai 提要文摘
'xian'dai 现代
'xing'tai'te'zheng 形态特征
'xiu'ding'ban 修订版
'zai'ti'xing'tai 载体形态
'zhai'yao 摘要
'zhong'guo'fen'lei 中国分类
'zhong'wen 中文
'zhu'ti'ci 主题词
'zong'ji 总集
'zuo'pin'yu'zhong 作品语种
