'an'fu 暗敷
'an'quan'cuo'shi 安全措施
'an'quan'fang'fan'she'shi 安全防范设施
'an'zhuang 暗装
'bao'jing'xin'hao 报警信号
'ben'gong'cheng 本工程
'bi'lei'dai 避雷带
'bian'dian'suo 变电所
'biao'ju'shu'ju'yuan'chuan'xi'tong 表具数据远传系统
'ce'shi'ka'zi 测试卡子
'ceng'gao 层高
'cha'zuo 插座
'chao'wu'lei'dui'shuang'jiao'xian 超五类对双绞线
'che'ku 车库
'chong'fu'jie'di 重复接地
'chu'bu'she'ji 初步设计
'chuang'ci'bao'jing 窗磁报警
'deng'dian'wei'lian'jie'an'zhuang 等电位联结安装
'di'shang 地上
'di'xia'shi'zhao'ming 地下室照明
'di'xia'yi'ceng 地下一层
'dian'biao 电表
'dian'hua'xi'tong 电话系统
'dian'lan 电缆
'dian'li'dian'lan 电力电缆
'dian'li'fu'he 电力负荷
'dian'qi'shu'jing 电气竖井
'dian'qi'xi'tong 电气系统
'dian'shi'xin'hao 电视信号
'dian'ti 电梯
'dian'yuan'jin'xian'gui 电源进线柜
'dong'li'fu'he 动力负荷
'duo'gong'neng'fang'ke'dui'jiang'xi'tong 多功能访客对讲系统
'er'ji'fu'he 二级负荷
'er'lei 二类
'fa'gui 法规
'fang'chao 防潮
'fang'da'qi'xiang 放大器箱
'fang'fu 防腐
'fang'huo 防火
'fang'huo'cai'liao 防火材料
'fang'jian'xing 防溅型
'fang'lei'dian'gan'ying 防雷电感应
'fang'ru'qin'bao'jing 防入侵报警
'fang'she'shi 放射式
'fang'zhi'ji'lei 防直击雷
'fei'ping'bi'duo'mo'guang'xian 非屏蔽多模光纤
'fen'xian'xiang 分线箱
'fen'zhi'fen'pei'qi'xiang 分支分配器箱
'fu'he'fen'lei 负荷分类
'fu'he'rong'liang 负荷容量
'fu'she 敷设
'gang'jin 钢筋
'gao'ceng'zhu'zhai 高层住宅
'gao'du 高度
'ge'ceng'shu'jing'nei 各层竖井内
'gei'shui'biao 给水表
'gong'cheng'she'ji'zi'liao 工程设计资料
'gong'dian'dian'yuan 供电电源
'gong'dian'fang'shi 供电方式
'gong'gong'zhao'ming 公共照明
'gong'zuo'zhuang'tai 工作状态
'gua'qiang 挂墙
'guan'li'zhong'xin 管理中心
'guo'dian'ya'bao'hu 过电压保护
'han'jie 焊接
'hong'xian 红线
'hun'ning'tu'zhu'zi 混凝土柱子
'ji'fang 机房
'ji'fei 计费
'ji'liang 计量
'ji'liang'shou'fei 计量收费
'ji'zhong 集中
'jia'ya'feng'ji 加压风机
'jian'li'qiang 剪力墙
