'bai'bin 白鬓
'bai'fa 白发
'bai'fa'ban'ban 白发斑斑
'bai'fa'cang'cang 白发苍苍
'bai'fa'ru'yin 白发如银
'ban'bai 斑白
'ban'ban'bai'fa 斑斑白发
'bian'er 辫儿
'bian'zi 辫子
'bian'zi'duan'cu 辫子短粗
'bin'fa 鬓发
'bin'fa'ban'bai 鬓发斑白
'bin'jiao 鬓脚
'bin'jiao 鬓角
'bin'jiao'ban'bai 鬓角斑白
'bin'jiao'hua'bai 鬓角花白
'bin'ru'yin'shuang 鬓如银霜
'bin'ruo'dao'cai 鬓若刀裁
'bin'ruo'yin'shuang 鬓若银霜
'bo'lang'fa'shi 波浪发式
'bo'lang'qi'fu 波浪起伏
'bo'lang'shi 波浪式
'chang'bian 长辫
'chang'bian'chui'xiong 长辫垂胸
'chang'fa'pi'jian 长发披肩
'chui'tiao 垂髫
'ci'wei'tou 刺猬头
'cu'ying 粗硬
'duan'bian 短辫
'fa'bai'ru'yin 发白如银
'fa'bian 发辫
'fa'bu'zhe'ding 发不遮顶
'fa'cha'cu'hei 发茬粗黑
'fa'ji 发髻
'fa'ru'luan'ma 发如乱麻
'gang'si'fa 钢丝发
'hao'shou'bai'fa 皓首白发
'he'fa 鹤发
'he'fa'tong'yan 鹤发童颜
'hei'bin 黑鬓
'hei'fa 黑发
'hei'fa'ru'yun 黑发如云
'hei'se'pu'bu 黑色瀑布
'hei'you'you 黑油油
'hong'yan'yin'xu 红颜银须
'hu'die'ji 蝴蝶髻
'hu'fa 鹄发
'hua'bai 花白
'hua'fa 华发
'hua'fa'cang'yan 华发苍颜
'hui'bai 灰白
'jin'fa 金发
'jin'fa'bi'yan 金发碧眼
'juan'fa 卷发
'juan'mao'fa 卷毛发
'liang'bin'ban'bai 两鬓斑白
'liang'bin'cang'cang 两鬓苍苍
'liang'bin'ran'shuang 两鬓染霜
'liang'ze 亮泽
'liu'hai'er 刘海儿
'luan'fa 乱发
'luan'peng'peng 乱蓬蓬
'lv'bin 绿鬓
'lv'fa 绿发
'ma'wei'bian 马尾辫
'man'tou'fei'xu 满头飞絮
'man'tou'qing'si 满头青丝
'man'tou'yin'fa 满头银发
'man'tou'yin'si 满头银丝
'mo'yu 墨玉
'nai'mao 奶毛
'nong'hei 浓黑
'nong'mi 浓密
'nong'mi'rou'run 浓密柔润
'pan'huan'ji 盘桓髻
'pang'mei'hao'fa 庞眉皓发
'peng'song 蓬松
'peng'song'juan'fa 蓬松卷发
'peng'song'ru'yun 蓬松如云
'peng'song'zi'ran 蓬松自然
'pi'jian'chang'fa 披肩长发
'pi'jian'fa 披肩发
'pi'jian'san'fa 披肩散发
'pi'tou'san'fa 披头散发
'qi'er'duan'fa 齐耳短发
'qi'mei'liu'hai 齐眉刘海
'qing'si 青丝
'ran'shuang 染霜
'rong'rong'duan'fa 茸茸短发
'rou'ruan 柔软
'rou'ruan'guang'jie 柔软光洁
'shen'hei 深黑
'si'si'bai'fa 丝丝白发
'tai'fa 胎发
'tai'mao 胎毛
'tang'fa 烫发
'tou'fa 头发
'tou'fa'miao'xie'ci 头发描写词
'tou'fa'nong'mi 头发浓密
'tou'fa'peng'luan 头发蓬乱
'tou'fa'xi'shu 头发稀疏
'tou'ji 头髻
'tou'liang 透亮
'tu'ding 秃顶
'wu'bin 乌鬓
'wu'fa 乌发
'wu'hei 乌黑
'wu'hei'chang'fa 乌黑长发
'wu'hei'guang'jie 乌黑光洁
'wu'hei'guang'liang 乌黑光亮
'wu'liang 乌亮
'xi'san 稀散
'xi'shu 稀疏
'xian'xi'chang'bian 纤细长辫
'xiao'bian'er 小辫儿
'xiao'ping'tou 小平头
'xiu'fa'rou'mei 秀发柔美
'xu'fa'jie'bai 须发皆白
'xu'fa'ru'yin 须发如银
'xu'ran'piao'piao 须髯飘飘
'xuan'fa 宣发
'xuan'wo'fa'shi 漩涡发式
'xue'sheng'fa 学生发
'ya'ji 雅髻
'yang'jiao'bian 羊角辫
'yi'liu'tou'fa 一绺头发
'yin'bin 银鬓
'yin'fa 银发
'yin'ran'piao'fu 银髯飘拂
'yin'si 银丝
'you'liang 油亮
'you'liang'guang'jie 油亮光洁
'yuan'yuan'fa'ji 圆圆发髻
'yun'bin 云鬓
'yun'ji 云髻
