'ai'ao 艾奥
'ai'di'ka'la 埃迪卡拉
'bao'zi 孢子
'ce'ji 侧击
'cheng'hai 澄海
'chu'kuang 初矿
'chuang'shen'xing 创神星
'ci'shui'mu 刺水母
'ci'yao 刺鳐
'da'di 大帝
'da'mao 大矛
'da'xing'gong'cheng'jian 大型工程舰
'dan'pao'qi'mei'la 弹炮奇美拉
'dan'pao'xing'yun 弹炮星云
'dian'cheng 点城
'diao'dong 调动
'dou'niu 斗牛
'dui'jian'ai'ao 对舰艾奥
'fang'kong'qiang'qi 防空枪骑
'fang'kong'shou'lie 防空狩猎
'fang'kong'shui'mu 防空水母
'fang'kong'zhui 防空锥
'feng'chao 蜂巢
'feng'chao'shou'wei'zhe 蜂巢守卫者
'fu'gui 富贵
'gao'kuang 高矿
'ge'ren'xie'yi 个人协议
'gong'cheng'ai'ao 攻城艾奥
'gu'shen'nai 谷神奶
'gu'shen'xing 谷神星
'guang'tu 光突
'guang'zhui 光锥
'hai'shi'zhui'sui'zhe 海氏追随者
'hai'zhui 海追
'hong'bao'shi 红宝石
'ji'jie'dian 集结点
'jia'qian'shao 假前哨
'jing'hai 静海
'ka'li'lai'en 卡利莱恩
'ka'li'si'tuo 卡利斯托
'ka'tuo 卡托
'kan'tan'xie'yi 勘探协议
'kang'na'ma'la'hun'dun 康纳马拉混沌
'lei'li'ya'te 雷利亚特
'li'zi'bao'shi 离子宝石
'lie'bing 猎兵
'lie'wei 列维
'lin'xiao 林鸮
'luo'dian 落点
'mai'chong'niu 脉冲牛
'mai'chong'xing'yun 脉冲星云
'mi'si'te'la 米斯特拉
'nan'shi'zi'xing'yuan'shuai 南十字星元帅
'niu'wa 牛蛙
'nuo'ma 诺玛
'nuo'ma'nai 诺玛奶
'pao'pao'long 泡泡龙
'pei'dao 佩刀
'ping'heng'an'de'sen 平衡安德森
'pu'ka 普卡
'qi'mei'la 奇美拉
'qiang'qi'bing 枪骑兵
'qu'lv 曲率
'san'hai 三海
'sha'long 傻龙
'sha'long 砂龙
'shou'lie'zhe 狩猎者
'tai'yang'jing 太阳鲸
'tai'yuan 苔原
'tai'yuan'nai 苔原奶
'te'luo'yi'jing'ti 特洛伊晶体
'te'zhong'ka 特种卡
'tou'kuang 偷矿
'tu'ji'niu 突击牛
'tu'ji'zhui 突击锥
'wei'shi 卫士
'wei'shi'nai 卫士奶
'wu'la'nuo'si'zhi'mao 乌拉诺斯之矛
'xi'shen'xing 阋神星
'xiao'mi 小米
'xiao'xing'gong'cheng'jian 小型工程舰
'xin'da'di 新大地
'xin'jun'shi'tan'ding'da'di 新君士坦丁大帝
'xing'mai 星脉
'xing'yun'zhui'zhu'zhe 星云追逐者
'xu'ling 虚灵
'ya'bo 亚伯
'ya'da'bo'la 亚达伯拉
'yi'ge'le'mu 艾格勒姆
'yin'shen'lei 隐身雷
'yong'heng'feng'bao 永恒风暴
'yu'lei'chuang'shen 鱼雷创神
'yun'hai 云海
'zai'ji'gu'shen 载机谷神
'zai'ji'tai'yuan 载机苔原
'zai'ji'wei'shi 载机卫士
'zhan'lue'da'ji 战略打击
'zhan'shu'lei 战术雷
'zhan'shu'shou'lie 战术狩猎
'zhen'cha 侦察
'zhong'ka 重卡
'zhong'kuang 中矿
'zhong'li'xie'yi 中立协议
'zhong'pao'qi'mei'la 重炮奇美拉
'zhong'pao'xi 重炮阋
'zhong'xing'gong'cheng'jian 中型工程舰
'zhuang'jia'xi 装甲阋
