'a'he'ye 阿贺野
'a'la'si'jia 阿拉斯加
'ai'ding'bao 爱丁堡
'ai'sai'ke'si 埃塞克斯
'an'de'lie 安德烈
'ao'ke'lan 奥克兰
'ba'er'di'mo 巴尔第摩
'bai'fang 白房
'ban'zhuan 板砖
'bao'li'tong'xin 保利通信
'bei'an'pu'dun 北安普顿
'bei'ka'luo'lai'na 北卡罗来纳
'bei'shang 北上
'bi'si'mai 俾斯麦
'bin'xi'fa'ni'ya 宾夕法尼亚
'bo'ge 博格
'bo'te'lan 波特兰
'bu'lu'ke'lin 布鲁克林
'ce'jia 侧甲
'chang'men 长门
'chao'da'he 超大和
'chao'ji 超级
'chao'ji'zhan'yi 超级战役
'chi'cheng 赤城
'chuan'jia 穿甲
'chuan'jia'dan 穿甲弹
'da'dian 大淀
'da'hai'zhan 大海战
'da'he 大和
'dao'feng 岛风
'deng'lu'ting 登陆艇
'di'duo 狄多
'di'kong'suo'ding 低空锁定
'dian'ka 点卡
'ding'dian'hong'zha 定点轰炸
'ding'dian'tou'dan 定点投弹
'ding'jia 顶甲
'ding'wei'zhen'cha 定位侦查
'dui'shua 对刷
'dun'ke'er'ke 敦刻尔克
'fang'kong'ji'qiang 防空机枪
'fang'kong'pao'shou 防空炮手
'fang'kong'yu'jing 防空预警
'fang'yu 放鱼
'fei'ji 飞机
'fei'long 飞龙
'feng'xiang 凤翔
'fu'chong 俯冲
'fu'sang 扶桑
'gang'kou'zhan 港口战
'gao'bao 高爆
'gao'bao'dan 高爆弹
'guan'dao 关岛
'hai'bi 海币
'hai'dian 海点
'hang'kong'mu'jian 航空母舰
'hei'ye 黑夜
'hei'ye'fang'jian 黑夜房间
'hong'cang'ying 红苍蝇
'hong'zha 轰炸
'hong'zha'yu'jing 轰炸预警
'hu'de 胡德
'hu'wei'jian 护卫舰
'hua'ping 花屏
'huang'fang 皇方
'huang'jia'fang'zhou 皇家方舟
'ji'chen 击沉
'ji'pin'shui'bing 极品水兵
'jia'he 加贺
'jia'he 加鹤
'jian'dui 舰队
'jian'pao 舰炮
'jian'zhang 舰长
'jie'ti'bian'gao 阶梯变高
'jie'ti'hong'zha 阶梯轰炸
'jin'gang 金刚
'jing'ying'shui'bing 精英水兵
'jing'zhun 精准
'kai'sa 凯撒
'ke'li'fu'lai 克里夫来
'ke'li'fu'lan 克利夫兰
'ke'ni'si'bao 柯尼斯堡
'lao'na 老衲
'li'hua'dan 礼花弹
'lie'ke'xing'dun 列克星顿
'lie'ke'xing'dun 列克星敦
'long'xiang 龙镶
'lu'ao 陆奥
'lun'ji 轮机
'luo'de'ni 罗德尼
'ma'er'ta 马尔他
'ma'sa'zhu'sai 马萨诸塞
'mao'mao'chong 毛毛虫
'mao'qi 毛齐
'meng'da'na 蒙大拿
'mi'su'li 密苏里
'miao'gao 妙高
'ming'jiang'tang'er'ling'yi'yi'nian'cheng'yao'dui'you 名将堂二零一一年诚邀队友
'ming'zhong 命中
'na'er'xun 纳尔逊
'na'gai 衲改
'neng'li'zhi 能力值
'niao'hai 鸟海
'nv'wang 女王
'ou'gen 欧根
'pai'chen 拍沉
'qi'bo'lin 齐柏林
'qian'zai 潜在
'qiao'wu 乔五
'qin'wang 亲王
'qing'xing'xun'yang'jian 轻型巡洋舰
'qiu'mo 球磨
'qu'zhu'jian 驱逐舰
'ren'rou'zhen'cha 人肉侦查
'rou'dun'zhen'cha 肉盾侦查
'rou'zhen 肉侦
'ruan'fang 软防
'sa'la'tuo'jia 萨拉托加
'sa'li 萨里
'sai'wa'si'tuo'pi'er 塞瓦斯托皮尔
'sha'en'huo'si'te 沙恩霍斯特
'shan'dian'zhan 闪电战
'shang'lu 上路
'shi'zi 狮子
'shui'bing 水兵
'shui'lei 水雷
'shun'ci 顺次
'sun'ying 隼鹰
'suo'wa'si'tuo'pi'er 索瓦斯托皮尔
'ti'er'pi'zi 提尔皮资
'tian'cheng 天城
'tian'ji 田鸡
'tian'lang'xing 天狼星
'tian'na'xi 田纳西
'tian'nv'san'hua 天女散花
'tie'gang 铁港
'tong'xin 通信
'tuo'dao 拖刀
'wu'gang 雾港
'wu'zang 武藏
'xi'pei'er 希佩尔
'xia'lu 下路
'xiang'he 翔鹤
'xin'ao'er'liang 新奥尔良
'xin'mo 新墨
'xin'nong 信浓
'xing'deng'bao 兴登堡
'xing'deng'bo'ge 兴登博格
'xing'gang 星港
'xiu'bu 修补
'xiu'li 修理
'xun'yang'jian 巡洋舰
'ya'te'lan'da 亚特兰大
'yan'wu'dan 烟雾弹
'yang'yan 阳炎
'yi'a'hua 衣阿华
'yi'shi 伊式
'ying'gang 樱港
'yong'gan 勇敢
'yu'jia 鱼甲
'yu'lei 鱼雷
'yue'ke 约克
'yue'ke'cheng 约克城
'zhan'dou 战斗
'zhan'dou'yu'jing 战斗预警
'zhan'lie'jian 战列舰
'zhan'lie'xun'yang'jian 战列巡洋舰
'zhen'cha 侦查
'zhen'cha'ji'bian'gao 侦察机变高
'zhong'lu 中路
'zhong'xing'xun'yang'jian 重型巡洋舰
'zhu'li'an 朱利安
'zhuang'jia'zhan'lie'jian 装甲战列舰
'zhuang'tian 装填
'zou'yin'ying 走阴影
'zui'shang 最上
