'a'bo'luo 阿波罗
'a'de'men'tu'si 阿德门图斯
'ba'gong 八宫
'ba'gong'gong'tou 八宫宫头
'bei'jiao 北交
'bei'jiao'dian 北交点
'bi'jiao'pan 比较盘
'bo'sai'dong 波塞冬
'dong'sheng'dian 东升点
'er'gong 二宫
'er'gong'gong'tou 二宫宫头
'fu'dian 福点
'fu'ka'nu'si 弗卡努斯
'gong'tou 宫头
'gu'shen 谷神
'gu'shen'bai'yang 谷神白羊
'gu'shen'chu'nv 谷神处女
'gu'shen'jin'niu 谷神金牛
'gu'shen'ju'xie 谷神巨蟹
'gu'shen'mo'jie 谷神摩羯
'gu'shen'she'shou 谷神射手
'gu'shen'shi'zi 谷神狮子
'gu'shen'shuang'yu 谷神双鱼
'gu'shen'shuang'zi 谷神双子
'gu'shen'shui'ping 谷神水瓶
'gu'shen'tian'ping 谷神天枰
'gu'shen'tian'xie 谷神天蝎
'gu'shen'xing 谷神星
'ha'de'si 哈得丝
'hai'wang'bai'yang 海王白羊
'hai'wang'chu'nv 海王处女
'hai'wang'jin'niu 海王金牛
'hai'wang'ju'xie 海王巨蟹
'hai'wang'mo'jie 海王摩羯
'hai'wang'she'shou 海王射手
'hai'wang'shi'zi 海王狮子
'hai'wang'shuang'yu 海王双鱼
'hai'wang'shuang'zi 海王双子
'hai'wang'shui'ping 海王水瓶
'hai'wang'tian'ping 海王天枰
'hai'wang'tian'xie 海王天蝎
'hun'shen 婚神
'hun'shen'bai'yang 婚神白羊
'hun'shen'chu'nv 婚神处女
'hun'shen'jin'niu 婚神金牛
'hun'shen'ju'xie 婚神巨蟹
'hun'shen'mo'jie 婚神摩羯
'hun'shen'she'shou 婚神射手
'hun'shen'shi'zi 婚神狮子
'hun'shen'shuang'yu 婚神双鱼
'hun'shen'shuang'zi 婚神双子
'hun'shen'shui'ping 婚神水瓶
'hun'shen'tian'ping 婚神天枰
'hun'shen'tian'xie 婚神天蝎
'hun'shen'xing 婚神星
'huo'bai'yang 火白羊
'huo'chu'nv 火处女
'huo'hai'chong 火海冲
'huo'hai'he 火海合
'huo'hai'lu'he 火海六合
'huo'hai'xing 火海邢
'huo'huo'chong 火火冲
'huo'huo'he 火火合
'huo'huo'xing 火火邢
'huo'jin'niu 火金牛
'huo'ju'xie 火巨蟹
'huo'ming'chong 火冥冲
'huo'ming'he 火冥合
'huo'ming'xing 火冥邢
'huo'mo'jie 火摩羯
'huo'she'shou 火射手
'huo'shi'zi 火狮子
'huo'shuang'yu 火双鱼
'huo'shuang'zi 火双子
'huo'shui'ping 火水瓶
'huo'tian'gong 火天供
'huo'tian'he 火天合
'huo'tian'lu'he 火天六合
'huo'tian'ping 火天枰
'huo'tian'xie 火天蝎
'huo'tian'xing 火天邢
'jin'bai'yang 金白羊
'jin'chu'nv 金处女
'jin'hai'chong 金海冲
'jin'hai'gong 金海拱
'jin'hai'he 金海合
'jin'hai'lu'he 金海六合
'jin'hai'san'he 金海三合
'jin'hai'xing 金海刑
'jin'huo'chong 金火冲
'jin'huo'gong 金火拱
'jin'huo'he 金火合
'jin'huo'lu'he 金火六合
'jin'huo'san'he 金火三合
'jin'huo'xing 金火刑
'jin'jin'niu 金金牛
'jin'ju'xie 金巨蟹
'jin'ming'chong 金冥冲
'jin'ming'gong 金冥拱
'jin'ming'he 金冥合
'jin'ming'lu'he 金冥六合
'jin'ming'san'he 金冥三合
'jin'ming'xing 金冥刑
'jin'mo'jie 金摩羯
'jin'mu'chong 金木冲
'jin'mu'gong 金木拱
'jin'mu'he 金木合
'jin'mu'lu'he 金木六合
'jin'mu'san'he 金木三合
'jin'mu'xing 金木刑
'jin'she'shou 金射手
'jin'shi'zi 金狮子
'jin'shuang'yu 金双鱼
'jin'shuang'zi 金双子
'jin'shui'chong 金水冲
'jin'shui'gong 金水拱
'jin'shui'he 金水合
'jin'shui'lu'he 金水六合
'jin'shui'ping 金水瓶
'jin'shui'san'he 金水三合
