'bao'yi'pian 包衣片
'bi'xi'ru'qi'wu'ji 鼻吸入气雾剂
'bi'yong'pen'wu'ji 鼻用喷雾剂
'bo'mo'yi'pian 薄膜衣片
'cha'ji 搽剂
'chang'rong'jiao'nang 肠溶胶囊
'chang'rong'ke'li'ji 肠溶颗粒剂
'chang'rong'pian 肠溶片
'di'bi'ji 滴鼻剂
'di'bi'ye 滴鼻液
'di'er'ji 滴耳剂
'di'er'ye 滴耳液
'di'ji 滴剂
'di'wan 滴丸
'di'yan'ji 滴眼剂
'di'yan'ye 滴眼液
'ding'ji 酊剂
'dong'gan'fen'zhen 冻干粉针
'fen'ji 粉剂
'fen'wu'ji 粉雾剂
'fen'xi'ru'ji 粉吸入剂
'fen'zhen'ji 粉针剂
'gan'fen'xi'ru'ji 干粉吸入剂
'gan'hun'xuan'ji 干混悬剂
'gan'tang'jiang'ji 干糖浆剂
'han'shu'ye 含漱液
'he'ji 合剂
'hu'ji 糊剂
'hua'hen'pian 划痕片
'huan'shi'bao'yi'pian 缓释包衣片
'huan'shi'jiao'nang 缓释胶囊
'huan'shi'pian 缓释片
'hun'xuan'di'ji 混悬滴剂
'jiao'jiang'ji 胶浆剂
'jiao'ti'rong'ye 胶体溶液
'jiao'wan 胶丸
'jin'gao'pian 浸膏片
'jing'mai'di'zhu'yong'zhu'she'ye 静脉滴注用注射液
'jing'mai'zhu'she'zhen'ji 静脉注射针剂
'ke'li'ji 颗粒剂
'kong'shi'jiao'nang 控释胶囊
'kong'shi'pian 控释片
'kou'fu'hun'xuan'ji 口服混悬剂
'kou'fu'rong'ye'ji 口服溶液剂
'kou'fu'ru'ji 口服乳剂
'kou'fu'ye 口服液
'mi'wan 蜜丸
'mo'ji 膜剂
'ning'jiao'ji 凝胶剂
'pu'tong'pian'ji 普通片剂
'qi'wu'ji 气雾剂
'qin'shui'ying'gao'ji 亲水硬膏剂
'ru'gao'ji 乳膏剂
'ru'ji 乳剂
'ru'jiao'ji 乳胶剂
'ru'ye 乳液
'ru'zhuang'zhu'she'ye 乳状注射液
'ruan'gao'ji 软膏剂
'ruan'jiao'nang 软胶囊
'sa'bu'ji 撒布剂
'sa'fen 撒粉
'san'ji 散剂
'san'pian 散片
'shu'kou'ji 漱口剂
'shuan'ji 栓剂
'shuang'ji 霜剂
'shui'mi'wan 水蜜丸
'shui'wan 水丸
'su'pian 素片
'tang'jiang'ji 糖浆剂
'tang'yi'pian 糖衣片
'tie'gao'ji 贴膏剂
'tie'ji 贴剂
'tou'pi'tie'ji 透皮贴剂
'tu'bu'ji 涂布剂
'tu'ji 涂剂
'tu'mo'ji 涂膜剂
'wai'yong'rong'ye'ji 外用溶液剂
'wan'ji 丸剂
'wu'hua'rong 雾化溶
'wu'hua'xi'ru'yong'hun'xuan'ye 雾化吸入用混悬液
'wu'hua'ye 雾化液
'wu'jun'fen'zhen 无菌粉针
'xi'ji 洗剂
'xi'ru'fen'wu'ji 吸入粉雾剂
'xi'ru'hun'xuan'ye 吸入混悬液
'xi'ru'ji 吸入剂
'xi'ru'qi'wu'ji 吸入气雾剂
'xi'ru'rong'ye 吸入溶液
'yao'fen 药粉
'ye'ji 液剂
'yin'dao'shuan 阴道栓
'ying'gao'ji 硬膏剂
'ying'jiao'nang 硬胶囊
'you'gao'ji 油膏剂
'you'ji 油剂
'zhen'ji 针剂
'zhi'chang'shuan 直肠栓
'zhu'she'ji 注射剂
'zhu'she'ye 注射液
'zhu'she'yong'hun'xuan'ye 注射用混悬液
'zhu'she'yong'nong'rong'ye 注射用浓溶液
'zhu'she'yong'rong'ye'ji 注射用溶液剂
'zhu'she'yong'ru'ji 注射用乳剂
'zhu'she'yong'wu'jun'fen'mo 注射用无菌粉末
