'a'yi 阿伊
'ai'chuan'run 哀川润
'an'kou'beng'zi 暗口崩子
'an'kou'ping'yi 暗口凭衣
'an'kou'ru'yi 暗口濡衣
'an'tu 暗突
'ban'tian'ling 班田玲
'bing'zhi'zhu 病蜘蛛
'bu'xie'he'yin 不协和音
'cheng'bai'he'xue'yuan 澄百合学院
'chi'se'zhi'cai 赤色制裁
'chi'shen'ao'dai'te 赤神奥黛特
'chi'shen'yi'li'ya 赤神伊梨亚
'chun'ri'jing'chun'ri 春日井春日
'gu'qiang'tou'jin 古枪头巾
'gui'gong'wu'yi'shi 贵宫无伊实
'hai'e'xi'jun 害恶细菌
'hui'ben'yuan'shu 绘本园树
'ji'cai'shi'ming 姬菜诗鸣
'ji'cai'zhen'ji 姬菜真姬
'jia'cheng'ming'le 架城明乐
'jia'kong'bing'qi 架空兵器
'jing'yi'cheng'bai'he 井伊橙百合
'jiu'zhu'you 玖渚友
'jiu'zhu'zhi 玖渚直
'kui'jing'wu'nv'zi 葵井巫女子
'lan'chuan'chun'zai 蓝川纯哉
'lan'se'xue'zhe 蓝色学者
'ling'biao'gao'hai 澪标高海
'ling'biao'shen'kong 澪标深空
'ling'nan'bao 绫南豹
'ling'qi'qu'shi 零崎曲识
'ling'qi'ren'shi 零崎人识
'ling'qi'shuang'shi 零崎双识
'ling'qi'ya'shi 零崎轧识
'ling'qi'yi'zei 零崎一贼
'ling'wu'yin'yin 铃无音音
'mu'he'feng'yue 木贺峰约
'qi'ye'lai'zhi 奇野赖知
'qian'he'cai 千贺彩
'qian'he'guang 千贺光
'qian'he'ming'zi 千贺明子
'qian'ye'mei'yi'zi 浅野美衣子
'qin'xian'shi 琴弦师
'qiu'yuan'zi'di 萩原子荻
'ren'lei'zui'e 人类最恶
'ren'lei'zui'qiang'de'cheng'bao'ren 人类最强的承包人
'ren'lei'zui'zhong 人类最终
'ri'zhong'liang 日中凉
'san'hao'xin'shi 三好心视
'shao'nv'qu'wei 少女趣味
'shi'an'ya'qi 式岸轧骑
'shi'gong'shi'ke 时宫时刻
'shi'jing'you'ma 市井游马
'shi'san'jie'ti 十三阶梯
'shi'wan'xiao'bei 石丸小呗
'shi'zhi'meng'tai 石凪萌太
'shuang'chong'shi'jie 双重世界
'si'se'zhen'hong 死色真红
'si'xian'zhi'lan 死线之蓝
'ting'mu'jun'xi 汀目俊希
'tu'diao'mu'gai'fu 兔吊木垓辅
'wei'xian'xin'hao 危险信号
'wu'tong'yi'zhi 梧桐伊织
'wu'you 吾友
'xi'dong'tian 西东天
'xi'tiao'yu'zao 西条玉藻
'xi'wei'wei'xin 西尾维新
'xi'yan'wan'jia 戏言玩家
'xia'qiu'dao'er 霞丘道儿
'xiang'ying'zhen'xin 想影真心
'xiao'ge 小哥
'xiao'ji 小姬
'xing'cun'dong'xia 幸村冬夏
'xing'zou'ni'lin 行走逆鳞
'xiong'gong'chu'meng 匂宫出梦
'xiong'gong'li'cheng 匂宫理澄
'xuan'liang'gao'xiao 悬梁高校
'ya'ru'yu 鸦濡羽
'yan'jiu'duan 宴九段
'yi'chui'jia'nai'mei 伊吹加奈美
'yi'li'zhong'mu'shi 一里冢木实
'yi'zhi'zhu 伊之助
'yi'zi'jue 伊字诀
'yu'shen'li'zan 愚神礼赞
'yuan'shan'chi'yin 园山赤音
'yuan'xiu'ye 圆朽叶
'zao'jue'gong'shi 早蕨弓矢
'zao'jue'ren'du 早蕨刃渡
'zao'jue'zhi'zhen 早蕨雉真
'zi'he'jing'tong'nai 滋贺井统乃
'zi'mu'yi'ji 紫木一姬
'zi'sha'zhi'yuan 自杀志愿
'zuo'zuo'sha'xiao 佐佐沙咲
