'tuan'liu'za'se 湍流杂色
'tuan'liu'zhi'huan 湍流置换
'tuo'yuan 椭圆
'wang'ge 网格
'wang'ge'jiao'xing 网格交形
'wen'ben 文本
'wen'jian 文件
'wen'li'hua 纹理化
'wu'xian'dian'bo 无线电波
'xi'guan'tian'chong 吸管填充
'xian'xing'ca'chu 线性擦除
'xian'xing'yan'se'jian 线性颜色键
'xiang'mu 项目
'xiang'yun'dong'mo'hu 像运动模糊
'xiao'guo 效果
'xiao'guo'he'yu'she 效果和预设
'xiao'guo'kong'jian 效果控件
'xie'ru 写入
'xin'jian'he'cheng 新建合成
'xin'jian'wen'jian'jia 新建文件夹
'xing'zhuang'tu'ceng 形状图层
'xu'xiang'ji'gen'zong'qi 须像机跟踪器
'xuan'ran'dui'lie 渲染队列
'xuan'zhuan'niu'qu 旋转扭曲
'xuan'zhuan'qiu'mian 旋转球面
'ya'suo'kuo'zhan'qi 压缩扩展器
'yan'chi 延迟
'yan'jing 眼镜
'yan'se 颜色
'yan'se'cha'zhi'jian 颜色差值键
'yan'se'fan'wei 颜色范围
'yan'se'jian'jiao 颜色渐交
'yan'se'jiao'zheng 颜色校正
'yan'se'kong'zhi 颜色控制
'yan'se'lian 颜色链
'yan'se'lian'jie 颜色链接
'yan'se'pei'zhi'wen'jian'zhuan'huan'qi 颜色配置文件转换器
'yan'se'ping'heng 颜色平衡
'yan'se'wen'ding'qi 颜色稳定器
'yao'bai'qi 摇摆器
'ye'hua 液化
'yi'chu'ke'li 移除颗粒
'yi'chu'yan'se'zhe'zhang 移除颜色遮章
'yi'chu'yi'zhi 溢出抑制
'yin'ban'bo'xing 音颁波形
'yin'diao 音调
'yin'pin 音频
'yin'xu'xu'pu 音须须谱
'yin'ying'gao'guang 阴影高光
'ying'yong'yan'se 应用颜色
'you'qi'tong 油漆桶
'you'ti'du'jian'jiao 幽梯度渐交
'yu'lan 预览
'yu'zhi 阈值
'yuan'shu'ju 元数据
'yuan'xing 圆形
'za'se 杂色
'za'se'he'ke'li 杂色和颗粒
'zai'xiang'mu'zhong'xian'shi'he'cheng 在项目中显示合成
'zhao'pian'lv'jing 照片滤镜
'zhe'zhang'zu'cha'gong'ju 遮章阻差工具
'zhe'zhao 遮罩
'zhen'su'lv 帧速率
'zhi'huan'tu 置换图
'zhi'neng'mo'hu 智能模糊
'zhong'jian'zhi 中间值
'zhong'jian'zhi'jiu'ban 中间值旧版
'zhuan'huan'qi 转换器
'zhuan'huan'zun'dao 转换遵道
'zi'dong'dui'bi'du 自动对比度
'zi'dong'se'jie 自动色阶
'zi'dong'yan'se 自动颜色
'zi'fu 字符
'zi'ran'bao'he'du 自然饱和度
'zui'xiao'zui'da 最小最大
