'chao'fan'ji 超凡级
'deng'ji 等级
'di'san'dan'ju'qing 第三弹剧情
'ji'neng 技能
'ka'bao 卡包
'ling'yu 领域
'ling'yuan 灵源
'pei'yin'tai'ci 配音台词
'qi'li'shu'yu 其隶属于
'sheng'ming 生命
'sheng'ming'cun'ci 生命存次
'sheng'ming'shang'xian 生命上限
'sheng'ming'ti 生命体
'shi'po'xi'tong 时魄系统
'tian'di'ling'wu 天地灵物
'tong'yi'xing 统一性
'wei'mian 位面
'wei'mian'gui'ze 位面规则
'wei'mian'shi'ying 位面适应
'wei'mian'ya'zhi 位面压制
'yao'zu 妖族
'ying'ling'chuan'shuo 英灵传说
'ying'ling'ji'neng 英灵技能
'yong'you'cheng'hao 拥有称号
'you'xi'jiao'du 游戏角度
'zan'shi'xing'di 暂时性地
'zhong'zu 种族
