'shen'qing'qi'shuang 神清气爽
'shen'se'zi'ruo 神色自若
'shen'si'huang'hu 神思恍惚
'shen'tou'suo'jing 伸头缩颈
'sheng'lei'ju'xia 声泪俱下
'sheng'long'huo'hu 生龙活虎
'sheng'qi'bo'bo 生气勃勃
'sheng'qi'ling'ren 盛气凌人
'sheng'yin'xiao'mao 声音笑貌
'shi'lao'bing'pi 师老兵疲
'shou'chong'ruo'jing 受宠若惊
'shu'mei'zhan'yan 舒眉展眼
'shuang'ran'ruo'shi 爽然若失
'shui'yan'xing'song 睡眼惺忪
'si'pi'lai'lian 死皮赖脸
'si'zui'ru'chi 似醉如痴
'suo'shou'suo'jiao 缩手缩脚
'tai'ran'zi'ruo 泰然自若
'tan'xiao'feng'sheng 谈笑风生
'tan'xiao'zi'ruo 谈笑自若
'tao'li'jing'shen 桃李精神
'ti'ji'hao'han 啼饥号寒
'ti'ling'ru'yu 涕零如雨
'ti'si'pang'tuo 涕泗滂沱
'tou'mei'er'qi 投袂而起
'wang'chen'er'bai 妄尘而拜
'wang'chen'er'bai 望尘而拜
'wen'qing'mo'mo 温情脉脉
'wen'wen'er'ya 温文尔雅
'wen'zhi'bin'bin 文质彬彬
'wu'jing'da'cai 无精打彩
'xi'er'gong'ting 洗耳恭听
'xi'pi'xiao'lian 嘻皮笑脸
'xi'shang'mei'shao 喜上眉梢
'xi'xiao'yan'kai 喜笑颜开
'xian'feng'dao'gu 仙风道骨
'xiao'rong'ke'ju 笑容可掬
'xiao'zhu'yan'kai 笑逐颜开
'xie'jian'chan'xiao 胁肩谄笑
'xin'bu'zai'yan 心不在焉
'xin'li'jiao'cui 心力交瘁
'xin'ping'qi'he 心平气和
'xing'rong'ku'gao 形容枯槁
'xing'se'cong'cong 行色匆匆
'xing'shu'se'shou 形输色授
'xing'zai'le'huo 幸灾乐祸
'xing'zhi'bo'bo 兴致勃勃
'xiong'shen'e'sha 凶神恶煞
'xiong'zi'ying'fa 雄姿英发
'xiu'ren'da'da 羞人答答
'xun'si'mi'huo 寻死觅活
'ya'kou'wu'yan 哑口无言
'ya'ran'shi'xiao 哑然失笑
'yan'han'hu'jing 燕颔虎颈
'yan'ran'yi'xiao 嫣然一笑
'yang'shou'shen'mei 仰首伸眉
'yang'yang'da'feng 泱泱大风
'yi'biao'tang'tang 仪表堂堂
'yi'bu'jie'dai 衣不解带
'yi'pin'yi'xiao 一颦一笑
'yi'qi'feng'fa 意气风发
'yi'qi'zi'ru 意气自如
'yi'qi'zi'ruo 意气自若
'yi'ran'zi'de 怡然自得
'yi'ran'zi'ruo 夷然自若
'yi'xing'yu'se 义形于色
'ying'yang'hu'shi 鹰扬虎视
'ying'zi'bo'bo 英姿勃勃
'ying'zi'sa'shuang 英姿飒爽
'yong'rong'xian'ya 雍容闲雅
'yong'rong'ya'bu 雍容雅步
'you'qi'wu'li 有气无力
'you'ran'zi'de 悠然自得
'you'xian'zi'zai 悠闲自在
'zhang'huang'shi'cuo 张皇失措
'zhang'kou'jie'she 张口结舌
'zhao'qi'peng'bo 朝气蓬勃
'zhen'fen'ren'xin 振奋人心
'zheng'jin'wei'zuo 正襟危坐
'zhong'zui'du'xing 众醉独醒
'zhuang'qiang'zuo'shi 装腔作势
'zi'ya'lie'zui 龇牙咧嘴
'zi'yan'zi'yu 自言自语
'zuo'wo'bu'an 坐卧不安
