'an'yong'chang 安泳畅
'bai'ke 白客
'bai'yu 白宇
'bao'bei'er 包贝尔
'bao'jian'feng 保剑锋
'cai'he'sen 蔡和森
'cai'qing'chuan 蔡晴川
'cao'ke'fan 曹可凡
'ceng'zhong'ming 曾仲鸣
'chen'du'xiu 陈独秀
'chen'feng 陈峰
'chen'geng 陈赓
'chen'he 陈赫
'chen'shu'kang 陈庶康
'chen'tan'qiu 陈潭秋
'chen'wei'ting 陈伟霆
'chen'xiao 陈晓
'chen'yi 陈毅
'dang'qi'hui'chang 荡气回肠
'deng'kang 邓康
'deng'xiao'ping 邓小平
'deng'ying'chao 邓颖超
'deng'zhong'xia 邓中夏
'dong'zi'jian 董子健
'du'yue'sheng 杜月笙
'fan'gui'xia 范桂霞
'fang'li'shen 方力申
'feng'wen'juan 冯文娟
'ge'ming'huo'zhong 革命火种
'geng'zhi'di 耿直帝
'gu'dian 古典
'guan'xiao'tong 关晓彤
'guo'xiao'dong 郭晓东
'han'geng 韩庚
'han'qing 汉卿
'he'chang'gong 何长工
'he'kun 何坤
'he'long 贺龙
'he'shan'tong'yi 河山统一
'he'zhong'han 贺衷寒
'hong'men'lao'ba 洪门老八
'hu'han'min 胡汉民
'huang'shang'he 黄尚禾
'huang'zhi'zhong 黄志忠
'huo'jian'hua 霍建华
'jian'guo'san'bu'qu 建国三部曲
'jian'jun'da'ye 建军大业
'jiang'guang'nai 蒋光鼐
'jiang'jie'shi 蒋介石
'jin'dong 靳东
'ju'gong'jin'cui'si'er'hou'yi 鞠躬尽瘁死而后已
'kai'yin 恺荫
'kong'xiang'xi 孔祥熙
'kui'qing 夔磬
'li'chen 李晨
'li'da'zhao 李大钊
'li'han'jun 李汉俊
'li'min'cheng 李岷城
'li'qin 李沁
'li'xian 李现
'li'yi'feng 李易峰
'li'zong'ren 李宗仁
'lian'shu'mei 练束梅
'liang'da'wei 梁大维
'lin'geng'xin 林更新
'liu'bo'cheng 刘伯承
'liu'bo'jian 刘伯坚
'liu'hao'ran 刘昊然
'liu'ming'zhao 刘明昭
'liu'shao'qi 刘少奇
'liu'xun'zi'mo 刘循子墨
'liu'ye 刘烨
'liu'zhi'bing 刘之冰
'lu'de'ming 卢德铭
'lu'han 鹿晗
'luo'rong'huan 罗荣桓
'ma'chi 马驰
'ma'yi'li 马伊琍
'ma'yu'ke 马浴柯
'ma'zheng'qiang 马正强
'mao'ze'dong 毛泽东
'mu'yin 慕尹
'nan'chang'qi'yi 南昌起义
'nie'rong'zhen 聂荣臻
'ou'hao 欧豪
'peng'wen 彭文
'peng'yuan'hua 彭援华
'pin'ming'san'lang 拼命三郎
'qian'da'jun 钱大钧
'qiang'gan'zi'li'chu'zheng'quan 枪杆子里出政权
'qing'chun're'xue 青春热血
'qing'nian'ling'xiu 青年领袖
'qu'qiu'bai 瞿秋白
'ren'bi'shi 任弼时
'ren'pei'guo 任培国
'run'zhi 润之
'san'he'ba'zhan'yi 三河坝战役
'shi'an 实庵
'shi'xiao'long 释小龙
'shuang'xi 双喜
'si'li 斯励
'si'lie 斯烈
'si'tu'mei'tang 司徒美堂
'song'jia 宋佳
'song'mei'ling 宋美龄
'song'qing'ling 宋庆龄
'song'yang 宋洋
'su'duo'zhen 粟多珍
'su'yu 粟裕
'su'zhi'yu 粟志裕
'tan'ping'shan 谭平山
'tan'shi'ming 谭世铭
'tan'zheng 谭政
'tang'guo'qiang 唐国强
'tang'sheng'zhi 唐生智
'tian'mu'chen 田牧宸
'tong'rui'xin 佟瑞欣
'wang'he'bo 王荷波
'wang'jing'chun 王景春
'wang'jing'wei 汪精卫
'wang'qing'xiang 王庆祥
'wang'shou'hua 汪寿华
'wang'ting 王挺
'wang'wen'han 王文翰
'wang'zhao 王昭
'wang'zhao'ming 汪兆铭
'wang'zhi'fei 王志飞
'wei'chen 魏晨
'wu'hao 伍豪
'wu'yan'zu 吴彦祖
'wu'yue 吴樾
'xi'gu'dui'jue 戏骨对决
'xi'yi 希夷
'xiang'jing'yu 向警予
'xiao'ai 小爱
'xiao'liu'zi 小六子
'xie'zhong'ling 谢钟灵
'xin'xi'guo'jia 心系国家
'xing'xing'zhi'huo'ke'yi'liao'yuan 星星之火可以燎原
'xiong'huai'tian'xia 胸怀天下
'xu'te'li 徐特立
'yang'da'peng 杨大鹏
'yang'kai'hui 杨开慧
'yang'you'ning 杨祐宁
'ye'jian'ying 叶剑英
'ye'jun'zhang 叶军长
'ye'ting 叶挺
'ye'wei'xun 叶为询
'ye'xiao'wei 叶筱玮
'ye'yi'wei 叶宜伟
'yi'qi'feng'fa 意气风发
'ying'xiong'shao'nian 英雄少年
'you'xin 又新
'yu'ai'lei 余皑磊
'yu'he'wei 于和伟
'yu'ji'shi 俞济时
'yu'shao'qun 余少群
'yu'ting 雨亭
'yu'xiao'guang 于晓光
'yuan'wen'kang 袁文康
'yun'dai'ying 恽代英
'ze'ying 泽膺
'zhai'jun'jie 翟俊杰
'zhang'fa'kui 张发奎
'zhang'guo'tao 张国焘
'zhang'han'yu 张涵予
'zhang'jian'ya 张建亚
'zhang'jing'jiang 张静江
'zhang'jun'han 张钧涵
