'a'chang 阿昌
'a'hua 阿花
'a'tong'mu 阿童木
'ban'bi 斑比
'ban'bi'min 斑比珉
'bao'bao 包包
'bao'li'xiao'hai'tun 暴力小海豚
'bao'li'xiu 暴力秀
'bao'zi 包子
'bing'zi 饼子
'cai'fa 财阀
'cai'fa'shen 财阀沈
'cha'hua 茶花
'chang'duo'li 昌多里
'chang'ge 昌哥
'chang'guai'zi 昌乖子
'chang'min 昌珉
'chang'tui'ge'ge 长腿哥哥
'chang'zi 昌子
'che'wu'yuan 车五元
'ci'yuan'bao'bei 次元宝贝
'da'biao'ge 大表哥
'da'mi 大米
'da'tou 大头
'da'xiong'ge 大胸哥
'dian'dian 点点
'dong'fang'shen'qi 东方神起
'dou'bao 豆包
'dou'bing 豆饼
'dou'hua 豆花
'dou'hua'mi'xiu'bing 豆花米秀饼
'fei'mao'tui 飞毛腿
'fu'ren 夫人
'gao'zhi'shang 高智商
'gou'gou'cha 勾勾叉
'guai'guai 乖乖
'hai'tun 海豚
'hai'tun'jiao'zhu 海豚教主
'han'dong'zhu 韩东株
'hao'ba 浩爸
'hao'zi 耗子
'hu'shui 湖水
'hu'zhu'da'ren 户主大人
'hu'zhu'fu'ren 户主夫人
'hua'hua 花花
'jin'da'tou 金大头
'jin'dao 金导
'jin'fan'gong 金反攻
'jin'gang'ba'bi 金刚芭比
'jin'jiu'ye 金九爷
'jin'jun'xiu 金俊秀
'jin'piao'liang 金漂亮
'jin'san'sui 金三岁
'jin'sang'zi 金嗓子
'jin'xiao'chou 金小抽
'jin'xiao'guai 金小乖
'jin'xiao'kui 金小葵
'jin'yao'nie 金妖孽
'jin'yuan'yuan 金圆圆
'jin'zai'zhong 金在中
'jin'zhuang'zhuang 金壮壮
'jin'zong'gong 金总攻
'jiu'shao 九少
'jun'jiang 俊酱
'jun'xiu 俊秀
'jun'zi 俊子
'ke'li'si'ma'xiu 克里斯马秀
'kuan'e'tou 宽额头
'lao'xiao 老小
'lao'yao 老幺
'li'mi'jun 厘米君
'ling'dao'ren 领导人
'liu'tong'tong 六通通
'mi'hua 米花
'mi'lao'shu 米老鼠
'mi'mi 米米
'mi'qi'you'tian 秘奇有天
'mi'xiu 米秀
'mi'ye 米爷
'mi'zi 米子
'min'bao'bao 珉宝宝
'min'min 珉珉
'mo'gu 蘑菇
'mu'chang'zhu 牧场主
'nv'wang 女王
'pai'gu 排骨
'piao'you'tian 朴有天
'po'hua 破花
'po'mi 破米
'po'zai 破在
'pu'chang'e 朴嫦娥
'pu'da'ye 朴大爷
'pu'mi 朴米
'pu'mi'qi 朴米奇
'pu'shao'nv 朴少女
'pu'tian'tian 朴甜甜
'pu'tu'zi 朴兔子
'pu'xiao'cao 朴校草
'pu'ye 朴爷
'pu'you'qian 朴有仟
'pu'you'qian 朴有钱
'sha'xiu 傻秀
'shao'ye 少爷
'shen'a'chang 沈阿昌
'shen'cai'fa 沈财阀
'shen'cha'cha 沈茶茶
'shen'chang'chang 沈昌昌
'shen'chang'min 沈昌珉
'shen'cong'ming 沈聪明
'shen'hong'pai 沈红牌
'shen'huang'shang 沈皇上
'shen'lang 沈郎
'shen'li'mi 沈厘米
'shen'ma'dou 沈麻豆
'shen'qin'qin 沈亲亲
'shen'qing'cheng 沈倾城
'shen'sang 沈桑
'shen'xian'sheng 沈先生
'shen'xiao'hun 沈销魂
'shen'ying'jun 沈英俊
'shuai'bing'xiao'wang'zi 甩饼小王子
'si'ci'yuan 四次元
'tao'zi 桃子
'wai'xie'chang'min 歪斜昌珉
'wan'nian'zong'shou 万年总受
'wu'kuai'qian 五块钱
'wu'yuan'da'shen 武元大神
'xi'gua 西瓜
'xi'ya'jun'xiu 细亚俊秀
'xia'mi 虾米
'xian'hou 仙后
'xiao'bai'xiu 小白秀
'xiao'bing 小饼
'xiao'er'zi 小儿子
'xiao'hai 小孩
'xiao'jiu 小九
'xiao'jun 小俊
'xiao'lu 小鹿
'xiao'niu'nai 小牛奶
'xiao'tai'yang 小太阳
'xiao'xiao 小小
'xiu'tao 秀桃
'xiu'xiu 秀秀
'xue'tu'jiang 雪兔酱
'ya'zi'qiao'pi'gu 鸭子翘屁股
'ying'xiong'zai'zhong 英雄在中
'you'tian 有天
'yu'lu'yun'hao 瑜卤允浩
'yun'bao 允宝
'yun'hao 允浩
'zai'zai 在在
'zai'zhong 在中
'zai'zhong'zi 在中子
'zheng'bao'bao 郑宝宝
'zheng'da'da 郑大大
'zheng'da'dui 郑大队
'zheng'dui 郑队
'zheng'fu'ren 郑夫人
'zheng'yun'hao 郑允浩
'zheng'zong'gong 郑总攻
'zhong'xin 中心
'zong'cai 总裁
'zong'cai'fu'ren 总裁夫人
'zu'qiu'xiu 足球秀
'zui'qiang'chang'min 最强昌珉
'zui'qiang'dou'hua'fan 最强豆花饭
