'ben'gong'cheng 本工程
'ce'mian 侧面
'ci'li'zhu 次立柱
'duan'mian 端面
'feng'ji 风机
'fu'li'zhu 辅立柱
'ji'lu'cao 集露槽
'ji'xing'gang 几型钢
'jiao'lian'jie 角连接
'jun'yi 均以
'lian'dong'wen'shi 连栋温室
'nei'xiang 内镶
'ping'ban'zhi'zuo 平板支座
'shi'lian 湿帘
'tui'gan 推杆
'wen'luo'shi 文洛式
'xian'liang 线梁
'yu'cao 雨槽
'zhi'zuo 支座
'zhu'li'zhu 主立柱
