'ai'guan 艾官
'ao'jing'guan 凹晶馆
'ao'jing'guan'lian'shi'bei'ji'mo 凹晶馆联诗悲寂寞
'bai'huang'ji 掰谎记
'bai'yu'chuan 白玉钏
'bai'yu'chuan'qin'chang'lian'ye'geng 白玉钏亲尝莲叶羹
'ban'er 板儿
'ban'gu 班姑
'ban'he 伴鹤
'bao'chai 宝钗
'bao'chai'jie'shan'ji'dai'shuang'qiao 宝钗借扇机带双敲
'bao'chai'pu'die 宝钗扑蝶
'bao'chan 宝蟾
'bao'er 鲍二
'bao'er'jia'de 鲍二家的
'bao'er'xi'fu 鲍二媳妇
'bao'er'ye 宝二爷
'bao'guan 宝官
'bao'qin 宝琴
'bao'qin 抱琴
'bao'yin 鲍音
'bao'yong 包勇
'bao'yu 宝玉
'bao'zhu 宝珠
'bei'jing'jun'wang 北静郡王
'bei'jing'wang 北静王
'bei'jing'wang'fei 北静王妃
'bei'jing'wang'fu 北静王府
'bei'jing'wang'shui'rong 北静王水溶
'bei'ming 焙茗
'bei'yuan'jia'bao'yu'gan'li'qing 悲远嫁宝玉感离情
'bi'ding'ru'yi 笔锭如意
'bi'hen 碧痕
'bi'jing'zhou 碧粳粥
'bi'li'teng'luo 薜荔藤萝
'bi'sha'chu 碧纱橱
'bi'tong'ling'jin'ying'wei'lou'yi 比通灵金莺微露意
'bi'yue 碧月
'bian'sheng'bu'ce'feng'jie'po'cu 变生不测凤姐泼醋
'bing'shen'ying'lei'sa'xiang'si'di 病神瑛泪洒相思地
'bing'xiao'xiang'chi'hun'jing'e'meng 病潇湘痴魂惊恶梦
'bo'li 玻璃
'bo'ming'nv'pian'feng'bo'ming'lang 薄命女偏逢薄命郎
'bo'ting'huan'bao'yu'zan'gu'er 博庭欢宝玉赞孤儿
'bo'zu'dao'ren 跛足道人
'bu'gu'xiu 卜固修
'bu'liao'qing'zan'cuo'tu'wei'xiang 不了情暂撮土为香
'bu'shi 卜氏
'bu'shi'ren 卜世仁
'bu'xiao'zhong'zhong'da'cheng'chi'ta 不肖种种大承笞挞
'bu'yi'zhen'bao'yu'wang'tan'chan 布疑阵宝玉妄谈禅
'cai'er 彩儿
'cai'er'niang 彩儿娘
'cai'feng 彩凤
'cai'ge 彩哥
'cai'luan 彩鸾
'cai'ming 彩明
'cai'ping 彩屏
'cai'xia 彩霞
'cai'yun 彩云
'cai'zi'jia'ren 才子佳人
'cao'she'hui'xian 草蛇灰线
'cao'xue'qin 曹雪芹
