'bo're'dao'zhong'zhi 般若道种智
'er'suo'xian'ying'gu 二所现影故
'han'gai'yi'qie'fa 函盖一切法
'ji'fo'pu'ti'dao 及佛菩提道
'ju'zu'jie'tuo'dao 具足解脱道
'nie'pan'ru'lai'zang 涅槃如来藏
'qiu'zheng'jue'fo'zi 求正觉佛子
'ru'shi'ci'di'xian 如是次第现
'san'wei'cha'bie'gu 三位差别故
'si'suo'xian'shi'gu 四所显示故
'wu'yin'shi'ba'jie 五阴十八界
'yi'qie'ying'shou'chi 一切应受持
'yi'qie'zui'sheng'gu 一切最胜故
'yu'ci'xiang'ying'gu 与此相应故
