'bei'bian'jiao'ban 倍变焦版
'biao'zhun'ban 标准版
'hong'mi 红米
'hong'mi'biao'pei'ban 红米标配版
'hua'wei'chang'xiang 华为畅享
'hua'wei'mai'mang 华为麦芒
'huan'cai'ban 幻彩版
'huo'li'ban 活力版
'jing'su'ban 竞速版
'meng'jing'ban 梦境版
'ping'mu'zhi'wen'ban 屏幕指纹版
'qi'jian'ban 旗舰版
'qing'chun'ban 青春版
'qu'ping'ban 曲屏版
'rong'yao 荣耀
'rong'yao'chang'wan 荣耀畅玩
'rong'yao'qing'chun'ban 荣耀青春版
'shuang'ping'ban 双屏版
'xiao'mi 小米
'xiao'mi'ping'mu'zhi'wen'ban 小米屏幕指纹版
'xiao'mi'qing'chun'ban 小米青春版
'xiao'mi'qing'chun'huo'li'ban 小米青春活力版
'xiao'mi'tou'ming'tan'suo'ban 小米透明探索版
