'ao'de'sai 奥德赛
'ban'dun 半蹲
'ban'shou 扳手
'ban'zi 扳子
'bian'huan'zhong'xin 变换重心
'ce'deng 侧蹬
'cha'hu 茶壶
'cha'hu'tiao 茶壶跳
'chang'di'shi'jie'su'hua'jin'biao'sai 场地世界速滑锦标赛
'chuan'ding 穿钉
'da'gong'di'yi'cha'shou 大工第一刹手
'dan'jiao 单脚
'dan'jiao'dan'zhuang'zhuan 单脚单桩转
'dan'jiao'fan'ren 单脚翻刃
'dan'jiao'nei'ren'zhuan 单脚内刃转
'dan'jiao'sha 单脚刹
'dan'jiao'wai'ren'zhuan 单脚外刃转
'dan'lun 单轮
'dan'lun'cha'hu 单轮茶壶
'dan'lun'dan'zhuang'zhuan 单轮单桩转
'dan'lun'dao'cha'hu 单轮倒茶壶
'dan'lun'dao'ka'fei'hu 单轮倒咖啡壶
'dan'lun'hou'xiang 单轮后向
'dan'lun'hou'zhuan'qian 单轮后转前
'dan'lun'ka'fei'hu 单轮咖啡壶
'dan'lun'lei 单轮类
'dan'lun'lian'xu'bian'xiang 单轮连续变向
'dan'lun'lian'xu'zhuan'xiang 单轮连续转向
'dan'lun'qian'xiang 单轮前向
'dan'lun'qian'zhuan'hou 单轮前转后
'dan'lun'sha 单轮刹
'dan'lun'tian'e 单轮天鹅
'dan'lun'tian'e'zhuan 单轮天鹅转
'dan'pai 单排
'dan'pai'lun'hua 单排轮滑
'dan'pai'lun'hua'xie 单排轮滑鞋
'dan'pai'lun'lun'hua 单排轮轮滑
'dan'pai'lun'lun'hua'ji'shu 单排轮轮滑技术
'dan'pai'lun'lun'hua'qiu'shi'jie'jin'biao'sai 单排轮轮滑球世界锦标赛
'dan'sha 单刹
'dan'zhuang 单桩
'dan'zhuang'zhuan 单桩转
'dao'ba 倒八
'dao'cha'hu 倒茶壶
'dao'cha'hu'tiao 倒茶壶跳
'dao'dan'jiao 倒单脚
'dao'jia 刀架
'dao'jian 倒剪
'dao'ka'fei'hu 倒咖啡壶
'dao'ka'fei'hu'tiao 倒咖啡壶跳
'dao'ni'er'sen 倒尼尔森
'dao'she 倒蛇
'dao'tian'guo 倒天国
'de'dong'li 的动力
'deng'ji'biao 等级表
'di'yi'cha'shou 第一刹手
'dong'tai'ping'heng 动态平衡
'dong'zuo 动作
'dui'kang'xing 对抗性
'dun'zuo'lei 蹲坐类
'fan'ren 翻刃
