'bao'shui 抱水
'die'yong 蝶泳
'gao'zhou'qu'bi'hua'shui 高肘屈臂划水
'ge'ren'hun'he'yong 个人混合泳
'gong'jiao 攻角
'hou'jiao'cha'pei'he 后交叉配合
'hun'he'yong'jie'li 混合泳接力
'jing'ji'you'yong 竞技游泳
'kong'zhong'yi'bi 空中移臂
'luo'xuan'qu'xian'bian'zhuang'xia'hua 螺旋曲线鞭状下划
'luo'xuan'qu'xian'nei'hua 螺旋曲线内划
'luo'xuan'qu'xian'shang'hua 螺旋曲线上划
'qian'jiao'cha'pei'he 前交叉配合
'sheng'li 升力
'sheng'li'tui'jin'li 升力推进力
'wa'yong 蛙泳
'yang'yong 仰泳
'ying'jiao 迎角
'zhong'jiao'cha'pei'he 中交叉配合
'zhua'shui 抓水
'zi'you'yong 自由泳
'zi'you'yong'jie'li 自由泳接力
'zu'li'tui'jin'li 阻力推进力
