'ban'dao'ti 半导体
'bing'lian 并联
'chang'ji 场记
'chao'sheng'bo 超声波
'dong'liang'shou'heng 动量守恒
'jia'mian'yu'wan'yue'mian 假面与弯月面
'jun'zhi'hua'bei'xi'ju 均质化悲喜剧
'liang'zi'man'bu 量子漫步
'mei'xue'de'tuan'liu 美学的湍流
'miao'ru'jing'dian 渺如静电
'shang'de'guan'li'yuan 熵的管理员
'sheng'cun'zhi'bo'li'er'xiang'xing 生存之波粒二象性
'su'ming'li'ju 宿命力矩
'ta'wu'de'gang'gan 他物的杠杆
'ta'yi'ting'jue'jie'kai'chen'shi'de'guang'pu 他以听觉解开尘世的光谱
'wei'ci'bei'yu'wei'sha'lu'de'hua'lun 为慈悲与为杀戮的滑轮
'xiang'xin'li 向心力
'xuan'hua'huo'yin'mi'de'jiao'liu'dian 喧哗或隐秘的交流电
'zhi'yu'neng 质与能
