'da'xie'zhong'shu'shu'tao'hong'jing 答谢中书书陶弘景
'deng'you'zhou'tai'ge'chen'zi'ang 登幽州台歌陈子昂
'he'zhong'shi'shou'ji'yun 河中石兽纪昀
'hu'xin'ting'kan'xue'zhang'dai 湖心亭看雪张岱
'lie'zi'bo'ya'shan'gu'qin 列子伯牙善鼓琴
'mai'tan'weng'bai'ju'yi 卖炭翁白居易
'man'jiang'hong'xiao'zhu'jing'hua'qiu'jin 满江红小住京华秋瑾
'meng'zi'de'dao'duo'zhu'shi'dao'gua'zhu 孟子得道多助失道寡助
'mu'lan'shi 木兰诗
'nan'xiang'zi'deng'jing'kou'bei'gu'ting'you'huai'xin'qi'ji 南乡子登京口北固亭有怀辛弃疾
