'da'bian'qian'chang 大便欠畅
'da'bian'tiao 大便调
'er'bian'tiao 二便调
'mai'chen 脉沉
'mai'chen'zhi 脉沉滞
'mai'xian 脉弦
'mai'xian'xi 脉弦细
'mian'duo'meng 眠多梦
'mian'qian 眠浅
'mian'qian'duo'meng 眠浅多梦
'mian'qian'yi'xing 眠浅易醒
'mian'yi'xing 眠易醒
'na'cha'bu'yu'shi 纳差不欲食
'na'ke 纳可
'na'mian'ke 纳眠可
'na'yi'ban 纳一般
'ru'shui'ke 入睡可
'ru'shui'nan 入睡难
'she'an'hong 舌暗红
'she'hong'shao'tai 舌红少苔
'tai'bai'ni 苔白腻
'tai'hou'ni 苔厚腻
'xiao'bian'tiao 小便调
