'a'wei 阿魏
'fang'feng 防风
'fang'ji 防己
'fei'yang'cao 飞扬草
'fei'zi 榧子
'fen'bi'xie 粉萆薢
'fen'ge 粉葛
'feng'fang 蜂房
'feng'jiao 蜂胶
'feng'la 蜂蜡
'feng'mi 蜂蜜
'feng'xiang'zhi 枫香脂
'fo'shou 佛手
'fu'chao'cang'zhu 麸炒苍术
'fu'chao'qian'shi 麸炒芡实
'fu'chao'yi'yi'ren 麸炒薏苡仁
'fu'chao'zhi'ke 麸炒枳壳
'fu'chao'zhi'shi 麸炒枳实
'fu'ling 茯苓
'fu'ling'pi 茯苓皮
'fu'pen'zi 覆盆子
'fu'pian 附片
'fu'ping 浮萍
'fu'she 蝮蛇
'fu'wei'rou'dou'kou 麸煨肉豆蔻
'fu'zi 附子
'gan'cao 甘草
'gan'jiang 干姜
'gan'qi 干漆
'gan'shi'hu 干石斛
'gan'song 甘松
'gan'sui 甘遂
'gan'yi'mu'cao 干益母草
'gan'yu'xing'cao 干鱼腥草
'gang'ban'gui 杠板归
'gao'ben 藁本
'gao'ben'pian 藁本片
'gao'liang'jiang 高良姜
'gao'shan'la'gen'cai 高山辣根菜
'ge'gen 葛根
'ge'jie 蛤蚧
'ge'ke 蛤壳
'ge'zhong'dong'wu'bian 各种动物鞭
'ge'zhong'dong'wu'gu 各种动物骨
'ge'zhong'dong'wu'jin 各种动物筋
'ge'zhong'dong'wu'tai 各种动物胎
'ge'zhong'dong'wu'wei 各种动物尾
'gong'lao'mu 功劳木
'gou'bao 狗宝
'gou'gu'ye 枸骨叶
'gou'ji 狗脊
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gu'jing'cao 谷精草
'gu'sui'bu 骨碎补
'gu'ya 谷芽
'gua'lou 瓜蒌
'gua'lou'pi 瓜蒌皮
'gua'lou'zi 瓜蒌子
'gua'zi'jin 瓜子金
'guan'hua'rou'cong'rong'pian 管花肉苁蓉片
'guan'huang'bai 关黄柏
'guan'huang'bai'tan 关黄柏炭
'guan'ye'jin'si'tao 贯叶金丝桃
'guang'dong'zi'zhu 广东紫珠
'guang'huo'xiang 广藿香
'guang'jin'qian'cao 广金钱草
'guang'zao 广枣
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'zhi 桂枝
'ha'ma'you 哈蟆油
'hai'feng'teng 海风藤
'hai'jin'sha 海金沙
'hai'long 海龙
'hai'ma 海马
'hai'piao'xiao 海螵蛸
'hai'zao 海藻
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'shi 鹤虱
'he'shou'wu 何首乌
'he'tao'ren 核桃仁
'he'ye 荷叶
'he'ye'tan 荷叶炭
