'a'li'bu'ge 阿里不哥
'a'su'wen'he'ji'ba 阿速温和吉八
'ai'ping'di 哀平帝
'ai'wang 哀王
'ai'yu'li'ba'li'ba'da 爱育黎拔力八达
'ai'zong 哀宗
'an'de'wang 安德王
'an'ding'wang 安定王
'bai'long 白龙
'bai'que 白雀
'bai'yuan 白元
'bao'da 保大
'bao'ding 保定
'bao'ge 鲍革
'bao'li 宝历
'bao'ning 保宁
'bao'qing 宝庆
'bao'yi 宝义
'bao'ying 宝应
'bei'chao 北朝
'bei'hai'wang 北海王
'bei'han 北汉
'bei'liang 北凉
'bei'qi 北齐
'bei'song 北宋
'bei'wei 北魏
'bei'yan 北燕
'bei'zhou 北周
'ben'chu 本初
'ben'shi 本始
'bi'bing 辟兵
'bo'yang 伯阳
'bu'jiang 不降
'bu'shou 不寿
'cai'ai'hou 蔡哀侯
'cai'bo'huang 蔡伯荒
'cai'cheng'hou 蔡成侯
'cai'dai'hou 蔡戴侯
'cai'dao'hou 蔡悼侯
'cai'gong'hou 蔡共侯
'cai'gong'hou 蔡宫侯
'cai'huan'hou 蔡桓侯
'cai'jing'hou 蔡景侯
'cai'li'hou 蔡厉侯
'cai'ling'hou 蔡灵侯
'cai'mu'hou 蔡穆侯
'cai'ping'hou 蔡平侯
'cai'shu'du 蔡叔度
'cai'wen'hou 蔡文侯
'cai'wu'hou 蔡武侯
'cai'xi'hou 蔡僖侯
'cai'xuan'hou 蔡宣侯
'cai'yi'hou 蔡夷侯
'cai'zhao'hou 蔡昭侯
'cai'zhong 蔡仲
'cai'zhuang'hou 蔡庄侯
'cao'cao 曹操
'cao'cheng'gong 曹成公
'cao'dai'bo 曹戴伯
'cao'dao'gong 曹悼公
'cao'fang 曹芳
'cao'gong'bo 曹宫伯
'cao'gong'gong 曹共公
'cao'huan 曹奂
'cao'huan'gong 曹桓公
'cao'hui'gong 曹惠公
'cao'jing'gong 曹靖公
'cao'mao 曹髦
'cao'mu'gong 曹穆公
'cao'pi 曹丕
'cao'ping'gong 曹平公
'cao'rui 曹睿
'cao'shu 曹叔
'cao'tai'bo 曹太伯
'cao'wen'gong 曹文公
'cao'wu'gong 曹武公
'cao'xi'gong 曹僖公
'cao'xiang'gong 曹襄公
'cao'xiao'bo 曹孝伯
'cao'xuan'gong 曹宣公
'cao'yi'bo 曹夷伯
'cao'yin'gong 曹隐公
'cao'you'bo 曹幽伯
'cao'zhao'gong 曹昭公
'cao'zhong'jun 曹仲君
'cao'zhuang'gong 曹庄公
'chai'rong 柴荣
'chai'zong'xun 柴宗训
'chang'ning'hou 长宁侯
'chang'ping 昌平
'chang'qing 长庆
'chen'ai'gong 陈哀公
'chen'ba'xian 陈霸先
'chen'bo'zong 陈伯宗
'chen'cheng'gong 陈成公
'chen'fei'di 陈废帝
'chen'gong'gong 陈共公
'chen'hou'zhu 陈后主
'chen'hu'gong 陈胡公
'chen'huai'gong 陈怀公
'chen'huan'gong 陈桓公
'chen'hui'gong 陈惠公
'chen'li'gong 陈厉公
'chen'ling'gong 陈灵公
'chen'min'gong 陈闵公
'chen'mu'gong 陈穆公
'chen'ping'gong 陈平公
'chen'qian 陈蒨
'chen'shen'gong 陈慎公
'chen'shen'gong 陈申公
'chen'shu'bao 陈叔宝
'chen'wen'di 陈文帝
'chen'wen'gong 陈文公
'chen'wu'di 陈武帝
'chen'wu'gong 陈武公
'chen'xi'gong 陈僖公
'chen'xiang'gong 陈相公
'chen'xiao'gong 陈孝公
'chen'xu 陈顼
'chen'xuan'di 陈宣帝
'chen'xuan'gong 陈宣公
'chen'yi'gong 陈夷公
'chen'you'gong 陈幽公
'chen'zhuang'gong 陈庄公
'cheng'gong 成公
'cheng'guang 承光
'cheng'han 成汉
'cheng'hua 成化
'cheng'ji'si'han 成吉思汗
'cheng'ping 承平
'cheng'sheng 承圣
'cheng'tian'hou 承天后
'chong'fu 崇福
'chong'ning 崇宁
'chong'zhen 崇祯
'chong'zong 崇宗
'chu'cheng'wang 楚成王
'chu'dao'wang 楚悼王
'chu'di 出帝
'chu'gong'wang 楚共王
'chu'huai'wang 楚怀王
'chu'hui'wang 楚惠王
'chu'jian'wang 楚简王
'chu'jiu 杵臼
'chu'kang'wang 楚康王
'chu'kao'lie'wang 楚考烈王
'chu'ling'wang 楚灵王
'chu'mu'wang 楚穆王
'chu'ping'wang 楚平王
'chu'qing'xiang'wang 楚顷襄王
'chu'sheng'wang 楚声王
'chu'su'wang 楚肃王
'chu'wang 楚王
'chu'wei'wang 楚威王
'chu'wen'wang 楚文王
'chu'wu'wang 楚武王
'chu'xuan'wang 楚宣王
'chu'you'wang 楚幽王
'chu'yuan 初元
'chu'zhao'wang 楚昭王
'chu'zhuang'wang 楚庄王
'chuang'wang 闯王
'da'an 大安
'da'bao 大宝
'da'cheng 大成
'da'ding 大定
'da'li 大历
'da'qing 大庆
'da'shun 大顺
'da'song 大宋
'da'tong 大同
'da'tong 大统
'da'xi 大西
'da'xia 大夏
'da'ye 大业
'da'zhong 大中
'dao'gong 悼公
'dao'guang 道光
'dao'wu'di 道武帝
'dao'zong 道宗
'de'chang 德昌
'de'you 德祐
'de'zong 德宗
'deng'guo 登国
'deng'qi'hou 邓祁侯
'di'jie 地节
'di'ku 帝喾
'di'xin 帝辛
'di'yi 帝乙
'dong'hai'wang 东海王
'dong'han 东汉
'dong'hun'hou 东昏侯
'dong'jin 东晋
'dong'lou'gong 东楼公
'dong'wei 东魏
'dong'zhou 东周
'duan'sui 段隨
'duan'ye 段业
'fang'xun 放勋
'fei'di 废帝
'feng'ba 冯跋
'feng'hong 冯弘
'feng'li 风历
'fu'cha 夫差
'fu'chong 苻崇
'fu'deng 苻登
'fu'hong 苻洪
'fu'jian 苻健
'fu'jian 苻坚
'fu'lin 福临
'fu'pi 苻丕
'fu'sheng 苻生
'fu'si 鲋祀
'fu'wang 福王
'gan'lu 甘露
'gan'tian'hou 感天后
'gao'cong'hui 高从诲
'gao'gui'xiang'gong 高贵乡公
'gao'heng 高恒
'gao'hou 高后
'gao'ji'chong 高继冲
'gao'ji'xing 高季兴
'gao'wei 高纬
'gao'xin 高辛
'gao'yan 高演
'gao'yan'zong 高延宗
'gao'yang 高洋
'gao'yun 高云
'gao'zhan 高湛
'gao'zu 高祖
'geng'shi 更始
'geng'shi'di 更始帝
'geng'yuan 更元
'geng'zi 庚子
'gong'hua 拱化
'gong'sun'xuan'yuan 公孙轩辕
'gong'yi'wang 恭懿王
'gou'jian 勾践
'gou'you 购由
'gu'rong 姑容
'guang'bao 光宝
'guang'chu 光初
'guang'da 光大
'guang'ding 光定
'guang'he 光和
'guang'shi 光始
'guang'shou 光寿
'guang'shun 广顺
'guang'tian 光天
'guang'wu'di 光武帝
'guang'xi 光熹
'guang'xing 光兴
'guang'xu 光绪
'guang'yun 广运
'gui'bao 妫鲍
'gui'chu'jiu 妫杵臼
'gui'gao'yang 妫皋羊
'gui'kuan 妫款
'gui'lin 妫林
'gui'ling 妫灵
'gui'liu 妫柳
'gui'man 妫满
'gui'ning 妫宁
'gui'ping'guo 妫平国
'gui'ruo 妫弱
'gui'shuo 妫说
'gui'shuo 妫朔
'gui'tu 妫突
'gui'tuo 妫佗
'gui'wang 桂王
'gui'wu 妫午
'gui'wu 妫吴
'gui'xi'hou 妫犀侯
'gui'xiao 妫孝
'gui'xie 妫燮
'gui'yu 妫圉
'gui'yu'rong 妫圉戎
'gui'yue 妫越
'guo'wei 郭威
'hai'ling'wang 海陵王
'hai'shan 海山
'hai'yang'wang 海阳王
'han'ai'di 汉哀帝
'han'ai'hou 韩哀侯
'han'an 汉安
'han'an'di 汉安帝
'han'an'wang 韩安王
'han'chang 汉昌
'han'cheng'di 汉成帝
'han'chong'di 汉冲帝
'han'gao'zu 汉高祖
'han'he'di 汉和帝
'han'huan'di 汉桓帝
'han'huan'hui'wang 韩桓惠王
'han'hui'di 汉惠帝
'han'jing'di 汉景帝
'han'jing'hou 韩景侯
'han'lie'hou 韩烈侯
'han'lin'er 韩林儿
'han'ling'di 汉灵帝
'han'ming'di 汉明帝
'han'ping'di 汉平帝
'han'shan'tong 韩山童
'han'shang'di 汉殇帝
'han'shao'di 汉少帝
'han'shun'di 汉顺帝
'han'wen'di 汉文帝
'han'wen'hou 韩文侯
'han'wu'di 汉武帝
'han'xi'wang 韩僖王
'han'xian'di 汉献帝
'han'xiang'wang 韩襄王
'han'xing 汉兴
'han'xuan'di 汉宣帝
'han'xuan'hui'wang 韩宣惠王
'han'yi'hou 韩懿侯
'han'yuan'di 汉元帝
'han'zhang'di 汉章帝
'han'zhao'di 汉昭帝
'han'zhao'hou 韩昭侯
'han'zhi'di 汉质帝
'he'dan'jia 河旦甲
'he'di 和帝
'he'lian'bo'bo 赫连勃勃
'he'lian'chang 赫连昌
'he'lian'ding 赫连定
'he'lv 阖闾
'he'ping 和平
'he'shi'su 和世梀
'hong'chang 弘昌
'hong'guang 弘光
'hong'li 弘历
'hong'tian'gui'fu 洪天贵福
'hong'wu 洪武
'hong'xi 洪熙
'hong'xian 洪宪
'hong'xiu'quan 洪秀全
'hong'zhi 弘治
'hou'fei'di 后废帝
'hou'han 后汉
'hou'jin 后金
'hou'jin 后晋
'hou'liang 后凉
'hou'liang 后梁
'hou'qin 后秦
'hou'shu 后蜀
'hou'tang 后唐
'hou'yan 后燕
'hou'zhao 后赵
'hou'zhou 后周
'hou'zhu 后主
'hu'bi'lie 忽必列
'hu'hai 胡亥
'huan'zi 桓子
'huan'zong 桓宗
'huang'chu 黄初
'huang'chu 皇初
'huang'di 黄帝
'huang'jian 皇建
'huang'qing 皇庆
'huang'shi 皇始
'huang'tai 皇泰
'huang'tai'ji 皇太极
'huang'tong 皇统
'huang'wu 黄武
'hui'chang 会昌
'hui'di 惠帝
'hui'yi'di 惠懿帝
'hui'zong 惠宗
'ji'ao 姬敖
'ji'ban 姬班
'ji'bei'wang 济北王
'ji'bi 姬濞
'ji'bi'fang 姬辟方
'ji'bian 姬扁
'ji'biao 姬彪
'ji'bo 姬伯
'ji'bo'qin 姬伯禽
'ji'chai 姬虿
'ji'chang 姬昌
'ji'chi 姬赤
'ji'chou 姬丑
'ji'chou 姬仇
'ji'chou 姬稠
'ji'dai 姬骀
'ji'dan 姬旦
'ji'ding 姬定
'ji'du 姬度
'ji'e 姬恶
'ji'fa 姬发
'ji'fei 姬费
'ji'fei'wang 姬费王
'ji'fen 姬奋
'ji'feng 姬封
'ji'fu 姬弗
'ji'fu 姬福
'ji'fu'chu 姬负刍
'ji'fu'huang 姬弗湟
'ji'fu'ren 姬服人
'ji'gai 姬匄
'ji'gong'bo 姬共伯
'ji'gong'sheng 姬宫湦
'ji'gu 姬贾
'ji'guang 姬光
'ji'gui 姬贵
'ji'gui'zhu 姬诡诸
'ji'hei'gong 姬黑肱
'ji'hei'tun 姬黑臀
'ji'hou 姬侯
'ji'hu 姬胡
'ji'hu'qi 姬胡齐
'ji'huan 姬欢
'ji'hui 姬毁
'ji'ji 姬籍
'ji'jia 姬嘉
'ji'jian 姬囏
'ji'jian 姬坚
'ji'jiang 姬将
'ji'jiao 姬角
'ji'jiao 姬骄
'ji'jie 姬踕
'ji'jie 姬介
'ji'jin 姬晋
'ji'jing 姬静
'ji'jiu 姬纠
'ji'ju 姬具
'ji'ju 姬据
'ji'ju'jiu 姬俱酒
'ji'jue'tu 姬掘突
'ji'kai 姬开
'ji'kang 姬康
'ji'kuai 姬哙
'ji'kuai'kui 姬蒯聩
'ji'lan 姬兰
'ji'lang 姬阆
'ji'lin 姬林
'ji'lu 姬露
'ji'lun 姬婨
'ji'man 姬满
'ji'mei'sheng 姬寐生
'ji'meng 姬猛
'ji'min 姬缗
'ji'ning 姬宁
'ji'ning'zu 姬宁族
'ji'pi 姬脾
'ji'ping 姬平
'ji'qi 姬起
'ji'qi 姬启
'ji'qian 姬黔
'ji'qian'mou 姬黔牟
'ji'qiang 姬强
'ji'qiu 姬酋
'ji'qiu 姬秋
'ji'qu'ji 姬去疾
'ji'ren 姬仁
'ji'ren'chen 姬壬臣
'ji'shang'shu 姬殇叔
'ji'shen 姬申
'ji'sheng 姬胜
'ji'shi 姬奭
'ji'shou 姬寿
'ji'shou'man 姬寿曼
'ji'shu 姬叔
'ji'shuo 姬朔
'ji'si 姬兕
'ji'si'jun 姬嗣君
'ji'si'tu 姬司徒
'ji'song 姬诵
'ji'song 姬宋
'ji'su 姬苏
'ji'su 姬速
'ji'tong 姬通
'ji'tong 姬同
'ji'tu 姬突
'ji'tui 姬颓
'ji'tun 姬屯
'ji'tuo 姬佗
'ji'tuo 姬妥
'ji'wan 姬完
'ji'wei 姬嵬
'ji'wu 姬午
'ji'wu 姬武
'ji'xi 姬郗
'ji'xi 姬喜
'ji'xi 姬息
'ji'xi 姬戏
'ji'xi 姬熙
'ji'xi'gu 姬夕姑
'ji'xia 姬瑕
'ji'xian 姬显
'ji'xiang 姬襄
'ji'xiao'zi 姬小子
'ji'xie 姬燮
'ji'xie'xin 姬泄心
'ji'xin 姬邤
'ji'xing 姬兴
'ji'xu 姬须
'ji'xun 姬训
'ji'yan 姬衍
'ji'yan 姬偃
'ji'yan 姬延
'ji'yang 姬扬
'ji'ye 姬野
'ji'yi 姬乙
'ji'yi 姬夷
'ji'yi 姬宜
'ji'yi 姬已
'ji'yi 姬抑
'ji'yi 姬易
'ji'yi'gao 姬夷皋
'ji'yi'gong 姬夷宫
'ji'yi'hu 姬医扈
'ji'yi'jiu 姬宜臼
'ji'yi'wu 姬夷吾
'ji'you 姬友
'ji'yu 姬虞
'ji'yu 姬瑜
'ji'yuan 姬元
'ji'yun 姬云
'ji'yun 姬允
'ji'yun 姬恽
'ji'zai 姬宰
'ji'zang 姬臧
'ji'zao 姬凿
'ji'zhai'zhong 姬祭仲
'ji'zhao 姬钊
'ji'zhe 姬辄
'ji'zhen'duo 姬振铎
'ji'zheng 姬郑
'ji'zhi 姬止
'ji'zhong'er 姬重耳
'ji'zhong'sheng 姬终生
'ji'zhou 姬周
'ji'zhuo 姬擢
'ji'zi'yi 姬子宜
'ji'zi'ying 姬子婴
'jia'jing 嘉靖
'jia'qing 嘉庆
'jia'zuo 嘉佐
'jian'an 建安
'jian'chu 建初
'jian'guo 建国
'jian'he 建和
'jian'jian 间见
'jian'kang'gong 建康公
'jian'long 建隆
'jian'ming 建明
'jian'ning 建宁
'jian'ping 建平
'jian'shi 建始
'jian'wen 建文
'jian'wen'di 简文帝
'jian'wu 建武
'jian'xi 建熙
'jian'xing 建兴
'jian'yan 建炎
'jian'yi 建义
'jian'yuan 建元
'jian'zhong 建中
'jiang'jie'shi 蒋介石
'jiang'lie'shan 姜烈山
