'bang'zhu 帮主
'bo'bo'wei'qi 波波维奇
'chao'ju 超巨
'chao'yin'su'dui 超音速队
'da'sha'yu 大鲨鱼
'dai'dai 呆呆
'de'fen'wang 得分王
'gong'niu'dui 公牛队
'gong'niu'wang'chao 公牛王朝
'gong'zi'mao 工资帽
'hei'man'ba 黑曼巴
'jue'jin'dui 掘金队
'jue'sha 绝杀
'kai'tuo'zhe'dui 开拓者队
'kao'xin'si 考辛斯
'lan'wang'dui 篮网队
'lian'meng'ling'tou'yang 联盟领头羊
'lian'meng'ting'bai 联盟停摆
'meng'long'dui 猛龙队
'meng'shen 萌神
'mo'shu'dui 魔术队
'nong'mei'ge 浓眉哥
'pao'hong'zhan'shu 炮轰战术
'qi'shi'dui 骑士队
'qiang'qi'da'zhan 抢七大战
'quan'ming'xing 全明星
'san'jiao'jin'gong 三角进攻
'san'ju'tou 三巨头
'sha'si'bi'sai 杀死比赛
'shang'bing 伤病
'shui'huo'zhuang'yuan 水货状元
'si'wang'wu'xiao 死亡五小
'suo'shui'sai'ji 缩水赛季
'tian'wang'shan'da'zhan 天王山大战
'xiao'huang'di 小皇帝
'ya'dang'xiao'hua 亚当肖华
'zong'guan'jun 总冠军
'zong'jue'sai 总决赛
