'an'bao 安包
'an'ya 安呀
'bao'fei 包匪
'bao'huo 爆火
'bao'zai'you'bian 包在右边
'bao'zai'zuo'bian 包在左边
'bu'chong'de'ti 不冲的踢
'bu'yao'da'wo 不要打我
'bu'yao'zou 不要走
'bu'zou'de'ti 不走的踢
'ce'dao 侧道
'ce'men 侧门
'chai'bao 拆包
'chai'bao'qi 拆包器
'chao'ji'tiao 超级跳
'che'tui 撤退
'chong'feng 冲锋
'chuan'qiang 穿墙
'chuan'si 穿死
'da'dao 大道
'da'niao 大鸟
'da'pen 大喷
'da'ren'ti 搭人梯
'da'tiao'ju 大跳狙
'dan'pen 单喷
'dan'tiao 单挑
'di'tu'shi'gai'zhuang'de 地图是改装的
'dian'she 点射
'diao'zhong'li 调重力
'ding'ju 定狙
'ding'xia 顶下
'ding'zhu 顶住
'dui'ju 对狙
'dun'dian 蹲点
'dun'tiao 蹲跳
'dun'xia 蹲下
'er'lou 二楼
'fa'ba'da'niao 发把大鸟
'fa'ba'qiang 发把枪
'fa'xian'di'ren 发现敌人
'fa'xian'yi'ge'jiang'shi 发现一个僵尸
'fa'xian'yi'qun'jiang'shi 发现一群僵尸
'fan'kong'jing'ying 反恐精英
'fan'kong'jing'ying'gai'zhuang 反恐精英改装
'fan'zuo'bi'qi 反作弊器
'fei'jia 匪家
'fei'tou 匪头
'fei'wo 匪窝
'fei'zhuan 匪专
'fen'lan'zhi'xing 芬兰之星
'gang'cai'de'tu 刚才的图
'gei'ba'qiang 给把枪
'gen'ju 跟狙
'gen'wo'chong 跟我冲
'gen'wo'lai 跟我来
'gen'wo'zou 跟我走
'huan'cai 幻彩
'huan'ge'di'tu 换个地图
'huan'ge'tu 换个图
'huan'tu 换图
'hui'chao 回抄
'hui'fang 回防
'hui'mie'zhe 毁灭者
'ji'fang 挤房
'ji'jia'feng'bao 机甲风暴
'ji'xian'tiao'yue 极限跳跃
'jia'qiang 架枪
'jia'ti 架梯
'jian'fang 建房
'jian'zhu 建主
'jing'ji'di 警基地
'jing'jia 警家
'jing'zhuan 警专
'jiu'chang 救场
'ju'jing 狙镜
'kai'jing 开镜
'kong'bu'fen'zi 恐怖分子
'kong'xin'ju 空心狙
'kong'xue 空血
'kuai'zou 快走
'kuang'nu'qi'shi 狂怒骑士
'kui'ping 窥屏
'lao'jia 老家
'lao'niao 老鸟
'lei'qu 雷区
'lei'zha 雷炸
'li'ti'jia'qiang 立体架枪
'lian'ju 连狙
'lian'pen 连喷
'lie'hun'qi'shi 裂魂骑士
'lv'dao 绿道
'mai'bao 埋包
'mai'jia 买甲
'mang'ju 盲狙
'mei'qian'le 没钱了
'meng'guo 盟国
'meng'yao 梦瑶
'ming'ren'tang 名人堂
'ni'dun'zai'na'li 你蹲在那里
'ni'shui'ya 你谁呀
'ni'zai'na'qu 你在哪区
'niao'ju 鸟狙
'niao'qiang 鸟枪
'pen'zi 喷子
'po'yi'xin'pian 破译芯片
'qian'zi 钳子
'qie'ju 切狙
'qing'qiu'zhi'yuan 请求支援
'qing'rang'yi'xia 请让一下
'qing'yu'wo'huan'yi'xia'qiang 请与我换一下枪
'quan'ti'dao'an'quan'qu'yu'ji'he 全体到安全区域集合
'quan'ti'ji'he 全体集合
'quan'ti'yi'dong 全体移动
'reng'bao 扔包
'reng'lei 扔雷
'san'fa'lian'she 三发连射
'san'lou 三楼
'sang'shi 丧尸
'sao'she 扫射
'sha'mo'fei'xu 沙漠废墟
'sha'mo'zhi'ying 沙漠之鹰
'sha'ying 沙鹰
'shan'guang'lei 闪光雷
'shan'jing 闪镜
'shan'ju 闪狙
'shan'lei 闪雷
'shan'shen'bao'tou 闪身爆头
'shang'fang'ding 上房顶
'shi'bian 尸变
'shou'bao 守包
'shou'lei 手雷
'shua'ping 刷屏
'shua'qian 刷钱
'shua'xia 刷下
'shua'yi'xia 刷一下
'shuai'ju 甩狙
'shuai'lei 甩雷
'shuai'qiang 甩枪
'shuang'fa'lian'she 双发连射
'su'zhu 宿主
'tian'tai 天台
'tiao'ju 跳狙
'tong'meng 同盟
'tou'bao 偷包
'tou'xi 偷袭
'tu'wei'sha'mo'fei'xu 突围沙漠废墟
'wai'chang 外场
'wang'tei'ka 网忒卡
'wo'ding'bu'zhu'le 我顶不住了
'wo'ti'ni'dang'zhe 我替你挡着
'xi'yin'huo'li 吸引火力
'xian'dan'qiang 霰弹枪
'xiao'dao 小道
'xiao'ju 小狙
'xue'di'kuang'ben 雪地狂奔
'ya'jin 雅金
'ya'qiang 压枪
'yan'hu'wo 掩护我
'yan'wu'dan 烟雾弹
'zha'zhu 炸主
'zhan'dui 战队
'zhan'qi 站起
'zhao'liang'de'bei'ji'xiong 着凉的北极熊
'zheng'yu'di'jun'jiao'huo 正与敌军交火
'zhong'men 中门
'zhu'ji 主机
'zhuang'bao 装包
'zhuang'lei 装雷
'zuo'bi'de'ti 作弊的踢
'zuo'bi'de'zi'ji'gun 作弊的自己滚
'zuo'bi'qi 作弊器
