'a'yi'lian 阿依莲
'ai'lai'yi 艾莱依
'ba'di'na 芭蒂娜
'bo'yi 帛逸
'di'sai'ni'si 迪赛尼斯
'ge'bang 哥邦
'gu'bang 谷邦
'hai'bei 海贝
'hong'xiu 红袖
'jia'ren'yuan 佳人苑
'jin'yu'jie 金羽杰
'ka'la'fu 卡拉弗
'kun'shi'lan 昆诗兰
'la'su 拉素
'mi'di 谜底
'mi'di'la 弥缔拉
'na'wen 纳纹
'ou'shi'li 欧时力
'pa'di'xiu 帕蒂秀
'san'cai 三彩
'shi'shang'xuan 时尚轩
'ta'ta 塔她
'xiang'ying'qiu'shui'yi'ren 香影秋水伊人
'xue'ge 雪歌
'yi'xiang'li'ying 衣香丽影
'yong'shi 咏仕
'zhuo'duo'zi 卓多姿
'zi'lan'men 紫澜门
'zi'shu 紫淑
'zi'you'xiu 自由秀
