'a'wei 阿魏
'ai'di'cha 矮地茶
'ai'ye 艾叶
'ai'ye'you 艾叶油
'an'xi'xiang 安息香
'an'you 桉油
'ba'dou 巴豆
'ba'dou'shuang 巴豆霜
'ba'ji'tian 巴戟天
'ba'jiao'feng 八角枫
'ba'jiao'hui'xiang 八角茴香
'ba'jiao'hui'xiang'you 八角茴香油
'ba'li'ma 八厘麻
'ba'zhen'tang 八珍汤
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'cao'shuang 百草霜
'bai'fan 白矾
'bai'fu'zi 白附子
'bai'guo 白果
'bai'he 百合
'bai'hua'she'she'cao 白花蛇舌草
'bai'ji 白芨
'bai'jiang'cao 败酱草
'bai'jiang'dan 白降丹
'bai'jie'zi 白芥子
'bai'lian 白蔹
'bai'mao'gen 白茅根
'bai'qian 白前
'bai'qu'cai 白屈菜
'bai'rui'cao 百蕊草
'bai'shao 白芍
'bai'shou'wu 白首乌
'bai'su 白苏
'bai'tou'weng 白头翁
'bai'xian'pi 白鲜皮
'bai'yao'zi 白药子
'bai'ying 白英
'bai'yun'hua'gen 白云花根
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'ren 柏子仁
'ban'ao 斑鳌
'ban'bian'lian 半边莲
'ban'lan'gen 板蓝根
'ban'mao 斑蝥
'ban'xia 半夏
'ban'zhi'lian 半支莲
'bao'gu 豹骨
'bao'ma'zi 暴马子
'bei'dou'gen 北豆根
'bei'mu'hua 贝母花
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cheng'qie 荜澄茄
'bi'ma'you 蓖麻油
'bi'ma'zi 蓖麻子
'bian'dou'hua 扁豆花
'bian'xu 扁蓄
'bie'jia 鳖甲
'bing'lang 槟榔
'bing'liang'hua 冰凉花
'bing'pian 冰片
'bo'gu'dan 驳骨丹
'bo'he 薄荷
'bo'he'nao 薄荷脑
'bo'he'you 薄荷油
'bu'gu'zhi 补骨脂
'bu'zha'ye 布渣叶
'cang'er'zi 苍耳子
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'hong'teng 草红藤
'cao'wu 草乌
'cao'xue'jie 草血竭
'ce'bai'ye 侧柏叶
'cha'you 茶油
'chai'hu 柴胡
'chan'su 蟾酥
'chan'tao'ren 燀桃仁
'chan'tui 蝉蜕
'chang'chun'hua 长春花
'chang'shan 常山
'chao'tian'guan 朝天罐
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'pi 陈皮
'chen'xiang 沉香
'cheng'gou'feng 称钩风
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'xiao'dou 赤小豆
'chong'bai'la 虫白蜡
'chong'lou 重楼
'chong'wei'zi 茺蔚子
'chou'ling'dan'cao 臭灵丹草
'chu'shi'zi 楮实子
'chuan'bei'mu 川贝母
'chuan'lian'zi 川楝子
'chuan'mu'tong 川木通
'chuan'mu'xiang 川木香
'chuan'niu'xi 川牛膝
'chuan'po'shi'qie'gen 穿破石茄根
'chuan'shan'jia 穿山甲
'chuan'shan'long 穿山龙
'chuan'wu 川乌
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chui'pen'cao 垂盆草
'chun'pi 椿皮
'ci'shi 磁石
'ci'wei'pi 刺猬皮
'ci'wu'jia 刺五加
'cong'bai 葱白
'da'dou'huang'juan 大豆黄卷
'da'fei'yang'cao 大飞扬草
'da'feng'zi 大风子
'da'fu'pi 大腹皮
'da'hong'pao 大红袍
'da'huang 大黄
'da'ji 大戟
'da'ji 大蓟
'da'qing'ye 大青叶
'da'suan 大蒜
'da'tou'chen 大头陈
'da'xue'teng 大血藤
'da'zao 大枣
'dai'dai'hua 代代花
'dai'mao 玳瑁
'dan'dou'chi 淡豆豉
'dan'fan 胆矾
'dan'mu 胆木
'dan'nan'xing 胆南星
'dan'shen 丹参
'dan'zhi 胆汁
'dan'zhu'ye 淡竹叶
'dang'gui 当归
