'a'ben 阿本
'a'zhai'shi'mian'ri'ji 阿宅失眠日记
'bang'bang'tang'er'jun 棒棒堂二军
'bang'ge'gu 邦哥鼓
'bao'ya'su 暴牙苏
'chao'ke 超克
'jia'hun'xue 假混血
'jian'xiang'qi 简翔棋
'li'quan 李铨
'liu'lu'cun 刘禄存
'lu'shi'fu 禄师傅
'ma'jie'ke 马杰克
'mao'di 毛弟
'mo'fan'qi'bang 模范七棒
'qi'bang'wu'wang 七棒舞王
'qiu'yi'cheng 邱翊橙
'quan'er 铨儿
'ruo'ji 弱鸡
'sha'zi'quan 傻子铨
'tun'shi'shou 吞食兽
'wei'jia'hong 韦佳宏
'wei'yu 鮪魚
'weng'jun 翁俊
'wu'jun'yan 吳俊諺
'xiao'lu 小禄
'xiao'ma 小马
'ye'shou 野兽
'zai'nan'wang 灾难王
'zao'can'dian'shao'dong 早餐店少东
