'dong'jiao'yuan 董郊原
'gao'guan'lan 高观澜
'hu'bing'qian 胡秉虔
'huang'yue 黄钺
'jia'lun'da 郏抡达
'jiang'cai'ping 江采萍
'liu'ceng'lu 刘曾騄
'liu'yu 刘彧
'pan'cheng'zhang 潘柽章
'pan'yi'kui 潘挹奎
'shen'bao'zhen 沈葆桢
'tong'geng'nian 童赓年
'wan'yan'teng'yu 完颜腾宇
'wang'qing'hui 王清惠
'wang'yu'chao 王驭超
'wang'zhao'yong 汪兆镛
'wu'zao 吴藻
'wu'zhi'ting 吴之珽
'xie'dao'yun 谢道韫
'xie'gao 谢杲
'yan'rui 严蕊
'yang'xun'ji 杨循吉
'yu'xin 庾信
'yu'yi 鱼翼
'zheng'xiang'ru 郑相如
'zuo'fen 左芬
