'a'cai'ti'qu'wu 阿菜提取物
'da'hua'zi'wei'ti'qu'wu 大花紫薇提取物
'dang'gui'ti'qu'wu 当归提取物
'e'li'da'dou'wei'zao'hua'wu 鳄梨大豆未皂化物
'hei'zi'cao'ti'qu'wu 黑籽草提取物
'hou'mian'bao 猴面包
'hui'shu'hua'ti'qu'wu 灰树花提取物
'ku'xing'ren'ti'qu'wu 苦杏仁提取物
'ru'xiang'ti'qu'wu 乳香提取物
'xiao'bai'ju 小白菊
'xiao'bai'ju'nei'zhi 小白菊内酯
'xiao'bai'ju'ti'qu'wu 小白菊提取物
'yue'ju'ti'qu'wu 越橘提取物
