'an'lun 氨纶
'an'shou'gao 暗收高
'an'shou'kuan 暗收宽
'can'si 蚕丝
'chi'ma 尺码
'chou'tiao 抽条
'cu'xian 醋纤
'da'di 打底
'da'shen 大身
'da'shen'bu'wei'ming'cheng 大身部位名称
'da'yuan'ling'tao'shan 大圆领套衫
'dai'gao 袋高
'dai'kuan 袋宽
'dan'jian'kuan 单肩宽
'dan'mian 单面
'dan'yu'lin 单鱼鳞
'dang'ping'shou 档平收
'dang'ping'yao 档平摇
'di'lun 涤纶
'fang'zhen 放针
'fu'jian 附件
'gao'ling'tao'shan 高领套衫
'gao'tan'la'jia 高弹拉架
'gua'jian 挂肩
'gua'jian'ping'shou 挂肩平收
'gua'jian'ping'shou'jian 挂肩平收肩
'gua'jian'ping'yao 挂肩平摇
'gua'jian'shou'zhen'gao 挂肩收针高
'hou'bei'kuan 后背宽
'hou'gua'jian'fang'zhen 后挂肩放针
'hou'gua'jian'shou'zhen 后挂肩收针
'hou'gua'jian'shou'zhen'gao 后挂肩收针高
'hou'jian'ping'yao 后肩平摇
'hou'jian'shou'zhen 后肩收针
'hou'jian'yu'zhen 后肩余针
'hou'ling'kuan 后领宽
'hou'ling'ping'shou 后领平收
'hou'ling'ping'yao 后领平摇
'hou'ling'shen 后领深
'hou'ling'shou'zhen 后领收针
'hou'ma'an'kuan 后马鞍宽
'hou'pian 后片
'hou'xiong'gao 后胸高
'hou'xiong'kuan 后胸宽
'hou'xiong'ping'yao 后胸平摇
'hou'xiu'shan'kuan 后袖山宽
'hou'yao'shang'ping'yao 后腰上平摇
'hou'zhong'yao'fang'zhen 后中腰放针
'hou'zhong'yao'ping'yao 后中腰平摇
'hou'zhong'yao'shou'zhen 后中腰收针
'hua'xian 化纤
'huo'hao 货号
'ji'hao 记号
'jian'fang'zhen 肩放针
'jian'kuan 肩宽
'jian'ping'yao 肩平摇
'jian'shou'zhen 肩收针
'jian'xie 肩斜
'jian'yu'zhen 肩余针
'jiao'hua 绞花
'jin'si 金丝
'jin'xian 金纤
'jin'yin'si 金银丝
'jing'lun 腈纶
'jing'mi 净密
'jing'pin'mian 精品棉
'jing'pin'yang'mao 精品羊毛
'juan'mian 绢棉
'juan'si 绢丝
'kong'zhuan 空转
