'bu'chi'you 不持有
'duo'shou'zu 剁手族
'fu'mian'ci'chang 负面磁场
'fu'mian'neng'liang 负面能量
'gan'en'kong'jian 感恩空间
'lei'you'fa'ze 类友法则
'po'chuang'li'lun 破窗理论
'sa'yan 撒盐
'sao'chu'li 扫除力
'she'bu'de'zheng'hou'qun 舍不得症候群
'tun'huo'zu 囤货族
'tuo'yan'zheng 拖延症
'xiang'qin'kong 相亲控
'yu'wang'wu'qiong'bing 欲望无穷病
'zheng'mian'ci'chang 正面磁场
'zheng'mian'neng'liang 正面能量
