'lan'wei'qing'hua'tang 阑尾清化汤
'lan'wei'qing'jie'tang 阑尾清解汤
'leng'xiao'wan 冷哮丸
'li'zhong'an'hui'tang 理中安蛔汤
'li'zhong'wan 理中丸
'lian'mei'an'hui'tang 连梅安蛔汤
'lian'pu'yin 连朴饮
'liang'fu'wan 良附丸
'liang'ge'san 凉膈散
'ling'gan'wu'wei'jiang'xin'tang 苓甘五味姜辛汤
'ling'gui'shu'gan'tang 苓桂术甘汤
'ling'jiao'gou'teng'yin 羚角钩藤饮
'liu'he'tang 六和汤
'liu'jun'zi'tang 六君子汤
'liu'wei'di'huang'wan 六味地黄丸
'liu'yi'san 六一散
'long'dan'xie'gan'tang 龙胆泻肝汤
'ma'huang'fu'zi'xi'xin'tang 麻黄附子细辛汤
'ma'huang'jia'shu'tang 麻黄加术汤
'ma'huang'tang 麻黄汤
'ma'huang'xing'ren'gan'cao'shi'gao'tang 麻黄杏仁甘草石膏汤
'ma'xing'yi'gan'tang 麻杏苡甘汤
'ma'zi'ren'wan 麻子仁丸
'mai'men'dong'tang 麦门冬汤
'mai'wei'di'huang'wan 麦味地黄丸
'mu'li'san 牡蛎散
'mu'xiang'bing'lang'wan 木香槟榔丸
'niu'huang'qing'xin'wan 牛黄清心丸
'nuan'gan'jian 暖肝煎
'ping'wei'san 平胃散
'pu'ji'xiao'du'yin 普济消毒饮
'qi'bao'mei'ran'dan 七宝美髯丹
'qi'ju'di'huang'wan 杞菊地黄丸
'qi'li'san 七厘散
'qian'zheng'san 牵正散
'qiang'huo'sheng'shi'tang 羌活胜湿汤
'qin'jiao'bie'jia'san 秦艽鳖甲散
'qing'dai'san 清带散
'qing'gu'san 清骨散
'qing'hao'bie'jia'tang 青蒿鳖甲汤
'qing'jin'jiang'huo'tang 清金降火汤
'qing'qi'hua'tan'wan 清气化痰丸
'qing'shu'yi'qi'tang 清暑益气汤
'qing'wei'san 清胃散
'qing'wen'bai'du'yin 清瘟败毒饮
'qing'xin'lian'zi'yin 清心莲子饮
'qing'ying'tang 清营汤
'qing'zao'jiu'fei'tang 清燥救肺汤
'qiong'yu'gao 琼玉膏
'ren'shen'ge'jie'san 人参蛤蚧散
'ren'shen'hu'tao'tang 人参胡桃汤
'san'ao'tang 三拗汤
'san'jia'fu'mai'tang 三甲复脉汤
'san'miao'wan 三妙丸
'san'ren'tang 三仁汤
'san'wu'bei'ji'wan 三物备急丸
'san'zi'yang'qin'tang 三子养亲汤
'sang'ju'yin 桑菊饮
'sang'piao'xiao'san 桑螵蛸散
'sang'xing'tang 桑杏汤
'sha'shen'mai'dong'tang 沙参麦冬汤
'shao'fu'zhu'yu'tang 少腹逐瘀汤
'shao'yao'tang 芍药汤
'she'gan'ma'huang'tang 射干麻黄汤
'shen'fu'tang 参附汤
'shen'ling'bai'zhu'san 参苓白术散
'shen'lu'yin 参芦饮
'shen'qi'wan 肾气丸
'shen'su'yin 参苏饮
'shen'tong'zhu'yu'tang 身痛逐瘀汤
'shen'xi'dan 神犀丹
'sheng'hua'tang 生化汤
'sheng'jiang'xie'xin'tang 生姜泻心汤
'sheng'ma'ge'gen'tang 升麻葛根汤
'sheng'mai'san 生脉散
'sheng'tie'luo'yin 生铁落饮
'sheng'xian'tang 升陷汤
'sheng'yang'yi'wei'tang 升阳益胃汤
'shi'bu'wan 十补丸
'shi'hui'san 十灰散
'shi'pi'san 实脾散
'shi'quan'da'bu'tang 十全大补汤
'shi'wei'wen'dan'tang 十味温胆汤
'shi'xiao'san 失笑散
'shi'zao'tang 十枣汤
'shu'zao'yin'zi 疏凿饮子
'shui'lu'er'xian'tang 水陆二仙汤
'si'jun'zi'tang 四君子汤
'si'ling'san 四苓散
'si'miao'wan 四妙丸
'si'miao'yong'an'tang 四妙勇安汤
'si'mo'tang 四磨汤
'si'ni'jia'ren'shen'tang 四逆加人参汤
'si'ni'san 四逆散
'si'ni'tang 四逆汤
'si'shen'wan 四神丸
'si'sheng'wan 四生丸
'si'wu'tang 四物汤
'su'he'xiang'wan 苏合香丸
'su'zi'jiang'qi'tang 苏子降气汤
'suan'zao'ren'tang 酸枣仁汤
'suo'quan'wan 缩泉丸
'tai'shan'pan'shi'san 泰山磐石散
'tao'he'cheng'qi'tang 桃核承气汤
'tao'hong'si'wu'tang 桃红四物汤
'tao'hua'tang 桃花汤
'tian'ma'gou'teng'yin 天麻钩藤饮
'tian'tai'wu'yao'san 天台乌药散
'tian'wang'bu'xin'dan 天王补心丹
'tiao'wei'cheng'qi'tang 调胃承气汤
'ting'li'da'zao'xie'fei'tang 葶苈大枣泻肺汤
'tong'mai'si'ni'san 通脉四逆散
'tong'qiao'huo'xue'tang 通窍活血汤
'tong'xie'yao'fang 痛泻药方
'wan'dai'tang 完带汤
'wei'jing'tang 苇茎汤
'wei'ling'tang 胃苓汤
'wen'dan'tang 温胆汤
'wen'jing'tang 温经汤
'wen'pi'tang 温脾汤
'wu'ji'wan 戊己丸
'wu'lin'san 五淋散
'wu'ling'san 五苓散
'wu'mei'wan 乌梅丸
'wu'pi'san 五皮散
'wu'ren'wan 五仁丸
'wu'tou'tang 乌头汤
'wu'wei'xiao'du'yin 五味消毒饮
'wu'zhu'yu'tang 吴茱萸汤
'xi'huang'wan 犀黄丸
'xi'jiao'di'huang'tang 犀角地黄汤
'xia'yu'xue'tang 下淤血汤
'xian'fang'huo'ming'yin 仙方活命饮
'xiang'lian'wan 香连丸
'xiang'ru'san 香薷散
'xiang'sha'liu'jun'zi'tang 香砂六君子汤
'xiao'ban'xia'tang 小半夏汤
'xiao'chai'hu'tang 小柴胡汤
'xiao'cheng'qi'tang 小承气汤
'xiao'feng'san 消风散
'xiao'huo'luo'dan 小活络丹
'xiao'ji'yin'zi 小蓟饮子
'xiao'jian'zhong'tang 小建中汤
'xiao'jin'dan 小金丹
'xiao'qing'long'tang 小青龙汤
'xiao'xian'xiong'tang 小陷胸汤
'xiao'yao'san 逍遥散
'xie'bai'san 泻白散
'xie'huang'san 泻黄散
'xin'jia'huang'long'tang 新加黄龙汤
'xin'jia'xiang'ru'yin 新加香薷饮
'xin'zhi'ju'pi'zhu'ru'tang 新制橘皮竹茹汤
'xing'jun'san 行军散
'xing'su'san 杏苏散
'xuan'bi'tang 宣痹汤
'xuan'fu'dai'zhe'tang 旋覆代赭汤
'xue'fu'zhu'yu'tang 血府逐瘀汤
'yan'tang'tan'tu'fang 盐汤探吐方
'yang'he'tang 阳和汤
'yang'yin'qing'fei'tang 养阴清肺汤
'yi'gong'san 异功散
'yi'guan'jian 一贯煎
'yi'huang'tang 易黄汤
'yi'wei'tang 益胃汤
'yi'yuan'san 益元散
'yin'chen'hao'tang 茵陈蒿汤
'yin'chen'si'ni'san 茵陈四逆散
'yin'chen'wu'ling'san 茵陈五苓散
'yin'qiao'san 银翘散
'you'gui'wan 右归丸
'you'gui'yin 右归饮
'yu'gong'san 禹功散
'yu'nv'jian 玉女煎
'yu'ping'feng'san 玉屏风散
'yu'ye'tang 玉液汤
'yu'zhen'san 玉真散
'yue'bi'tang 越婢汤
