'er'shi'ba 贰拾捌
'er'shi'er 贰拾贰
'er'shi'jiu 贰拾玖
'er'shi'lu 贰拾陆
'er'shi'qi 贰拾柒
'er'shi'san 贰拾叁
'er'shi'si 贰拾肆
'er'shi'wu 贰拾伍
'er'shi'yi 贰拾壹
'ling'er 零贰
'ling'er'shi 零贰拾
'ling'san 零叁
'ling'san'shi 零叁拾
'ling'yi 零壹
'ling'yi'shi 零壹拾
'san'shi'yi 叁拾壹
'yi'shi'ba 壹拾捌
'yi'shi'er 壹拾贰
'yi'shi'jiu 壹拾玖
'yi'shi'lu 壹拾陆
'yi'shi'qi 壹拾柒
'yi'shi'san 壹拾叁
'yi'shi'si 壹拾肆
'yi'shi'wu 壹拾伍
'yi'shi'yi 壹拾壹
