'an'bu 暗部
'an'ma'yi'zu 鞍马一族
'ba'wei'niu'gui 八尾牛鬼
'bao'dun 爆遁
'bing'dun 冰遁
'bing'zu'lei'tong 并足雷同
'bing'zu'yi'zu 并足一族
'bo'feng'zou 波风奏
'bo'zhi'guo 波之国
'bu'ren 不忍
'cai'zhi'guo 菜之国
'cao'ren'zhe'cun 草忍者村
'cao'zhi'guo 草之国
'cha'ke'la 查克拉
'cha'zhi'guo 茶之国
'chen'dun 尘遁
'chuan'zhi'guo 川之国
'chun'ye'ying 春野樱
'ci'dun 磁遁
'da'wan'wei'zeng'cha'shao'la'mian 大碗味增叉烧拉面
'dai'zi 呆子
'dan'xiao'gui 胆小鬼
'duo'chong'ying'fen'shen'zhi'shu 多重影分身之术
'er'wei'mao'you 二尾猫又
'fei'dun 沸遁
'feng'dun 风遁
'feng'ma'yi'zu 风马一族
'feng'zhi'guo 风之国
'gan'li'gan 甘栗甘
'guai'li 怪力
'gui'zhi'guo 鬼之国
'ha'ma'ji 蛤蟆吉
'ha'ma'li 蛤蟆力
'ha'ma'long 蛤蟆龙
'ha'ma'zhong 蛤蟆忠
'hai'xian'la'mian 海鲜拉面
'hai'ye'yi'zu 海野一族
'hai'zhi'guo 海之国
'he'zhi'guo 河之国
'hong'dou'zhi'guo 红豆之国
'hu'po'yi'zu 琥珀一族
'huan'zhi'di'di'yi'ji 幻之地底遗迹
'hui'ye'yi'zu 辉夜一族
'huo'dun 火遁
'huo'ying'ren'zhe 火影忍者
'huo'ying'ren'zhe'shao'nian'pian 火影忍者少年篇
'huo'yu 活蝓
'huo'zhi'guo 火之国
'ji'ban 羁绊
'ji'feng'zhuan 疾风传
'ji'huai'chong 寄坏虫
'jiang'ren'zhe'cun 匠忍者村
'jiu'jiu'wu 酒酒屋
'jiu'wei'jiu'la'ma 九尾九喇嘛
'kai'shen'me'wan'xiao 开什么玩笑
'kan'jiu'lang 勘九郎
'lai'ha'ma'wen'tai 癞蛤蟆文太
'lan'dun 岚遁
'lei'dun 雷遁
'lei'zhi'guo 雷之国
'li'luo'ke 李洛克
'li'luo'ke'de'qing'chun'quan'li'ren'chuan 李洛克的青春全力忍传
'liao'ren 料忍
'ling'wei'xu'wu 零尾虚无
'liu'wei'lei'shou 六尾雷兽
'long'ren'zhe'cun 泷忍者村
'long'zhi'guo 泷之国
'man'dian'tang 满点堂
'mi'zhi'guo 蜜之国
'ming'ren'zhi'si 鸣人之死
'mu'dun 木遁
'mu'ye'ren'zhe'cun 木叶忍者村
'mu'ye'wan 木叶丸
'mu'ye'yun'dong'hui 木叶运动会
'nai'liang'yi'zu 奈良一族
'nan'nan'shu 男男术
'ni'di'zhi'guo 泥地之国
'niao'zhi'guo 鸟之国
'nv'nv'shu 女女术
'qi'mu'yi'zu 旗木一族
'qi'wei'zhong'ming 七尾重明
'qian'shou'yi'zu 千手一族
'qin're'bao'li 亲热暴力
'qin're'gong'lue 亲热攻略
'qin're'tian'tang 亲热天堂
'qiu'dao'ding'ci 秋道丁次
'qiu'dao'yi'zu 秋道一族
'quan'zhong'ya 犬冢牙
'quan'zhong'yi'zu 犬冢一族
'ren'seng 忍僧
'ren'si 忍寺
'ren'zhe'wu'da'guo 忍者五大国
'ri'xiang'chu'tian 日向雏田
'ri'xiang'ning'ci 日向宁次
'ri'xiang'yi'zu 日向一族
'rong'dun 熔遁
'san'ju 三惧
'san'ri'yue'dao'de'dong'wu'sao'dong 三日月岛的动物骚动
'san'wei'ji'wu 三尾矶怃
'se'you'shu 色诱术
'sha'yin'ren'zhe'cun 沙隐忍者村
'shan'cheng'yi'zu 山城一族
'shan'zhong'yi'zu 山中一族
'shang'ren 上忍
'shang'shui'liu'yi'zu 上水流一族
'shen'he'yi'zu 神鹤一族
'shen'yue'yi'zu 神月一族
'shi'wei'tong'shou 十尾瞳兽
'shi'zhi'guo 石之国
'shui'dun 水遁
'shui'wu'yue'yi'zu 水无月一族
'shui'zhi'guo 水之国
'si'wei'shu'jiao 四尾鼠鲛
'ta'ta'mi'yi'wa'xi 榻榻米伊瓦西
'te'bie'shang'ren 特别上忍
'tian'tian 天天
'tian'zhi'guo 田之国
'tu'dun 土遁
'tu'zhi'guo 土之国
'tu'zhi'zhu'yi'zu 土蜘蛛一族
'wo'zhi'guo 涡之国
'wu'wei'peng'hou 五尾彭侯
'wu'yin'ren'zhe'cun 雾隐忍者村
'xia'ren 下忍
'xiao'shu'shu 小樹樹
'xie'ren 邪忍
'xing'ren'zhe'cun 星忍者村
'xiong'zhi'guo 熊之国
'xuan'wo'jiu'pin 漩涡九品
'xuan'wo'ming'ren 漩涡鸣人
'xuan'wo'yi'zu 漩涡一族
'xue'ji'ren'fa'tie 雪姬忍法帖
'xue'ji'tao'tai 血继淘汰
'xue'ji'xian'jie 血继限界
'xue'ren'zhe'cun 雪忍者村
'xue'zhi'guo 雪之国
'xun'zhao'hong'se'si'ye'cao 寻找红色四叶草
'ya'zhi'guo 牙之国
'yan'dun 炎遁
'yan'ren'zhe'cun 烟忍者村
'yan'yin'ren'zhe'cun 岩隐忍者村
'yao'ye'yi'zu 耀夜一族
'ye'yue'yi'zu 夜月一族
'yi'le'la'mian'guan 一乐拉面馆
'yi'liao'ban 医疗班
'yi'liao'ren'zhe 医疗忍者
'yi'wei'shou'he 一尾守鹤
'yin'ren'zhe'cun 音忍者村
'ying'fen'shen'zhi'shu 影分身之术
'ying'hua'chong 樱花冲
'you'nv'yi'zu 油女一族
'you'nv'zhi'nai 油女志乃
'yu'ren'zhe'cun 雨忍者村
'yu'zhi'bo'fu'yue 宇智波富岳
'yu'zhi'bo'mei'qin 宇智波美琴
'yu'zhi'bo'yi'zu 宇智波一族
'yu'zhi'bo'zuo'zhu 宇智波佐助
'yu'zhi'guo 雨之国
'yuan'fei'yi'zu 猿飞一族
'yue'guang'yi'zu 月光一族
'yue'zhi'guo 月之国
'yun'yin'ren'zhe'cun 云隐忍者村
'zhao'zhi'guo 爪之国
'zhong'ren 中忍
'zhu'qu'yi'zu 竹取一族
'zhuo'dun 灼遁
