'a'de 阿德
'ai'si'ta 艾斯塔
'an'nu'deng 安努登
'ba'ji'si 巴吉思
'bai'li'si 百丽思
'bei'si'di 贝思迪
'bei'wa'la 贝瓦拉
'bu'mei'lang 布梅朗
'de'luo'pa 德洛帕
'fei'ke'sha 费克沙
'fu'luo'ta 富洛塔
'fu'te'luo 弗特罗
'gang'de'er 冈德尔
'ge'la'deng 格拉登
'hu'sai'ge 胡赛格
'hu'ti'si 胡提斯
'kang'pu'meng 康普蒙
'kao'ken 考肯
'kui'si'bo 魁思伯
'la'ke 拉克
'mu'li'ge 穆利格
'pei'luo 佩洛
'pu'lu'lin 普鲁林
'pu'ta 普塔
'tai'ye 泰耶
'wa'ji'si 瓦吉斯
