'an'za 安匝
'bao'he'ya'jiang 饱和压降
'bian'ya'qi'dian'dong'shi 变压器电动势
'bian'ya'qi'dian'shi 变压器电势
'chao'ci'zhi'shen'suo 超磁致伸缩
'ci'lian 磁链
'ci'mi 磁密
'ci'min 磁敏
'ci'neng'ji 磁能积
'ci'tong 磁通
'ci'zhang 磁障
'ci'zhi 磁滞
'ci'zu 磁阻
'dian'ci'zhuan'ju 电磁转矩
'dian'ji'zhuan'su 电机转速
'dian'li'ci'xian'quan 电励磁线圈
'dian'shu'dian'liu 电枢电流
'dian'shu'nei'jing 电枢内径
'fan'dian'dong'shi 反电动势
'gan'ying'dian'ji 感应电机
'gang'lun 刚轮
'gong'jiao 功角
'gong'lv'yin'shu'jiao 功率因数角
'hua'cha 滑差
'ji'dui'shu 极对数
'ji'hu'xi'shu 极弧系数
'ji'ju 极距
'ji'shu 极数
'ji'zuo'hao 机座号
'jiao'zhou 交轴
'ju'jiao 矩角
'kai'guan'ci'zu'dian'ji 开关磁阻电机
'kong'zai'zhuan'su 空载转速
'liang'xiang 两相
'liang'xiang'si'zhuang'tai 两相四状态
'lou'ci 漏磁
'mei'xiang 每相
'mie'ci 灭磁
'nei'gong'jiao 内功角
'qi'xi 气隙
'rou'lun 柔轮
'san'xiang 三相
'san'xiang'liu'zhuang'tai 三相六状态
'san'xiang'san'zhuang'tai 三相三状态
'shi'bu'zhuan'ju 失步转矩
'shu'long'shi 鼠笼式
'shuang'tu'ji 双凸极
'si'xiang'si'zhuang'tai 四相四状态
'tong'bu'dian'ji 同步电机
'tong'bu'su 同步速
'wai'gong'jiao 外功角
'wu'shua'zhi'liu'dian'ji 无刷直流电机
'xian'dian'dong'shi 线电动势
'xiang'dian'dong'shi 相电动势
'xiang'shu 相数
'xing'xing 星形
'xuan'zhuan'dian'dong'shi 旋转电动势
'xuan'zhuan'dian'shi 旋转电势
'yi'bu'dian'ji 异步电机
'yong'ci 永磁
'yong'ci'ti 永磁体
'yong'ci'tong'bu'dian'ji 永磁同步电机
'you'shua'zhi'liu'dian'ji 有刷直流电机
'zeng'ci 增磁
'zhi'dong'qi 致动器
'zhi'zhou 直轴
'zhuan'cha'lv 转差率
'zhuan'ju'jiao 转矩角
