'bao'song'shen'ji 报送审计
'bao'xian'shen'ji 保险审计
'bi'bu 比部
'bi'jiao'fen'xi'fa 比较分析法
'bi'lv'fen'xi'fa 比率分析法
'bian'liang'chou'yang 变量抽样
'bu'ding'qi'shen'ji 不定期审计
'bu'fen'shen'ji 部分审计
'bu'men'nei'bu'shen'ji 部门内部审计
'bu'tong'zhi'shen'ji 不通知审计
'bu'yu'gao'shen'ji 不预告审计
'cai'chan'shi'wu'shen'ji 财产实物审计
'cai'jing'fa'ji'shen'ji 财经法纪审计
'cai'wu'bao'biao'shen'ji 财务报表审计
'cai'wu'shen'ji 财务审计
'cai'zheng'cai'wu'shen'ji 财政财务审计
'cai'zheng'jin'rong'shen'ji 财政金融审计
'cai'zheng'jue'suan'jie'yu'shen'ji 财政决算结余审计
'cai'zheng'jue'suan'shen'ji 财政决算审计
'cai'zheng'jue'suan'shou'ru'shen'ji 财政决算收入审计
'cai'zheng'jue'suan'zhi'chu'shen'ji 财政决算支出审计
'cai'zheng'shen'ji 财政审计
'cai'zheng'sheng'chan'xing'zhi'chu'shen'ji 财政生产性支出审计
'cai'zheng'yu'suan'shen'ji 财政预算审计
'cha'xun'fa 查询法
'chang'zhang'jing'li'li'ren'jing'ji'ze'ren'shen'ji 厂长经理离任经济责任审计
'chang'zhang'jing'li'li'ren'shen'ji 厂长经理离任审计
'chang'zhang'jing'li'ren'qi'mu'biao'ze'ren'shen'ji 厂长经理任期目标责任审计
'chang'zhu'shen'ji 常驻审计
'cheng'shi'zong'he'kai'fa'gong'si'shen'ji 城市综合开发公司审计
'chou'cha'fa 抽查法
'chou'yang'shen'ji'fa 抽样审计法
'chu'kou'mao'yi'shen'ji 出口贸易审计
'chu'kou'shang'pin'chu'cun'shen'ji 出口商品储存审计
'chu'kou'shang'pin'diao'bo'shen'ji 出口商品调拨审计
'chu'kou'shang'pin'jia'gong'shen'ji 出口商品加工审计
'chu'kou'shang'pin'nei'xiao'shen'ji 出口商品内销审计
'chu'kou'shang'pin'shou'gou'shen'ji 出口商品收购审计
'chu'kou'shang'pin'tiao'xuan'zheng'li'shen'ji 出口商品挑选整理审计
'chu'kou'ye'wu'shen'ji 出口业务审计
'chu'xu'shen'ji 储蓄审计
'chuan'tong'shen'ji 传统审计
'dan'wei'nei'bu'shen'ji 单位内部审计
'dao'cha'fa 倒查法
'di'fang'shui'shou'ru'shen'ji 地方税收入审计
'di'san'zhe'ping'jian 第三者评鉴
'di'zhi'kan'tan'dan'wei'shen'ji 地质勘探单位审计
'dian'suan'hua'xi'tong'shen'ji 电算化系统审计
'dian'zi'ji'suan'ji'cheng'xu'shen'ji 电子计算机程序审计
'dian'zi'ji'suan'ji'wen'jian'shen'ji 电子计算机文件审计
'dian'zi'shu'ju'chu'li'xi'tong'shen'ji 电子数据处理系统审计
'ding'qi'shen'ji 定期审计
'dui'wai'jing'ji'mao'yi'shen'ji 对外经济贸易审计
'dui'wai'mao'yi'xiao'yi'shen'ji 对外贸易效益审计
'fa'ding'shen'ji 法定审计
'fan'cha'fa 反查法
'fei'shang'pin'ding'e'zi'jin'shen'ji 非商品定额资金审计
'fu'he'xing'ce'shi 符合性测试
'fu'shen 复审
'fu'suan'fa 复算法
'fu'zhu'zheng'ju 辅助证据
'gong'cheng'cheng'bao'gong'si'shen'ji 工程承包公司审计
'gong'cheng'xiang'mu'shen'ji 工程项目审计
