'ban'ji'xing'rong'ye 半极性溶液
'beng'jie'ji 崩解剂
'cha'ji 搽剂
'chao'wei'fen'sui 超微粉碎
'di'wen'fen'sui 低温粉碎
'di'wen'jian'xie'mie'jun'fa 低温间歇灭菌法
'gan'fa'fen'sui 干法粉碎
'hun'xuan'ji 混悬剂
'liu'tong'zheng'qi'mie'jun'fa 流通蒸汽灭菌法
'mo'ji'qi'wu'ji 膜剂气雾剂
're'ya'mie'jun'fa 热压灭菌法
'rong'jie'fa 溶解法
'ru'hua'ji 乳化剂
'run'shi'ji 润湿剂
'shi'fa'fen'sui 湿法粉碎
'shuan'ji 栓剂
'shui'bao'you 水包油
'tu'ji 涂剂
'xi'ji 洗剂
'xi'shi'fa 稀释法
'ye'ti'zhi'ji 液体制剂
'yong'qian'yao'yun 用前摇匀
'you'bao'shui 油包水
'zeng'rong 增溶
'zhu'xuan'ji 助悬剂
