'cheng'du'ren'wo'xing'ruan'jian 成都任我行软件
'fen'xiao'ding'huo'ping'tai 分销订货平台
'guan'jia'po 管家婆
'qi'ye'guan'li'ruan'jian 企业管理软件
'wang'shang'guan'jia'po 网上管家婆
'zai'xian'jin'xiao'cun 在线进销存
'zhong'xiao'qi'ye'guan'li'ruan'jian 中小企业管理软件
'zhong'xiao'qi'ye'xin'xi'hua 中小企业信息化
'zhong'xiao'qi'ye'yun'guan'li 中小企业云管理
