'bian'jiao 变焦
'chang'jiao 长焦
'chao'guang'jiao 超广角
'da'te'xie 大特写
'ding'jiao 定焦
'fan'da 反打
'guang'jiao 广角
'guo'dong'xiao'ying 果冻效应
'guo'jian 过肩
'hou'jing 后景
'jiao'wai 焦外
'jin'jing 近景
'jing'shen 景深
'qian'jing 前景
'quan'jing 全景
'shi'jiao 失焦
'te'xie 特写
'yi'jiao 移焦
'zheng'fan'da 正反打
'zhong'jiao 中焦
'zhong'jing 中景
'zhong'quan'jing 中全景
