'a'er'da'ge'er 阿尔达格尔
'ai'de'wen 埃德温
'ai'yu 艾渝
'ang'sa'er'mu'he'ya'ti 昂萨尔木合亚提
'ao'guo'wen 敖国文
'ba'su 巴谡
'ban'deng'xi 板凳席
'bao'kou 暴扣
'bei'da 背打
'bei'hou'yun'qiu 背后运球
'bei'jing 北京
'bei'jing'ci'qi'chang 北京瓷器厂
'bei'yun 背运
'bi'jin'chuan 毕金传
'bian'xian 边线
'bian'xiang 变向
'bu'lan'deng 布兰登
'cai'chen 蔡晨
'cai'fang 采访
'cai'liang 蔡亮
'cai'shi'gang 蔡士港
'cao'fang 曹芳
'cao'yan 曹岩
'ceng'bing'qiang 曾冰强
'ceng'yi'hao 曾亿豪
'chang'sha'ji'meng'qing'chun'feng'bao 长沙集梦青春风暴
'chen'jiu'zhang 陈玖璋
'chen'si'yu 陈思宇
'chen'tian'can 陈天灿
'chen'wei'cheng 陳偉誠
'chen'yi'xie 陈以谢
'chen'ze'wen 陈泽文
'chen'zhen'gang 陈振罡
'chen'zi'an 陈子安
'cheng'chi 程驰
'cheng'zi'jian 程子健
'chi'hao'pu 迟浩朴
'chong'tu 冲突
'ci'qi'chang 瓷器厂
'cong'rui'yan 丛睿言
'cui'yong'xin 崔雍鑫
'da'ban 打板
'da'er'fei'ge 达尔菲格
'da'wei 大卫
'dai'yi'zhi 戴一志
'dan'ni 丹尼
'de'fen 得分
'de'gu'la 德古拉
'deng'jun'cheng 邓俊诚
'deng'yi'hao 邓奕豪
'di'jiao 底角
'di'ya'kai'te 迪亚凯特
'ding'xu'chen 丁旭辰
'dong'guan 东莞
'dong'han'lin 董瀚麟
'dong'kang'chao 董康潮
'du'ke 杜克
'fa'qiu 罚球
'fa'qiu'xian 罚球线
'fa'xia 罚下
'fan'gui 犯规
'fan'shen'tiao'tou 翻身跳投
'fang'shou 防守
'fu'hao'ming 傅浩明
'fu'jun'hao 傅骏豪
'fu'te'sen 福特森
'fu'xing'jia 付星嘉
'gai'mao 盖帽
'gao'ming'yang 高铭阳
'gao'ming'ze 高铭泽
'gao'rong 高荣
'gao'shang 高尚
'ge'kou 隔扣
'gou'shou 勾手
'gu'li 鼓励
'gu'qing'hua 顾清桦
'gu'yue'zhuo 谷玥灼
'guan'jian'qiu 关键球
'guan'ye'jia 官业佳
'guan'zhong 观众
'guang'dong 广东
'guo'hong'yin 郭宏印
'guo'ling'chuan 郭凌川
'guo'ren 过人
'guo'xiao'peng 郭晓鹏
'guo'zhen'xing 郭振兴
'han'bang 韩邦
'han'liu 韩柳
'he'nan 河南
'he'tian'ju 贺天举
'he'xuan 何轩
'hou'ban 后板
'hou'chang'lan'ban 后场篮板
'hou'jian'gang 侯鉴刚
'hou'xing'yu 侯兴宇
'hou'yang'tiao'tou 后仰跳投
'hu'ding 弧顶
'huan'hu 欢呼
'huan'ren 换人
'huang'dao 晃倒
'huang'ji'hao 黄骥浩
'huang'wen'qi 黄文祺
'huang'wen'wei 黄文威
'hui'he 回合
'hui'te'ke 惠特克
'huo'sheng 获胜
'ji'li 激励
'ji'meng'qing'chun'feng'bao 集梦青春风暴
'ji'shu'fan'gui 技术犯规
'jiang'chun'lin 姜春琳
'jiang'nan 江楠
'jiao'lian 教练
'jiao'ren'long 焦仁隆
'jie'ba 街霸
'jie'qiu'ba'wang 街球霸王
'jie'su'er 杰苏尔
'jin'gong 进攻
'jin'qu 禁区
'ju'sang 沮丧
'jue'ping 绝平
'jue'sha 绝杀
'ka'mi'ran 卡米然
'kang'chuan'he 康传贺
'ke'lun'niu'ke 科伦纽克
'kou'lan 扣篮
'kua'xia'yun'qiu 胯下运球
'lan'ban 篮板
'lan'xia 篮下
'lao'zong'ye 劳宗烨
'li'chang'chun 李长春
'li'guan'yang 李观洋
'li'hai'feng 李海峰
'li'hao 李好
'li'jia'hui 李佳辉
'li'jing 李京
'li'lin 李琳
'li'long'ge 李龙舸
'li'min 李敏
'li'qing'xiang 李青翔
'li'ren'zheng 李仁政
'li'rui 李瑞
'li'sheng'zhe 李圣哲
'li'wen'hao 李文豪
'li'xiang'bo 李祥波
'li'xin 李鑫
'li'xing'nan 李星男
'li'xu'jian 李绪建
'li'yu'xin 李雨欣
'li'yuan'xin 李苑鑫
'li'yuan'yu 李原宇
'li'zheng'chong 李政崇
'li'zhi'jin 李峙锦
'li'zhuo'chen 李卓琛
'li'zi'hao 李子豪
'lian'hao'han 连浩瀚
'liang'jia'jin 梁嘉劲
'lin'can'sheng 林灿生
'lin'jun'hong 林俊鸿
'lin'jun'wu 林俊吾
'lin'kun 林坤
'ling'xian 领先
'liu'bin 刘彬
'liu'chang 刘畅
'liu'guang'yao 刘光耀
'liu'heng'yi 刘恒驿
'liu'hong'bo 刘鸿博
'liu'shi'biao 刘世彪
'liu'shu'tong 刘书同
'liu'wei 刘威
'liu'xue 刘学
'liu'yong'jie 刘永杰
'liu'yu'tao 刘禹涛
'liu'yuan'yu 刘源宇
'liu'zhi'jie 刘智杰
'lu'jia'ning 卢佳宁
'lu'jun 卢骏
'luo'bu 罗布
'luo'hao'yuan 罗浩源
'luo'hou 落后
'ma'jia'hui 马家辉
'ma'xiao'qi 马骁岐
'ma'zhong'jiu 马重玖
'mai'zi'jian 麦子键
'meng'bo'long 孟博龙
'meng'duo 孟铎
'meng'fan'xi 孟繁西
'mo'fei 墨菲
'mu'de'tian 穆德天
'ni'hao'kai 倪豪凯
'peng'bo 彭博
'pi'kou 劈扣
'qian'ban 前板
'qian'chang'lan'ban 前场篮板
'qiang'duan 抢断
'qiao'wen'han 乔文瀚
'qin'peng 秦鹏
'qing'chun'feng'bao 青春风暴
'qing'zhu 庆祝
'qiu'mi 球迷
'ren'yu'xin 任宇鑫
'san'fen 三分
'san'fen'qiu 三分球
'san'miao'qu 三秒区
'shan'dong 山东
'shang'hai 上海
'shang'lan 上篮
'shen'tu'yi'fei 申屠逸斐
'shi'li 失利
'shi'yan'jiong'hao 时炎炅昊
'si'fen'qiu 四分球
'si'qiu 死球
'song'lin'yan 宋林炎
'song'yi'ping 宋一平
'song'zheng'qiang 宋正强
'sun'bin'kai 孙彬凯
'sun'chun'peng 孙椿棚
'sun'hai'qing 孙海清
'sun'he'feng 孙鹤峰
'sun'jian'guo 孙建国
'sun'ming 孙铭
'tang'mi'shi'mi'si 汤米史密斯
'te'luo'te 特罗特
'ti'bu'xi 替补席
'tian'gui'sen 田桂森
'tiao'tou 跳投
'tu'po 突破
'wan'sheng'wei 万圣伟
'wang'chen'xin 王晨鑫
'wang'hao 王浩
'wang'hao'tong 王昊桐
'wang'he 王贺
'wang'jia'feng 王佳峰
'wang'jia'qi 王佳琦
'wang'li'dong 王立栋
'wang'qiu'nan 王秋男
'wang'si'bo 王思博
'wang'xin 王鑫
'wang'xue'feng 王雪峰
'wang'yu 王宇
'wang'zeng'jie 王增杰
'wang'zhe'lin 王哲林
'wang'zhen'ping 汪臻平
'wang'zhi'peng 汪志鹏
'wang'zhi'wei 王智伟
'wu'he'sai 吴何赛
'wu'yan'xin 吴彦昕
'wu'yong'hao 吴勇豪
'wu'ze'hao 吴泽昊
'xi'an 西安
'xiang'zi'long 向紫龙
'xiao'bo 肖博
'xiao'hai'liang 肖海亮
'xiao'kai 肖恺
'xiao'zheng'jie 肖正杰
'xie'li'shi 谢立石
'xie'wei 谢威
'xing'ming 姓名
'xiu'xi 休息
'xu'hao'hua 徐浩华
'xu'shao'jie 徐少杰
'xu'tao 许涛
'xu'tong 徐通
'xu'wei'ming 徐伟明
'xue'shi'wei 薛世伟
'ya'sen'jiang 亚森江
'ya'shao 压哨
'yan'zhuo'yue 闫卓越
'yan'zi'chun 燕子春
'yang'ce 杨策
'yang'chang'hao 杨昌昊
'yang'chen 杨晨
'yang'hao 杨浩
'yang'hao'yue 杨昊岳
'yang'hao'zhe 杨皓喆
'yang'teng'fei 杨腾飞
'yang'wen'you 杨文友
'yang'zheng 杨政
'yang'zhi'jun 杨志军
'ye'run'feng 叶润峰
'yin'jun'jie 殷俊杰
'yuan'tou 远投
'zan'ting 暂停
'zhai'yi 翟逸
'zhan'dui 战队
'zhang'han'qi 张翰奇
'zhang'heng'shuo 张恒硕
'zhang'jun'jie 张俊杰
'zhang'kai'fei 张凯飞
'zhang'li'sheng 张力升
'zhang'ming'hao 张铭浩
'zhang'ming'zhao 张鸣钊
'zhang'run'jia 张润佳
'zhang'tian'yi 张天意
'zhang'wei'ren 张微仁
'zhang'xiao'song 张晓松
'zhang'yan'bo 张彦博
'zhang'yang'zi'yue 张杨子悦
'zhang'yi'zhen 张义振
'zhang'yong 张勇
'zhang'ze'long 张泽龙
'zhang'zhao'yang 张照洋
'zhang'zhi'yang 张智扬
'zhang'zhi'ying 张志营
'zhao'hao'yu 赵浩宇
'zhao'jia'yi 赵珈逸
'zhao'qiang 赵强
'zhao'ruo'lin 赵若霖
'zhao'shao'rui 赵绍睿
'zhao'zi'han 赵梓涵
'zheng'bo'wen 郑博文
'zhong'chang 中场
'zhong'tou 中投
'zhong'xian'chao 钟显超
'zhong'xiao'yang 钟晓阳
'zhou'da'li 周大力
'zhou'jia'hao 周嘉豪
'zhou'qi'mo 周其默
'zhou'qiao'liang 周乔亮
'zhou'xiu'yan 周秀燕
'zhou'zi'ang 周子昂
'zhu'gong 助攻
'zhu'jin'dan 朱近丹
'zhu'si'yu 朱思禹
'zong'zan 宗赞
'zou'min'jia 邹敏嘉
