'a'si'te'la'han'chuang'guo'tong'bao 阿斯特拉罕窻国通宝
'ai'hua 賹化
'ai'liu'hua 賹六化
'ai'si'hua 賹四化
'an'yang'zhi'da'dao 安阳之大刀
'an'yang'zhi'fa'hua 安阳之法化
'an'zang 安臧
'ba'zhu'ban'liang 八铢半两
'bai'dao 白刀
'bai'jin'san'pin 白金三品
'bai'ren'dao 白人刀
'ban'huan 半圜
'ban'jin 半釿
'ban'liang 半两
'ban'qiong 半睘
'ban'zeng'huo'bi 颁赠货币
'bao'da'yuan'bao 保大元宝
'bao'jin 包金
'bao'ning'tong'bao 保宁通宝
'bao'qing'yuan'bao 宝庆元宝
'bei'bi 贝币
'bei'zhou'bu'quan 北周布泉
'bei'zhou'wu'zhu 北周五铢
'bi'lun 比轮
'bo'shan'dao 博山刀
'bu'quan 布泉
'cao'wei'wu'zhu 曹魏五铢
'cha'bu'wu'bai 差布五百
'chang'an 长安
'chang'ping'wu'zhu 常平五铢
'chen'wu'zhu 陈五铢
'cheng'an'bao'huo 承安宝货
'cheng'bai'dao 成白刀
'cheng'bai'ming'dao 城白明刀
'chi'ze'wu'zhu 赤仄五铢
'chong'fu'yuan'bao 崇福元宝
'chong'ning'tong'bao 崇宁通宝
'chong'ning'yuan'bao 崇宁元宝
'chong'ning'zhong'bao 崇宁重宝
'chong'qing'tong'bao 崇庆通宝
'chong'qing'yuan'bao 崇庆元宝
'chong'zhen'tong'bao 崇祯通宝
'chu'bu 楚布
'chu'xing'qian 初行钱
'chun'hua'yuan'bao 淳化元宝
'chun'xi'tong'bao 淳熙通宝
'chun'xi'yuan'bao 淳熙元宝
'chun'xi'yuan'bao 纯熙元宝
'chun'you'tong'bao 淳祐通宝
'chun'you'yuan'bao 淳祐元宝
'ci'bu'jiu'bai 次布九百
'da'an'bao'qian 大安宝钱
'da'an'tong'bao 大安通宝
'da'an'yuan'bao 大安元宝
'da'bu'huang'qian 大布黄千
'da'chao'jin'he 大朝金合
'da'chao'tong'bao 大朝通宝
'da'de'tong'bao 大德通宝
'da'ding'tong'bao 大定通宝
'da'guan'tong'bao 大观通宝
'da'kang'tong'bao 大康通宝
'da'kang'yuan'bao 大康元宝
'da'li'yuan'bao 大历元宝
'da'ming'si'zhu 大明四铢
'da'ming'tong'bao 大明通宝
'da'qi'tong'bao 大齐通宝
'da'quan'dang'qian 大泉当千
'da'quan'er'qian 大泉二千
'da'quan'wu'bai 大泉五百
'da'quan'wu'qian 大泉五千
'da'quan'wu'shi 大泉五十
'da'shu'tong'bao 大蜀通宝
'da'shun'tong'bao 大顺通宝
'da'song'tong'bao 大宋通宝
'da'song'yuan'bao 大宋元宝
'da'tang'tong'bao 大唐通宝
'da'tong'wu'zhu 大统五铢
'da'ye'wu'zhu 大业五铢
