'a'bi 阿碧
'a'er 阿二
'a'er'ni 阿尔尼
'a'fan'ti 阿凡提
'a'fan'ti'qi 阿凡提妻
'a'gen 阿根
'a'hong 阿洪
'a'ji'chi 阿济赤
'a'jiu 阿九
'a'li 阿里
'a'man 阿曼
'a'san 阿三
'a'sheng 阿胜
'a'zhu 阿朱
'a'zi 阿紫
'ai'lao'shan'san'shi'liu'jian 哀牢山三十六剑
'ai'lao'zhe 矮老者
'an'da'niang 安大娘
'an'feng'ri 安奉日
'an'jian'gang 安健刚
'an'jian'qing 安剑清
'an'ran'xiao'hun'zhang 黯然销魂掌
'an'ti'du 安提督
'an'xiang'shu'ying 暗香疏影
'an'xiao'hui 安小慧
'ao'bai 鳌拜
'ao'biao 敖彪
'ao'kou'duo'zhang 獒口夺杖
'ba'dou'zhi 巴豆汁
'ba'fang'gui'yuan 八方归元
'ba'gua'dao 八卦刀
'ba'gua'jin'dao 八卦金刀
'ba'gua'men 八卦门
'ba'gua'you'long'zhang 八卦游龙掌
'ba'gua'you'shen'zhang 八卦游身掌
'ba'gua'zhang 八卦掌
'ba'gua'zhen 八卦阵
'ba'huang'lu'he'wei'wo'du'zun'gong 八荒六合唯我独尊功
'ba'ji'men 八极门
'ba'ji'quan 八极拳
'ba'kou'shan'ming 八口山铭
'ba'lang'xing 巴郎星
'ba'shi'yi'lu'san'jie'gun 八十一路三节棍
'ba'shi'yi'lu'wu'hu'dao 八十一路五虎刀
'ba'tai 巴泰
'ba'tian'shi 巴天石
'ba'xian'jian 八仙剑
'ba'xian'jian'fa 八仙剑法
'ba'xian'tang 八仙汤
'ba'yan'fa'shi 巴颜法师
'ba'zhen'ba'gua'zhang 八阵八卦掌
'bai'a'xiu 白阿绣
'bai'bian'qian'huan'heng'shan'yun'wu'shi'san'shi 百变千幻衡山云雾十三式
'bai'cao'xian 百草仙
'bai'er 白二
'bai'gui'shou 白龟寿
'bai'han'feng 白寒枫
'bai'han'song 白寒松
'bai'he'liang'chi 白鹤亮翅
'bai'he'san 百合散
'bai'hong'guan'ri 白虹贯日
'bai'hu'duo'ming'dan 白虎夺命丹
'bai'hu'tiao'jian 白虎跳涧
'bai'hua'cuo'quan 百花错拳
'bai'hua'fu'she'gao 百花腹蛇膏
'bai'hua'xiao'hun'san 百花消魂散
'bai'lian'ren 白脸人
'bai'ma'xiao'xi'feng 白马啸西风
'bai'mang'bian 白蟒鞭
'bai'nian'lian'yu 百年炼狱
'bai'sheng'ruan'bian 百胜软鞭
'bai'shi'jing 白世镜
'bai'tuo'xue'shan'zhang 白驼雪山掌
'bai'wan'jian 白万剑
'bai'xian'wan 百涎丸
'bai'xiong 白熊
'bai'yun'cang'gou 白云苍狗
'bai'yun'chu'xiu 白云出岫
'bai'yun'xiong'dan'wan 白云熊胆丸
'bai'zhang'fei'pu 百丈飞瀑
'bai'zhen 白振
'bai'zi'zai 白自在
'ban're'zhang 般若掌
'ban'shu'xian 班淑娴
'bang'da'gou'tou 棒打狗头
'bang'da'shuang'quan 棒打双犬
'bang'hua'fu'liu 傍花拂柳
'bao'bu'tong 包不同
'bao'can'shi 抱残式
'bao'cheng'xian 鲍承先
'bao'da'chu 鲍大楚
'bao'hu'gui'shan 抱虎归山
'bao'ling'quan 宝灵拳
'bao'qian'ling 鲍千灵
'bao'shu 宝树
'bao'tai'yi'jin'wan 豹胎易筋丸
'bao'wei'jiao 豹尾脚
'bao'xi'ruo 包惜弱
'bao'xiang'he'shang 宝象和尚
'bao'yu'zhi'si 鲍鱼之肆
'bei'dou'da'zhen 北斗大阵
'bei'hai'shi 贝海石
'bei'jin'yi 贝锦仪
'bei'ming'shen'gong 北冥神功
'bei'ren'long 贝人龙
'bei'su'qing'feng 悲酥清风
'bei'yu'tuo'ba'shi 北渔拓跋氏
'ben'can 本参
'ben'guan 本观
'ben'xiang 本相
'ben'yin 本因
'bi'de 彼得
'bi'tie'shi 笔贴式
'bi'xie'jian'fa 辟邪剑法
'bi'xue'jian 碧血剑
'bi'yuan'teng'jiao 碧渊腾蛟
'bi'zhen'qing'zhang 碧针清掌
'bing'he'dao'xie 冰河倒泻
'bing'he'kai'dong 冰河开冻
'bing'po'yin'zhen'jie'yao 冰魄银针解药
'bo'cao'xun'she 拨草寻蛇
'bo'er'hu 博尔忽
'bo'er'shu 博尔术
'bo'gou'chao'tian 拨狗朝天
'bo'hai'pai 渤海派
'bo'luo'mi'shou 波罗密手
'bo'luo'xing 波罗星
'bo'su'tai 拨速台
'bo'yun'jian'ri 拨云见日
'bu'chen 卜沉
'bu'feng'shi 捕风式
'bu'guo'jiang 补锅匠
'bu'jie'he'shang 不戒和尚
'bu'ping'dao'ren 不平道人
'bu'tai 卜泰
'bu'yuan 卜垣
'cai'de'zhong 蔡德忠
'cai'wei 蔡威
'cai'yan'gong 采燕功
'can'he'zhi 参合指
'can'yang'yu'jiu 参阳玉酒
'cang'bian'da'chou 藏边大丑
'cang'bian'er'chou 藏边二丑
'cang'bian'san'chou 藏边三丑
'cang'bian'si'chou 藏边四丑
'cang'bian'wu'chou 藏边五丑
'cang'dao'shi 藏刀式
'cang'song'ying'ke 苍松迎客
'cao'hua'chun 曹化淳
'cao'ling'ge'bi 曹令割鼻
'cao'meng 曹猛
'cao'neng 曹能
'cao'si'peng 曹司朋
'cao'yun'qi 曹云奇
'cen'qi'si 岑其斯
'ceng'tie'ou 曾铁鸥
'ceng'tu'nan 曾图南
'cha'er'zhu 察尔珠
'cha'han'te'mu'er 察罕特穆尔
'cha'he'tai 察合台
'cha'ji'zuo 查继左
'cha'quan 查拳
'chai'dao'shi'ba'lu 柴刀十八路
'chan'chu'du'sha 蟾蜍毒砂
'chan'si'qin'na'shou 缠丝擒拿手
'chang'an'yi'pian'yue 长安一片月
'chang'bo'zhi 常伯志
'chang'chang'feng 常长风
'chang'he'zhi 常赫志
'chang'jin'peng 常金鹏
'chang'jing'zhi 常敬之
'chang'qi 昌齐
'chang'qing'zi 长青子
'chang'quan'shi'duan'jin 长拳十段锦
'chang'shan'she'shi 常山蛇势
'chang'sheng'bao'shu'wang 常胜宝树王
'chang'wei'du'jiang 长苇渡江
'chang'xiao'yan'luo 长啸雁落
'chang'yu'chun 常遇春
'chao'yang'feng 朝阳峰
'che'er'ku 车尔库
'che'fu 车夫
'chen'chong'zhi 陈冲之
'chen'da'fang 陈大方
'chen'da'hai 陈达海
'chen'gao'bo 陈高波
'chen'gu'yan 陈孤雁
'chen'jia'luo 陈家洛
'chen'jin'nan 陈近南
'chen'ke 陈珂
'chen'lao'gai 陈老丐
'chen'qi 陈七
'chen'wai'zui 陈歪嘴
'chen'xuan'feng 陈玄风
'chen'you'liang 陈友谅
'chen'yu 陈禹
'chen'yuan'yuan 陈圆圆
'chen'zheng'de 陈正德
'cheng'bu'you 成不忧
'cheng'gao'dao'ren 成高道人
'cheng'guan 澄观
'cheng'guang 澄光
'cheng'huang 成璜
'cheng'kun 成昆
'cheng'ling'su 程灵素
'cheng'qing'shuang 程青霜
'cheng'qing'zhu 程青竹
'cheng'shi 澄识
'cheng'tan'zhu 程坛主
'cheng'tong 澄通
'cheng'wei'fan 程维藩
'cheng'xin 澄心
'cheng'yao'jia 程瑶迦
'cheng'yao'jia 程遥迦
'cheng'ying 程瑛
'cheng'zi'shi'ba'po 城字十八破
'cheng'zi'xue 成自学
'chi'bai'cheng 迟百诚
'chi'bian'tiao'he 池边调鹤
'chi'huang'bu'gan'gu 池潢不敢顾
'chi'kao'lian'quan 赤尻连拳
'chi'lao'wen 赤老温
'chi'ri'yan'yan 赤日炎炎
'chi'xie'fen 赤蝎粉
'chi'xuan 迟玄
'chi'yi'qian'yu 炽翼千羽
'chi'yue'xue'ji 赤月血祭
'chi'yue'xue'mo'jian 赤月血魔剑
'chong'ling'jian'fa 冲灵剑法
'chong'xu 冲虚
'chong'xu'dao'zhang 冲虚道长
'chong'zhen'zhan'jiang 冲阵斩将
'chou'lian'han'zi 丑脸汉子
'chou'song'nian 仇松年
'chu'chen'zi 出尘子
'chu'chu'niao'xian'fei 处处鸟衔飞
'chu'hong 褚轰
'chu'hong'bai 褚红柏
'chu'hong'liu 褚红柳
'chu'wan'chun 褚万春
'chu'wan'li 褚万里
'chu'yuan 褚圆
'chuan'gong'zhang'lao 传功长老
'chuan'zhen'yin'xian 穿针引线
'chuang'shao'lin 闯少林
'chun'can'zhang'fa 春蚕掌法
'chun'yang'wu'ji'gong 纯阳无极功
'chun'yun'zha'zhan 春云乍展
'ci'bei'dao 慈悲刀
'ci'dan 磁蛋
'cong'bu'qi 丛不弃
'cui'bai'quan 崔百泉
'cui'bai'sheng 崔百胜
'cui'biao'tou 崔镖头
'cui'lv'hua 崔绿华
'cui'ming'gui 催命鬼
'cui'qiu'shan 崔秋山
'cui'xi'min 崔希敏
'cui'xia'zi 崔瞎子
'cui'xin'zhang 摧心掌
'cui'zhi'fang 崔志方
'da'bei'lao'ren 大悲老人
'da'chi 大痴
'da'dian 大癫
'da'er'ba 达尔巴
'da'feng'yun'fei'zhang 大风云飞掌
'da'fu'mo'quan'fa 大伏魔拳法
'da'gou'bang'fa 打狗棒法
'da'gou'ru'dong 打狗入洞
'da'hai'chen'sha 大海沉沙
'da'han 大汉
'da'jin'gang'quan 大金刚拳
'da'jin'gang'zhang 大金刚掌
'da'ku 大苦
'da'li'duan'shi 大理段氏
'da'li'ying'zhao'gong 大力鹰爪功
'da'mo'fei'sha 大漠飞沙
'da'mo'gu'yan 大漠孤烟
'da'mo'jian 达摩剑
'da'mo'jian 达魔剑
'da'mo'jian'shu 达摩剑术
'da'mo'ping'sha 大漠平沙
'da'mo'zhang 达摩掌
'da'qin'na'shou 大擒拿手
'da'shuai'bei'shou 大摔碑手
'da'song'yang'shen'zhang 大嵩阳神掌
'da'tou'gui 大头鬼
'da'wei'tuo'chu 大韦陀杵
'da'ye'cha'gun 大夜叉棍
'da'zhi'chan'shi 大智禅师
'da'zhi'wu'ding'zhi 大智无定指
'dai'ruo'mu'ji 呆若木鸡
'dai'yong'ming 戴永明
'dai'zong'ru'he 岱宗如何
'dan'bian 单鞭
'dan'bo'shan 单伯山
'dan'ji'shan 单季山
'dan'qing'sheng 丹青生
'dan'shu'shan 单叔山
'dan'tie'sheng 单铁生
'dan'tui 弹腿
'dan'xiao'shan 单小山
'dan'zheng 单正
'dang'tou'bang'he 当头棒喝
'dao'bai'feng 刀白凤
'dao'jian'ru'meng 刀剑如梦
'dao'jiang'wu'di'jin 到江吴地尽
'dao'ti'jin'zhong 倒提金钟
'dao'xing'ni'shi 倒行逆施
'dao'xu'shi 捣虚式
'de'bu 德布
'de'cheng 德成
'de'e 德鄂
'deng'ba'gong 邓八公
'deng'bai'chuan 邓百川
'deng'bing'chun 邓炳春
'deng'song'wang'yue 登嵩望月
'deng'yu 邓愈
'di'biao'tou 狄镖头
'di'huo'gong 地火功
'di'qing'xiang'long 狄青降龙
'di'tang'dao'fa 地堂刀法
'di'xiu 狄修
'di'yang'chu'fan 羝羊触蕃
'di'yun 狄云
'di'zang'song'jing 地藏颂经
'dian'ban 店伴
'dian'cang'jian'fa 点苍剑法
'dian'cang'pai 点苍派
'dian'cang'yu'yin 点苍渔隐
'dian'mu'zhao'jing 电母照镜
'diao'chan'bai'yue 貂蝉拜月
'diao'ke'lin'men 吊客临门
'diao'si'gui 吊死鬼
'die'cui'fu'qing 叠翠浮青
'ding'bu'san 丁不三
'ding'bu'si 丁不四
'ding'chun'qiu 丁春秋
'ding'da'quan 丁大全
'ding'dang 丁珰
'ding'dian 丁典
'ding'jian 丁坚
'ding'jing'shi'tai 定静师太
'ding'mian 丁勉
'ding'min'yin 丁敏尹
'ding'pan'sheng'si 定判生死
'ding'tong 丁同
'ding'yang'zhen 定阳针
'ding'yi 定逸
'ding'you 丁游
'dong'fang'bu'bai 东方不败
'dong'kai'shan 董开山
'dong'xuan 洞玄
'dou'da'jin 都大锦
'dou'shi 都史
'dou'zhuan'xing'yi 斗转星移
'du'bai'dang 杜百当
'du'bi'dao'fa 独臂刀法
'du'ding'jie'yao 毒钉解药
'du'e 渡厄
'du'gu'jiu'jian 独孤九剑
'du'gu'qiu'bai 独孤求败
'du'ji'li'jie'yao 毒蒺藜解药
'du'jian'jie'yao 毒箭解药
'du'jie 渡劫
'du'li'de 杜立德
'du'ling'jie'yao 毒菱解药
'du'long'bian'fa 毒龙鞭法
'du'nan 渡难
'du'wu 毒雾
'du'xi'meng 杜希孟
'du'yan 毒盐
'du'zhang'lao 杜长老
'du'zhen'huan'jie'yao 毒针环解药
'du'zhen'jie'yao 毒针解药
'duan'chang'san 断肠散
'duan'jin'fu'gu'wan 断筋腐骨丸
'duan'mu'shi'chi'yan'dong 端木氏赤焰洞
'duan'mu'yuan 端木元
'duan'tian'de 段天德
'duan'yan'qing 段延庆
'duan'yu 段誉
'duan'zheng'chun 段正淳
'duan'zheng'ming 段正明
'dui'ka'na 对喀纳
'duo'er'gun 多尔衮
'duo'long 多隆
'duo'luo'ye'zhi 多罗叶指
'duo'ming'lian'huan'san'xian'jian 夺命连环三仙剑
'duo'po'zhi 夺魄指
'e'bei'gui'jian'chou'zhong'jia 鄂北鬼见愁锺家
'e'er'duo 鄂尔多
'e'hu'lan'lu 恶虎拦路
'e'mei'jian'fa 峨嵋剑法
'e'mei'jiu'yang'gong 峨嵋九阳功
'e'mei'pai 峨嵋派
'e'mo'huo'shen'jian 恶魔火神剑
'e'quan'lan'lu 恶犬拦路
'er'shi'ba'zhao'shi'gu'da'xue'bi'fa 二十八招石鼓打穴笔法
'fan'bai'ling 范百龄
'fan'bang'zhu 范帮主
'fan'gang 樊纲
'fan'guang'chu'xian 梵光初现
'fan'hua 范骅
'fan'jie'gou'tun 反截狗臀
'fan'lai'shen'shou 饭来伸手
'fan'liang'yi'dao'fa 反两仪刀法
'fan'wen'cheng 范文程
'fan'yao 范遥
'fan'yi'fei 范一飞
'fan'yi'weng 樊一翁
'fan'yu 范禹
'fan'zhong'en 范中恩
'fang'da'hong 方大洪
'fang'dong'bai 方东白
'fang'ren'zhi 方人智
'fang'sheng 方生
'fang'tian'lao 方天劳
'fang'yi 方怡
'fang'you'de 方有德
'fang'zheng 方证
'fei'bin 费彬
'fei'feng'shou 飞凤手
'fei'hua'luo'ye 飞花落叶
'fei'long'zai'tian 飞龙在天
'fei'qin'wang'shi 废寝忘食
'fei'sha'zou'shi 飞沙走石
'fei'tian'shen'xing 飞天神行
'fei'xu'jin 飞絮劲
'fei'yan'chuan'liu 飞燕穿柳
'fei'yan'hui'xiang 飞燕回翔
'fei'yao'duo'luo 费要多罗
'fen'hua'fu'liu 分花拂柳
'fen'jin'cuo'gu'shou 分筋错骨手
'feng'a'san 冯阿三
'feng'bo'e 风波恶
'feng'bu'cui 冯不摧
'feng'bu'ping 封不平
'feng'bu'po 冯不破
'feng'dian'tou 凤点头
'feng'heng 冯衡
'feng'hui 冯辉
'feng'hui'lu'zhuan 峰回路转
'feng'ji'zhong 风际中
'feng'juan'zhang'cao 风卷长草
'feng'liang 风良
'feng'mo'feng 冯默风
'feng'mo'zhang'fa 疯魔杖法
'feng'nan'di 冯难敌
'feng'nan'tian 凤南天
'feng'qi 凤七
'feng'qing'yang 风清扬
'feng'qing'yun'dan 风轻云淡
'feng'qu'chang'ming 凤曲长鸣
'feng'sha'mang'mang 风沙莽莽
'feng'shi'chang'she 封豕长蛇
'feng'tan 冯坦
'feng'tan'zhu 封坛主
'feng'tong'zhi 冯同知
'feng'wan'li 封万里
'feng'xi'fan 冯锡范
'feng'yi'ming 凤一鸣
'feng'yun'san'shi 风云三使
'feng'zhen'wu 冯振武
'fu'chen'fu'fa 拂尘拂法
'fu'chun 富春
'fu'gu'chuan'xin'gao 腐骨穿心膏
'fu'hu'quan 伏虎拳
'fu'hu'zhang 伏虎掌
'fu'kang'an 福康安
'fu'ling'shou'wu'wan 茯苓首乌丸
'fu'ling'yan'wo'tang 茯苓燕窝汤
'fu'min'yi 符敏仪
'fu'mo'jian 伏魔剑
'fu'mo'zhang'fa 伏魔杖法
'fu'niu'pai 伏牛派
'fu'qi'dao'fa 夫妻刀法
'fu'qin'an'xiao 抚琴按箫
'fu'qin'shi 抚琴式
'fu'qiu'yi'xiu 浮丘挹袖
'fu'rong'jian'fa 芙蓉剑法
'fu'rong'jin'zhen 芙蓉金针
'fu'shi'sheng'xiang 伏狮胜象
'fu'si'gui 傅思归
'fu'ting'wen'jing'feng 俯听闻惊风
'fu'zi'du'he 负子渡河
'gai'bang 丐帮
'gai'yi'ming 盖一鸣
'gai'yun'cong 盖运聪
'gan'bao'bao 甘宝宝
'gang'feng'sao'ye 罡风扫叶
'gang'xiang 刚相
'gao'guan'jia 高管家
'gao'ke'xin 高克新
'gao'lao'zhe 高老者
'gao'li'jin 高里津
'gao'ming'gen 高明根
'gao'san'niang'zi 高三娘子
'gao'sheng'tai 高升泰
'gao'shi'di 高师弟
'gao'tan'ma 高探马
'gao'yan'chao 高颜超
'gao'ze'cheng 高则成
'ge'an'yue'shan'duo 隔岸越山多
'ge'er'dan 葛尔丹
'ge'guang'pei 葛光佩
'ge'tong 葛通
'ge'zhang'lao 葛长老
'geng'tian'shuang 耿天霜
'geng'wan'zhong 耿万钟
'gong'guang'jie 龚光杰
'gong'jiu'jia 宫九佳
'gong'sun'lv'e 公孙绿萼
'gong'sun'zhi 公孙止
'gong'ye'qian 公冶乾
'gou'du 苟读
'gou'tou'tuo 狗头陀
'gou'yi'wo'quan 钩弋握拳
'gu'du'cheng 古笃诚
'gu'hong'hai'shang'lai 孤鸿海上来
'gu'jin'biao 顾金标
'gu'mu'cong'qing'ai 古木丛青霭
'gu'mu'pai 古墓派
