'ba'dao'du'she 霸道毒舌
'bai'ying 柏颖
'bei'ye 北业
'bian'hui'ying 边回应
'bian'shi'tan 边试探
'bu'xiang'yi'ge'ren'zuo'meng 不想一个人作梦
'chen'jing 陈静
'chen'xin'xuan 陈薪璇
'cheng'dui'dui 程怼怼
'cheng'hao 程皓
'cheng'hao'feng 程皓枫
'cheng'hao'lao'shi 程皓老师
'cheng'hong'dou 程洪斗
'chu'shuan'zhong 褚栓忠
'chun'chi'zhi'jian'xiang'wei'xiang'yi 唇齿之间相偎相依
'ci'ke'wo'men'qin'wen'dan'yuan'shi'guang'zan'ting 此刻我们亲吻但愿时光暂停
'ci'ke'wo'men'yong'bao'ke'wang'shun'jian'lao'qu 此刻我们拥抱渴望瞬间老去
'cui'yi 崔奕
'dang'yi'bu'zi'yi 当医不自医
'dong'le'xin 动了心
'du'kai 杜凯
'du'li'nv'xing 独立女性
'gu'yao 顾遥
'guo'hao'lun 郭昊伦
'guo'min 郭敏
'hai'feng'zheng'zai'chui'zhe'wo 海风正在吹着我
'hai'gui 海归
'hai'mei'zuo'dao'de'jiu'bu'yao'zai'shuo'le 还没做到的就不要再说了
'hai'shi'ai'le 还是爱了
'he'tun'xiao'niu 河豚小妞
'huan'de'huan'shi'di'chen'mi 患得患失地沉迷
'huan'xi 欢喜
'hun'shen'dai'ci 浑身带刺
'huo'hua'si'jian'de'mo'qi 火花四溅的默契
'huo'wei'min 霍卫民
'jiang'shu'ying 江疏影
'jin'dong 靳东
'jin'pai'ya'yi 金牌牙医
'jiu'bu'yao'zai'ji'de 就不要再记得
'jiu'dian'da'tang'jing'li 酒店大堂经理
'kang'ning 康宁
'li'nai'wen 李乃文
'li'zong'han 李宗翰
'lian'ai'gu'wen 恋爱顾问
'lian'ai'zhuan'jia 恋爱专家
'liang'a'yi 梁阿姨
'liu'zhen'zhen 刘珍珍
'luo'xiao'dao 罗小刀
'luo'xiao'yue 罗小玥
'luo'yu'kun 罗昱焜
'luo'yue 罗玥
'mei'dang'ni'shuo'wo'ai'ni 每当你说我爱你
'mei'dang'wo'shuo'wo'ai'ni 每当我说我爱你
'mei'tou'xin'jian'xing'ying'bu'li 眉头心间形影不离
'ming'yang 铭阳
'na'shi'yan'shen'zhi'jian'de'xiang'yu 那是眼神之间的相遇
'ni'da'hong 倪大红
'ning'yu 宁宇
'peng'jing 彭婧
'qiao'yi'lin 乔依林
'qing'chang'xiao'bai 情场小白
're'nao'ren'jian'leng'qing'tian'di 热闹人间冷清天地
'ru'guo'shuo'hou'hui'jiu'neng'chong'lai 如果说后悔就能重来
'shan'shan 姗姗
'sheng'le'qing 生了情
'sheng'xia'de'suo'you'bu'tong 剩下的所有不同
'sheng'xia'le'zi'ji 剩下了自己
'si'shui'liu'nian'fan'gun'si'ji 似水流年翻滚四季
'song'ning'yu 宋宁宇
'song'yan'fei 宋妍霏
'tao'hai 陶海
'tian'cheng'mi'yue 甜程蜜玥
'tian'yu 田雨
'tu'ling 涂凌
'wang'hong'bo 王虹博
'wang'hong'lian'ai'zhuan'jia 网红恋爱专家
'wang'ji'jiu'wang'ji 忘记就忘记
'wang'ning 王宁
'wang'qing 王晴
'wang'sen 王森
'wang'xiao'mei 王晓梅
'wang'yan 王岩
'wen'yi'shao'nian 文艺少年
'wo'de'shou'bu'hui'qing'yi'fang'kai 我的手不会轻易放开
'wo'men'dou'bu'hui'liu'lei 我们都不会流泪
'wu'fei 吴飞
'xi'yang'zai'zhui'luo'man'man'yuan'li'zhe'tian'kong 夕阳在坠落慢慢远离这天空
'xi'yin'li'fa'ze 吸引力法则
'xia'nan 夏楠
'xiao'mei 小美
'xin'ren'mo'te 新人模特
'xin'zhi'lei 辛芷蕾
'xu'di 许娣
'xu'le 徐乐
'yang'dong 杨冬
'ye'hui'tai'guo'xing'fu'que'tan'xi 也会太过幸福却叹息
'ye'shi'yan'yu'xiang'hu'de'xi'xi 也是言语相互的嬉戏
'yi'lin 依林
'yin'xu 殷旭
'zao'tan'dian'lao'ban 早摊点老板
'zen'hui'yin'wei'kuai'le'er'ku'qi 怎会因为快乐而哭泣
'zen'yang'cai'neng'gou'bu'yao'li'bie 怎样才能够不要离别
'zen'yang'ni'dou'huan'xi 怎样你都欢喜
'zen'yang'wo'dou'huan'xi 怎样我都欢喜
'zhan'yu 战宇
'zhang'ming'yang 张铭阳
'zhao'si'mei 赵思玫
'zhe'zhong'tian'zhen 这种天真
'zhu'gang'ri'yao 朱刚日尧
'zhu'jian'man'man'wang'ji'de'zuo'tian 逐渐慢慢忘记的昨天
'zou'bei'ye 邹北业
'zou'dao'zui'hou'zen'me'sheng'xia'le'zi'ji 走到最后怎么剩下了自己
