'bei'ling 贝岭
'bei'te'lai 贝特莱
'dong'ruan 东软
'fu'dan 复旦
'guo'min 国民
'guo'xin 国芯
'hang'shun 航顺
'hua'da 华大
'hua'xin 华芯
'hui'chun 汇春
'ji'hai 极海
'jian'rong 建荣
'jie'fa 杰发
'ju'xin 炬芯
'le'xin 乐鑫
'ling'dong 灵动
'ling'si'wei 凌思微
'qin'heng 沁恒
'sai'teng 赛腾
'sai'yuan 赛元
'sheng'xi 晟矽
'shi'dai 时代
'wan'gao 万高
'xin'hai 芯海
'xin'sheng 芯圣
'xin'wang 芯旺
'ya'te'li 雅特力
'yun'jian 云间
'zhao'yi 兆易
'zhong'wei 中微
'zhong'ying 中颖
