'a'ge'ni 阿格尼
'a'xiu'luo'du'jiao'xian 阿修罗独角仙
'ba'wang'chou'hua 霸王臭花
'bang'gu 邦古
'bao'feng'xue'zu 暴风雪组
'bao'lie'fei'biao 爆裂飞镖
'bao'po 爆破
'bei'xin'hei'dong 背心黑洞
'bei'xin'meng'hu 背心猛虎
'bei'xin'qin'shuai 背心擒摔
'bei'xin'su'shi'zhu'yi'zhe 背心素食主义者
'bei'xin'zun'zhe 背心尊者
'bi'ti'chong 鼻涕虫
'bo'fo'yi'bo'shi 波佛伊博士
'bo'luo'si 波罗斯
'cha'lan'zi 茶兰子
'chao'he'jin'hei'guang 超合金黑光
'chao'ju'xing'luo'xuan'du'ci 超巨型螺旋毒刺
'chi'bi 赤鼻
'chong'tian'hao'xiao'zi 冲天好小子
'chui'xue 吹雪
'chui'xue'zu 吹雪组
'cui'mian'xiang 催眠香
'da'bei'tou'nan 大背头男
'da'xue'ren 大雪人
'da'zhe'ren 大哲人
'di'di'ren 地底人
'di'di'wang 地底王
'di'yu'de'bao'feng'xue 地狱的暴风雪
'di'yu'de'chui'xue 地狱的吹雪
'dian'guang'yuan'shi 电光源氏
'ding'chui'tou 钉锤头
'du'ci 毒刺
'e'lang 饿狼
'fen'nu'chao'ren 愤怒超人
'fen'shao 焚烧
'feng'ren'jiao 风刃脚
'feng'shan'gui 风扇鬼
'fu'ke'gao 福克高
'ge'liu'gan'xiu'pu 戈留干修普
'ge'luo'li'ba'si 格洛里巴斯
'hai'bi'kong'ge 海比空格
'hai'ren'zu 海人族
'hei'an'yan'long'dao'shi 黑暗炎龙刀使
'hong'wei'jin'dou'shi 红围巾斗士
'huang'jin'qiu 黄金球
'ji'guan'qiang'sao'she'quan 机关枪扫射拳
'ji'nai'si'bo'shi 基奈斯博士
'jiang'shi'nan 僵尸男
'jie'mao 睫毛
'jie'nuo'si 杰诺斯
'jin'hua'zhi'jia 进化之家
'jin'shu'qi'shi 金属骑士
'jin'shu'qiu'bang 金属球棒
'jing'quan'xia 警犬侠
'ju'he'an 居合庵
'ju'he'zhan 居合斩
'ku'si'nuo'bo'shi 库斯诺博士
'kuai'quan'chao'ren 快拳超人
'kui'jia'da'xing'xing 盔甲大猩猩
'lao'shi 老师
'lian'xu'gong'ji'ji'neng 连续攻击技能
'lian'xu'pu'tong'quan 连续普通拳
'lian'yu'wu'shuang'bao're'bo'dong'pao 炼狱无双爆热波动炮
'liu'hai'da'shen 刘海大婶
'liu'shui'yan'sui'quan 流水岩碎拳
'liu'ying'jiao 流影脚
'long'juan 龙卷
'ma'er'ge'li 马尔格利
'ma'ke'er 马可二
'ma'xiu'lu'mu 马修鲁姆
'mei'lu'zha'ga'lu'duo 梅鲁扎嘎鲁多
'mo'gui'gai'zao'ren 魔鬼改造人
'mo'shu'miao'shou 魔术妙手
