'ba'xia 霸下
'bi'chen 避尘
'chen'qing 陈情
'chi'feng'zun 赤锋尊
'fu'chen 拂尘
'fu'xue 拂雪
'han'guang'jun 含光君
'hen'sheng 恨生
'jiang'cheng 江澄
'jiang'yan'li 江厌离
'jiang'zai 降灾
'jin'guang'yao 金光瑶
'jin'ling 金凌
'jin'zi'xuan 金子轩
'lan'er 蓝二
'lan'er'ge'ge 蓝二哥哥
'lan'huan 蓝涣
'lan'jing'yi 蓝景仪
'lan'si'zhui 蓝思追
'lan'xi'chen 蓝曦臣
'lan'zhan 蓝湛
'lian'fang'zun 敛芳尊
'lie'bing 裂冰
'meng'yao 孟瑶
'nie'ming'jue 聂明玦
'san'du 三毒
'shuo'yue 朔月
'song'dao'zhang 宋道长
'song'zi'chen 宋子琛
'sui'bian 随便
'sui'hua 岁华
'wang'ji 忘机
'wei'wu'xian 魏无羡
'wen'ning 温宁
'xian'zi 仙子
'xiao'ping'guo 小苹果
'xiao'xing'chen 晓星尘
'xue'yang 薛洋
'yao'mei 瑶妹
'yi'ling'lao'zu 夷陵老祖
'yin'hu'fu 阴虎符
'ze'wu'jun 泽芜君
'zeng'gao'xie'dian 增高鞋垫
'zhao'yin'qi 召阴旗
'zi'dian 紫电
