'ai'li'na 艾莉娜
'ai'si'di'si 艾斯迪斯
'ai'te'xi 艾特西
'bo'wen 波纹
'chuan'cheng'ling'zi 川澄绫子
'da'zhong'ming'fu 大冢明夫
'di'ao 迪奥
'di'ao'bu'lan'du 迪奥布兰度
'guai'yan'wang 怪焰王
'hei'qi'shi 黑骑士
'hui'hua'cai'ren 辉华彩刃
'jia'xu'jiu'yuan 家绪救援
'jing'shang'he'yan 井上和彦
'ka'zi 卡兹
'kai'sa'an'dong'ni'xie'pi'li 凯撒安东尼谢皮利
'lao'lun'si 劳伦斯
'li'sha'li'sha 丽莎丽莎
'nai'cun'jian'ci 乃村健次
'qi'miao'mao'xian 奇妙冒险
'qiao'na'sen'qiao'si'da 乔纳森乔斯达
'qiao'se'fu 乔瑟夫
'qiao'se'fu'qiao'si'da 乔瑟夫乔斯达
'qiao'si'da'jia 乔斯达家
'sang'ta'na 桑塔拿
'sha'lan 沙岚
'shan'tian'zhi'he 杉田智和
'shang'tian'yao'si 上田耀司
'shen'sha'lan 神沙岚
'shi'bi'te'wa'gen 史比特瓦根
'shi'shi'gui'jie 食尸鬼街
'teng'yuan'qi'zhi 藤原启治
'tian'zhong'dun'zi 田中敦子
'wa'mu'wu 瓦姆乌
'wa'wu'mu 瓦乌姆
'xi'sa 西撒
'xing'jin'he'xing 兴津和幸
'xiu'te'luo'hai'mu 修特罗海姆
'yan'wu'yi 盐屋翼
'yi'wan'gang'du 伊丸冈笃
'yin'di'an'na'qiong'si 印第安纳琼斯
'zhu'zhi'nan 柱之男
'zhu'zhong'nan 柱中男
'zi'an'wu'ren 子安武人
'zuo'teng'tuo'ye 佐藤拓也
