'ao'keng 凹坑
'ba'zha 扒渣
'bai'guo'hua 白国华
'bang'zhu'hua'zha 帮助化渣
'bi'mo 壁模
'bu'ba'zha 不扒渣
'bu'yang'hua'fa'ye'lian 不氧化法冶炼
'chang'zha 长渣
'chao'di'tan'gang'zhong 超低碳钢种
'chen'yu'ru 陈玉如
'chen'yu'ru'fu'shu'ji 陈玉如副书记
'chen'yu'ru'shu'ji 陈玉如书记
'chu'gang 出钢
'chu'gang'yao'qiu 出钢要求
'chu'shui'wen'du 出水温度
'chu'tuo'yang'ji 初脱氧剂
'chu'zha 初渣
'chui'lian 吹炼
'chui'lian'guo'cheng 吹炼过程
'chui'lian'mo'qi 吹炼末期
'chui'lian'qian'qi 吹炼前期
'chui'lian'zhong'dian 吹炼终点
'chui'lian'zhong'qi 吹炼中期
'chui'yang 吹氧
'chui'yang'zhu'rong 吹氧助熔
'cu'jing'li'gang 粗晶粒钢
'dan'yin'zi'shi'yan 单因子试验
'dan'zha'fa 单渣法
'di'bei'zu'zhi 低倍组织
'di'chui 底吹
'dian'hao 电耗
'dian'hu'lu 电弧炉
'dian'hu'lu'fa 电弧炉法
'dian'hu'lu'fa'lian'gang 电弧炉法炼钢
'dian'hu'lu'qing'dong'zhuang'zhi 电弧炉倾动装置
'dian'ji'xi'tong 电极系统
'dian'lu 电炉
'dian'lu'fa 电炉法
'dian'lu'fa'lian'gang 电炉法炼钢
'dian'lu'li'yong'xi'shu 电炉利用系数
'dian'xiao'lv 电效率
'ding'chui 顶吹
'ding'di'fu'he'chui'lian 顶底复合吹炼
'duan'dian'hu 短电弧
'duan'wang 短网
'duan'wang'chang'du 短网长度
'duan'zha 短渣
'duo'duan'lian'gang 多段炼钢
'fan'xiao'hui 范晓慧
'fan'xiao'hui'jiao'shou 范晓慧教授
'fei'gang 废钢
'fei'gang'pei'bi 废钢配比
'fei'jin'shu'jia'za'wu 非金属夹杂物
'fei'teng'lu 沸腾炉
'feng'kou'jiao'tan'xun'huan'qu 风口焦炭循环区
'fu'shi'lu'chen 腐蚀炉衬
'fu'zhu'cai'liao 辅助材料
'gang'bao 钢包
'gang'de'zhen'jing 钢的镇静
'gang'ding 钢锭
'gang'ding'he'ge'lv 钢锭合格率
'gang'ding'shou'de'lv 钢锭收得率
'gang'shui 钢水
'gang'shui'shou'de'lv 钢水收得率
'gang'tan'han'liang 钢碳含量
'gang'tie'ye'jin'shi'yan 钢铁冶金实验
'gang'tie'ye'jin'xi 钢铁冶金系
'gang'tie'ye'jin'xue 钢铁冶金学
'gang'tie'ye'jin'xue'lian'gang'bu'fen 钢铁冶金学炼钢部分
'gang'tie'ye'jin'xue'lian'tie'bu'fen 钢铁冶金学炼铁部分
'gang'tie'ye'jin'yan'jiu'fang'fa 钢铁冶金研究方法
'gang'ye 钢液
'gang'zhi 钢质
'gang'zhong 钢中
'gang'zhong'tan 钢中碳
'gang'zhong'za'zhi 钢中杂质
'gao'he'jin 高合金
'gao'he'jin'bi 高合金比
'gao'jian'du 高碱度
'gao'lu'mei'qi 高炉煤气
'gao'su'gang 高速钢
'ge'qi 隔气
'gong'yang 供氧
'gong'yang'de'fang'fa 供氧的方法
'gong'yang'zhi'du 供氧制度
'gu'feng'ji 鼓风机
'gui'ge'xia'xian 规格下限
'gui'suan'lv'xi'nai'huo'cai'liao 硅酸铝系耐火材料
'gui'zhuan 硅砖
'guo'shi'dai 过湿带
'guo'yu'feng 郭宇峰
'he'dong'dong 何冬冬
'he'ge'gang'ding'liang 合格钢锭量
'he'jin'bi 合金比
'he'zhong'ruan'hua'dian 荷重软化点
'he'zhong'ruan'hua'wen'du 荷重软化温度
'hou'wen'tao 侯文涛
'hua'xue're 化学热
'hua'xue're'xiao 化学热小
'hua'zha 化渣
'huan'yuan'fen'hua 还原粉化
'huan'yuan'fen'hua'lv 还原粉化率
'huan'yuan'ji 还原剂
'huan'yuan'zha 还原渣
'huang'zhu'cheng 黄柱成
'huang'zhu'cheng'jiao'shou 黄柱成教授
'ji'ben'tuo'yang'ji 基本脱氧剂
'ji'xie'xing'neng 机械性能
'jia'su'chu'zha'xing'cheng 加速初渣形成
'jian'du 碱度
'jian'huan'xi'qi 减缓吸气
'jian'jie'chuan'yang 间接传氧
'jian'jing'shi 尖晶石
'jian'xing'dian'hu'lu 碱性电弧炉
'jian'xing'zha 碱性渣
'jian'xing'zha'nian'du 碱性渣粘度
'jiang'shi'peng 蒋世鹏
'jiang'tao 姜涛
'jiang'tao'jiao'shou 姜涛教授
'jiang'xi'xin'yu'gang'tie'chang 江西新余钢铁厂
'jiao'ban'li 搅拌力
'jiao'zhu'gang 浇注钢
'jiao'zhu'su'du 浇注速度
'jie'liu 结瘤
'jin'shu'liao 金属料
'jin'shu'lu'liao'zong'liang 金属炉料总量
'jin'shu'xiao'qiu 金属小球
'jin'shu'zha 金属渣
'jing'jian'ju 晶间距
'jing'li 晶粒
'ju'you'ni'xiang'yun'dong'de'she'liu'dong 具有逆向运动的射流动
'jun'yun'wen'du 均匀温度
'kang're'zhen'xing 抗热震性
'kang'xiao 康潇
'kuang'hao 矿耗
'kuang'wu'ban 矿物班
'kuang'wu'jia'gong'xi 矿物加工系
'la'tan'fa 拉碳法
'leng'cui 冷脆
'leng'que'ji 冷却剂
'leng'que'shui 冷却水
'li'du 粒度
'li'hui'hui 李辉辉
'li'peng'fei 李鹏飞
'lian'bi'ji'hui'zhuan'yao 链篦机回转窑
'lian'bi'ji'hui'zhuan'yao'zu 链篦机回转窑组
'lian'gang'guo'cheng'zhong 炼钢过程中
'lian'gang'lu'zha 炼钢炉渣
'lian'gang'rong'zha 炼钢熔渣
'lian'gang'xue 炼钢学
'lian'tie'xue 炼铁学
'lian'zhu'gong'yi 连铸工艺
'lin'za'zhi 磷杂质
'liu'bo'rui 刘泊瑞
'liu'gang 柳钢
'liu'quan'you 刘全友
'liu'ti'li'xue'yuan'li 流体力学原理
'liu'za'zhi 硫杂质
'lu'chen 炉衬
'lu'chen'qin'shi 炉衬侵蚀
'lu'ding 炉顶
'lu'gang 炉钢
'lu'ke 炉壳
'lu'kou 炉口
'lu'liao 炉料
'lu'liao'han'lin'jiao'gao 炉料含磷较高
'lu'men 炉门
'lu'nei 炉内
'lu'shen 炉身
'lu'ti 炉体
'lu'wai 炉外
'lu'zha'de'yang'hua'xing 炉渣的氧化性
'lu'zha'liu'dong'xing 炉渣流动性
'lu'zha'wei'li 炉渣微粒
'lv'bing'chao 吕兵超
'ma'li'yuan 马丽媛
'mei'zhuan 镁砖
'nai'huo'cai'liao 耐火材料
'nai'huo'du 耐火度
'ni'xiang'liu 逆向流
'nian'du 粘度
'nong'ju 浓聚
'pan'jian 潘健
'pan'jian'bo'shi 潘健博士
'pao'mo'zha 泡沫渣
'pen'chui 喷吹
'pen'chui'mei'fen 喷吹煤粉
'pen'fen'jing'lian 喷粉精炼
'pen'jian 喷溅
'pen'qiang'gao'du 喷枪高度
'pen'she'ye'jin 喷射冶金
'pian'xi 偏析
'ping'lu'fa'lian'gang 平炉法炼钢
'pu'di'liao 铺底料
'qi'pao'zha 气泡渣
'qian'bu 嵌布
'qian'bu'li'du 嵌布粒度
'qing'dong 倾动
'qing'dong'zhuang'zhi 倾动装置
'qing'za'zhi 氢杂质
'qiu'tuan'bao'lie'wen'du 球团爆裂温度
'qiu'zhi'yong 邱志勇
'qu'chu 去除
'qu'chu'dao 去除到
'ran'shao'dai 燃烧带
're'cui 热脆
're'feng'ji 热风机
're'zhen 热震
'rong'chi 熔池
'rong'hua'dian'hao 熔化电耗
'rong'hua'mo'qi 熔化末期
'rong'hua'shi'jian 熔化时间
'ru'hua'ye 乳化液
'ruan'chui 软吹
'ruan'rong'dai 软熔带
'ruan'rong'qu 软熔区
'san'cha'xian 三叉线
'san'jiao'zhui'fa 三角锥法
'shao'jie'bei 烧结杯
'shao'jie'kuang'dai 烧结矿带
'shao'jie'qiu'tuan'shi'yan 烧结球团实验
'shao'jie'qiu'tuan'xue 烧结球团学
'shao'zha'chui'lian 少渣吹炼
'she'liu 射流
'sheng'shi'hui 生石灰
'sheng'tie 生铁
'sheng'tie'kuai 生铁块
'sheng'wu'jin'chu 生物浸出
'shi'hui 石灰
'shi'hui'shi 石灰石
'shi'shi'kong'zhi 实时控制
'shi'yan'yan'jiu 试验研究
'shou'de'lv 收得率
'shuang'zha'fa 双渣法
'shuang'zha'liu'zha'fa 双渣留渣法
'shui'leng'tong'mu 水冷铜模
'shui'leng'tong'mu'jie'jing'qi 水冷铜模结晶器
'suan'xing'zha 酸性渣
'suan'xing'zha'nian'du 酸性渣粘度
'sui'yu'lei 隋欲雷
'tan'de'gu'jia'zuo'yong 碳的骨架作用
'tiao'zheng'gang'ye'cheng'fen 调整钢液成分
'tiao'zheng'gang'ye'wen'du 调整钢液温度
'tie'ji'he'jin 铁基合金
'tie'kuang'shi'zao'kuai 铁矿石造块
'tie'shui 铁水
'tuan'kuang 团矿
'tuan'liu'she'liu 湍流射流
'tuo'tan'ji 脱碳剂
'tuo'tan'yuan'su 脱碳元素
'tuo'yang'cheng'du 脱氧程度
'tuo'yang'yuan'su 脱氧元素
'wang'di'rong 王迪荣
'wang'yu'ting 王宇婷
'wen'hu 稳弧
'wu'li're 物理热
'wu'li're'da 物理热大
'wu'xin'gan'ying'lu 无心感应炉
'xi'hua 细化
'xi'jing'li'gang 细晶粒钢
'xi'qi 吸气
'xian'wei'kong'xi 显微孔隙
'xiang'gang'ye 向钢液
'xiang'gang'ye'gong'yang 向钢液供氧
'xiang'gang'ye'gong'yang'de'neng'li 向钢液供氧的能力
'xiang'lin'liang'lu'gang 相邻两炉钢
'xiang'tu 相图
'xiao'kong'xi 小空隙
'xie'zhao'hui 谢朝晖
'xing'mei 型煤
'xuan'kuang 选矿
'xuan'wo 旋涡
'yan'jin'hui 闫金慧
'yan'xiao'jia 严晓佳
'yang'hua'fa'ye'lian 氧化法冶炼
'yang'hua'ji 氧化剂
'yang'hua'zha 氧化渣
'yang'qi'ding'chui'zhuan'lu 氧气顶吹转炉
'yang'qi'liu'liang 氧气流量
'yang'qi'zhuan'lu 氧气转炉
'yang'qi'zhuan'lu'lian'gang 氧气转炉炼钢
'yang'she'liu 氧射流
'yang'shi 氧势
'yang'shi'xian 氧势线
'yang'wen'jian 杨稳建
'yang'ya 氧压
'yang'yang 杨阳
'yang'yong'bin 杨永斌
'ye'fan 液泛
'ye'fan'xian'xiang 液泛现象
'ye'jin'ke'xue'yu'gong'cheng'xue'yuan 冶金科学与工程学院
'ye'jin'xiang'tu 冶金相图
'ye'lian'zhou'qi 冶炼周期
'yi'lu'gang 一炉钢
'ying'chui 硬吹
'ying'zhi'gang 硬质钢
'yu'ce'kong'zhi 预测控制
'yuan'cai'liao'xiao'hao'liang 原材料消耗量
'za'zhi 杂质
'za'zhi'yuan'su 杂质元素
'zao'kuai 造块
'zao'zha 造渣
'zao'zha'cai'liao 造渣材料
'zeng'tan'fa 增碳法
'zeng'tan'ji 增碳剂
'zha'de'yang'hua'xing 渣的氧化性
'zha'gang'cheng'fen 渣钢成分
'zha'liao 渣料
'zhang'ming'wan 张铭晚
'zhang'wen'qiao 张文巧
'zhen'jing'gang 镇静钢
'zheng'jiao'shi'yan 正交试验
'zheng'jiao'shi'yan'yan'jiu 正交试验研究
'zhi'jie'chuan'yang 直接传氧
'zhi'mi'hua 致密化
'zhong'gang 终钢
'zhong'nan'da'xue 中南大学
'zhong'tuo'yang'ji 终脱氧剂
'zhong'zha 终渣
'zhou'cheng'gang 轴承钢
'zhu'de'qing 朱德庆
'zhu'de'qing'jiao'shou 朱德庆教授
'zhu'rong 助熔
'zhu'rong'ji 助熔剂
'zhu'yang'fan 朱洋凡
'zhuan'gu'qiang'du 转鼓强度
'zhuan'gu'qiang'du'zhi'shu 转鼓强度指数
'zhuan'lu'fa'lian'gang 转炉法炼钢
'zhuan'lu'li'yong'xi'shu 转炉利用系数
'zhuang'liao'liang 装料量
'zi'yuan'jia'gong'xue 资源加工学
'zong'ye'lian'shi'jian 总冶炼时间
'zuo'ye'lv 作业率
