'ai'dui'le 哀对乐
'ai'dui'xian 爱对嫌
'ai'jian'ren'zhang 爱见人长
'an'dui'si 庵对寺
'an'dui'zhao 暗对昭
'an'liu'liang'hang'qing 岸柳两行青
'an'xian'shi'shang'zhi'xian 安闲市上之仙
'an'yi'zao 安邑枣
'ba'cha'shou 八叉手
'ba'hang'shu 八行书
'ba'qian'lu 八千路
'bai'bi'dui'xuan'gui 白璧对玄圭
'bai'bu'shan 白布衫
'bai'cao'man'jiao 白草满郊
'bai'chi'jiu'lou'gao 百尺酒楼高
'bai'dui'qing 白对青
'bai'duo'jiu 白堕酒
'bai'he'dui'qing'luan 白鹤对青鸾
'bai'jian'dui'zhu'yi 白简对朱衣
'bai'ju'xing'jiao'jiao 白驹形皎皎
'bai'mu'feng'fan'tao'ling'shu 百亩风翻陶令秫
'bai'pi'dui'qian'guan 百辟对千官
'bai'quan'dui'cang'ying 白犬对苍鹰
'bai'ri'dui'qing'chun 白日对青春
'bai'sou'dui'huang'tong 白叟对黄童
'bai'ye'dui'song'hua 柏叶对松花
'bai'yu'pin'hui'xian'ke'zuo 白羽频挥闲客坐
'ban'chi'hong'han'dan 半池红菡萏
'ban'dui'ma 班对马
'ban'fu'tong'ling 半幅通灵
'ban'xi'liu'shui'lv 半溪流水绿
'bao'dian'dui'jin'gou 宝钿对金钩
'bao'dui'ji 饱对饥
'bao'dui'zhu 宝对珠
'bao'jian'dui'jin'gang 宝剑对金缸
'bao'ma'dui'xiang'che 宝马对香车
'bao'wen'yu'shu'zhi'geng 饱闻玉树之赓
'bao'yi'mei'ban'ban 抱义美般般
'bei'dui'le 悲对乐
'bei'dui'nan 北对南
'bei'ling'ji'zhi'mei'si'xue 北岭几枝梅似雪
'bei'mu'dui'yi'nan 贝母对宜男
'bei'san'bai'wu'pian'shi'yong 备三百五篇诗咏
'bei'wei'dui'xi'qin 北魏对西秦
'bei'xue'dui'dong'jiao 北学对东胶
'bei'ye'dui'dong'jiao 北野对东郊
'bi'cao'dui'cang'tai 碧草对苍苔
'bi'chen'cha 碧沉茶
'bi'chi'yu'fu'wan'chui'gou 碧池渔父晚垂钩
'bi'dui'kai 闭对开
'bi'ge'dui'shu'han 笔格对书函
'bi'jie'gan'ge'cheng'yong'wu 必借干戈成勇武
'bi'sha'chuang 碧纱窗
'bi'you'zhuang 碧油幢
'bi'yu'dui'dan'sha 碧玉对丹砂
'bian'dui'bao 贬对褒
'bian'liu'shi'si'gua'yao'zhan 变六十四卦爻占
'bian'shao'chang'bei'zhou'mian'chao 边韶常被昼眠嘲
'bie'dui'yu 鳖对鱼
'bin'ke'liu'gong 宾客刘公
'bin'po'dui'mei'lv 鬓皤对眉绿
'bo'hu'dui'qi'jing 搏虎对骑鲸
'bo'lang'pai'chuan 波浪拍船
'bo'lang'qian'ceng 波浪千层
'bo'le'ma 伯乐马
'bo'shi'shan'chui'xun 伯氏善吹埙
'bu'ao'dui'jing'chai 布袄对荆钗
'bu'kui'dui'wu'jian 不愧对无渐
'bu'yi'jin 不疑金
'bu'yi'qiao 布衣樵
'bu'yu'tang'wang'fang'jian'zhao 不雨汤王方剪爪
'cai'hui'dui'liu'fen 蔡惠对刘蕡
'cai'kan'dui'diao'lan 彩槛对雕栏
'cai'lian'wa 采莲娃
'can'chan'you'zhao'ban'chuang'ming 残蟾犹照半窗明
'cang'you'jie 藏有节
'cao'gen'gai 草根荄
'cao'lv'dui'mang'xie 草履对芒鞋
'cao'meng'rong 草蒙茸
'cao'yi'mu'shi 草衣木食
'ce'ma'dui'qi'niu 策马对骑牛
'ceng'dian'se 曾点瑟
'cha'di'shui 茶敌睡
'cha'dui'jiu 茶对酒
'chai'men'ye'yong'you'seng'qiao 柴门夜永有僧敲
'chan'ming'dui'mu'xia 蝉鸣对暮夏
'chan'xin'dui'dao'yan 禅心对道眼
'chang'chuan'yi'dai 长川一带
'chang'duan'qiu'gui 肠断秋闺
'chang'ting'song'ke 长亭送客
'chang'yi'hua'ming'liu'mei 常忆花明柳媚
'chao'che'dui'jin'gu 朝车对禁鼓
'chao'dong'wan'shui'zi'tao'tao 朝东万水自滔滔
'chao'xu'dui'wan'xun 朝旭对晚曛
'chao'zai'jin'yi 朝宰锦衣
