'bi'yun'shuan 避孕栓
'fen'fen'ren'ben'chun'mi'shuan 芬芬壬苯醇醚栓
'ji'sheng'wei'bi'yun'shuan 计生委避孕栓
'ling'du'yu'pai'bi'yun'yao 零度鱼牌避孕药
'ling'du'yu'pai'ren'ben'chun'mi'shuan 零度鱼牌壬苯醇醚栓
'qi'zhi'ai'ren'ben'chun'mi'shuan 妻之爱壬苯醇醚栓
'ren'ben'chun'mi'shuan 壬苯醇醚栓
'ren'ben'chun'mi'shuan'duan'xiao'bi'yun'yao 壬苯醇醚栓短效避孕药
'ren'ben'chun'mi'shuan'wai'yong'bi'yun'yao 壬苯醇醚栓外用避孕药
'shuan'ji'xing'bi'yun'yao 栓剂形避孕药
