'dong'si'cheng 董思成
'huang'guan'heng 黄冠亨
'huang'ren'jun 黄仁俊
'huang'xu'xi 黄旭熙
'jin'dao'ying 金道英
'jin'ting'you 金廷祐
'li'di'nu 李帝努
'li'dong'he 李东赫
'li'kai'can 李楷灿
'li'ma'ke 李马克
'li'min'heng 李敏亨
'li'tai'rong 李泰容
'li'yong'qin 李永钦
'liu'yang'yang 刘扬扬
'luo'zai'min 罗渽民
'pu'zhi'sheng 朴志晟
'qian'kun 钱锟
'wen'tai'yi 文泰一
'xiao'de'jun 肖德俊
'xiao'jun 肖俊
'xu'ying'hao 徐英浩
'zheng'run'wu 郑闰伍
'zheng'zai'xuan 郑在玹
'zhong'ben'you'tai 中本悠太
'zhong'cheng'le 钟成乐
