'ba'gua'fu'qing 巴寡妇清
'ba'qing 巴清
'cai'ci 蔡赐
'cao'jiu 曹咎
'cao'wu'shang 曹无伤
'chen'sheng 陈胜
'chen'yu 陈馀
'cheng'miao 程邈
'chu'hou'huai'wang'yi'di'xiong'xin 楚后怀王义帝熊心
'deng'tong 邓通
'deng'zong 邓宗
'ding'gu 丁固
'dong'xian 董贤
'dong'yi 董翳
'fan'ju 范雎
'fan'sui 范睢
'fan'zeng 范增
'feng'jie 冯劫
'feng'qu'ji 冯去疾
'fu'miao 傅淼
'fu'su 扶苏
'gao'jian'li 高渐离
'ge'ying 葛婴
'gong'zi'gao 公子高
'han'guang 韩广
'hou'chu'huai'wang 后楚怀王
'hou'sheng 侯生
'hu'hai 胡亥
'hua'yang'gong'zhu 华阳公主
'huan'chu 桓楚
'huan'yi 桓齮
'huang'shi'gong 黄石公
'ji'bu 季布
'jiang'lv 将闾
'lao'ai 嫪毐
'li'si 李斯
'li'xin 李信
'li'you 李由
'li'zuo'che 李左车
'long'qie 龙且
'lu'ao 卢敖
'lv'bu'wei 吕不韦
'lv'chen 吕臣
'lv'ma'tong 吕马童
'lv'po'lou 吕婆楼
'mei'xuan 梅鋗
'meng'ao 蒙骜
'meng'jiang'nv 孟姜女
'meng'tian 蒙恬
'meng'wu 蒙武
'meng'yi 蒙毅
'mi'shu 芈姝
'nei'shi'teng 内史腾
'pu'jiang'jun 浦将军
'pu'jiang'jun 蒲将军
'qiang'hui 羌瘣
'qin'er'shi 秦二世
'qin'jia 秦嘉
'qin'san'shi 秦三世
'qin'san'shi'zi'ying 秦三世子婴
'qin'shi'huang 秦始皇
'qin'shi'huang'ying'zheng 秦始皇嬴政
'qin'wang'zi'ying 秦王子婴
'ren'xiao 任嚣
'shang'yang 商鞅
'she'jian 涉间
'shi'lu 史禄
'si'ma'ang 司马卬
'si'ma'dao'zi 司马道子
'si'ma'xin 司马欣
'song'liu 宋留
'song'yi 宋义
'su'jiao 苏角
'sui'he 随何
'sun'ben 孙贲
'tian'an 田安
'tian'dan 田儋
'tian'dou 田都
'tian'fu 田巿
'tian'heng 田横
'tian'rong 田荣
'tian'shi 田市
'tian'shu 田叔
'tu'sui 屠睢
'wang'ben 王贲
'wang'jian 王翦
'wang'li 王离
'wang'wan 王绾
'wang'yi 王翳
'wei'bao 魏豹
'wei'jiu 魏咎
'wei'lin 隗林
'wei'wang'jiu 魏王咎
'wu'chen 武臣
'wu'guang 吴广
'wu'rui 吴芮
'wu'she 武涉
'wu'zhu 无诸
'xia'wu'qie 夏无且
'xiang'bo 项伯
'xiang'ji 项籍
'xiang'liang 项梁
'xiang'qu 项渠
'xiang'yu 项羽
'xiang'zhuang 项庄
'xin'sheng 辛胜
'xin'zhui 辛追
'xiong'huai 熊槐
'xu'fu 徐福
'xu'gong 徐公
'yan'le 阎乐
'yin'tong 殷通
'ying'bu 英布
'ying'yin'man 嬴阴嫚
'ying'yin'man 嬴阴曼
'ying'zheng 嬴政
'ying'zi'ying 嬴子婴
'yu'ji 虞姬
'yu'zi'qi 虞子期
'yue'yang'gong'zhu 栎阳公主
'zang'tu 臧荼
'zhang'ao 张敖
'zhang'er 张耳
'zhang'han 章邯
'zhao'ben 赵贲
'zhao'gao 赵高
'zhao'ji 赵姬
'zhao'tuo 赵佗
'zhao'xie 赵歇
'zhong'li'mei 钟离眛
'zhou'shi 周市
'zhou'wen 周文
'zhu'jia 朱家
