'a'hai'fa 阿海珐
'an'gui 安规
'an'gui'kao'shi 安规考试
'an'gui'ti 安规题
'an'quan'cuo'shi 安全措施
'an'quan'cuo'shi'piao 安全措施票
'an'quan'jian'du 安全监督
'an'quan'jiang 安全奖
'an'quan'mao 安全帽
'an'quan'sheng'chan'yue 安全生产月
'an'quan'xue'xi 安全学习
'an'quan'yi'shi 安全意识
'an'quan'yuan 安全员
'an'que'ren'jian 按确认键
'an'shi'song'dian 按时送电
'an'wen 安稳
'ba'shou 把手
'bai'jiao'bu 白胶布
'ban'ben'sheng'ji 版本升级
'ban'hou'hui 班后会
'ban'qian'hui 班前会
'ban'zu'jian'she 班组建设
'bao'ao'yun 保奥运
'bao'cun'ding'zhi 保存定值
'bao'dian 保电
'bao'dian'jiang 保电奖
'bao'hu 保护
'bao'hu'ban'ben 保护版本
'bao'hu'ce'kong 保护测控
'bao'hu'ce'kong'ping 保护测控屏
'bao'hu'dian'yuan 保护电源
'bao'hu'gai'ding'zhi 保护改定值
'bao'hu'hui'lu 保护回路
'bao'hu'jiao'yan 保护校验
'bao'hu'ping 保护屏
'bao'hu'shi 保护室
'bao'hu'xiao'shi 保护小室
'bao'hu'xin'xi'zi'zhan 保护信息子站
'bao'hu'zhuang'zhi 保护装置
'bao'que 报缺
'bei'ban 背板
'bei'ban'tu 背板图
'bei'jing'si'fang 北京四方
'bei'zi'tou 备自投
'ben'ti'duan'zi'xiang 本体端子箱
'ben'ti'qing'wa'si 本体轻瓦斯
'ben'ti'wa'si 本体瓦斯
'ben'ti'ya'li'shi'fang 本体压力释放
'ben'ti'zhong'wa'si 本体重瓦斯
'bi'lv'cha'dong 比率差动
'bi'lv'zhi'dong 比率制动
'bian'bi 变比
'bian'ya'qi 变压器
'bian'ya'qi'bao'hu'ping 变压器保护屏
'biao'qian'ji 标签机
'biao'shi'pai 标示牌
'biao'zhun'hua'ban'zu 标准化班组
'bu'chang'xi'shu 补偿系数
'bu'ping'heng'xi'shu 不平衡系数
'bu'ting'dian 不停电
'bu'zhi'tu 布置图
'can'ya 残压
'cao'zuo'xiang 操作箱
'ce'kong 测控
'ce'kong'ping 测控屏
'ce'kong'zhuang'zhi 测控装置
'cha'dong 差动
'cha'dong'bao'hu 差动保护
'cha'dong'dian'liu 差动电流
'cha'liu 差流
'chang'yuan'shen'rui 长园深瑞
'chong'dian'bao'hu 充电保护
'chong'he'hou'jia'su 重合后加速
'chong'he'zha 重合闸
'chu'ji'gong 初级工
'chu'kou 出口
'chu'kou'ju'zhen 出口矩阵
'chu'kou'ya'ban 出口压板
'chu'que 处缺
'chu'ru'kou 出入口
'chu'ru'kou'ji'jian'xiu'tong'dao 出入口及检修通道
'chu'xian 出线
'da'cha 大差
'da'hao'guan 打号管
'da'hao'ji 打号机
'da'ji'kong 大集控
'da'ji'kong'gai'zao 大集控改造
'da'ji'kong'qie'gai 大集控切改
'da'jie'di 大接地
'da'jie'di'dian'liu'xi'tong 大接地电流系统
'da'ya'dian'yuan 打压电源
'dai'dian'she'bei 带电设备
'dan'tiao 单跳
'dan'xiang 单相
'dan'zhong 单重
'dao'zha 倒闸
'dao'zha 刀闸
'dao'zha'cao'zuo 倒闸操作
'dao'zha'qie'huan 刀闸切换
'di'dian'ya 低电压
'di'ding'zhi 低定值
'di'hou'bei 低后备
'di'xian 地线
'di'ya'ce 低压侧
'di'ya'jian'zai 低压减载
'di'zhou 低周
'dian'biao 点表
'dian'ji'dian'yuan 电机电源
'dian'ji'xing 点极性
'dian'kang'qi 电抗器
'dian'lan'dao 电缆刀
'dian'lan'gou 电缆沟
'dian'lan'pai 电缆牌
'dian'li'qi'ye 电力企业
'dian'li'sheng'chan 电力生产
'dian'liu'bi'suo 电流闭锁
'dian'liu'hu'gan'qi 电流互感器
'dian'liu'hui'lu 电流回路
'dian'rong'qi 电容器
'dian'ya'bi'suo 电压闭锁
'dian'ya'hu'gan'qi 电压互感器
'dian'ya'hui'lu 电压回路
'dian'ya'qie'huan 电压切换
'dian'yuan'cha'jian 电源插件
'diao'du'suo 调度所
'diao'du'zhong'xin 调度中心
'diao'zha 掉闸
'ding'xiang 定相
'ding'zhi 定值
'ding'zhi'dan 定值单
'ding'zhi'tu 定置图
'ding'zhi'wei'bian 定值未变
'du'gu'xian 独股线
'duan'feng 短封
'duan'lian'pian 短连片
'duan'lu'dian 短路点
'duan'lu'qi 断路器
'duan'zi 端子
'duan'zi'pai 端子排
'duan'zi'xiang 端子箱
'dui'ce 对侧
'dui'cheng'fen'liang'fa 对称分量法
'er'ci'hui'lu 二次回路
'er'ci'xian 二次线
'er'quan 二圈
'er'tai 二态
'fan'chou 反抽
'fan'cuo 反措
'fan'ji'xing 反极性
'fan'qi 反起
'fan'shi'gu'cuo'shi 反事故措施
'fang'tiao 防跳
'fang'tiao'ji'dian'qi 防跳继电器
'fang'zhi'tiao'yue 防止跳跃
'fang'zhi'wu'dong 防止误动
'fang'zhi'wu'peng 防止误碰
'fang'zhi'wu'zheng'ding 防止误整定
'fei'dian'liang 非电量
'fei'jin'shu'xing'duan'lu 非金属性短路
'fei'ni'ke'si 菲尼克斯
'fei'quan'xiang 非全相
'fei'tong'qi 非同期
'fen'liu 分流
