'a'la'lei 阿拉雷
'ba'gua'xing 八卦兴
'bao'liao'xing 爆料兴
'chang'sha'wang'zi 长沙王子
'chang'sha'ya'zi 长沙伢子
'dai'meng'xing 呆萌兴
'dan'dan 蛋蛋
'dan'dan'ge 蛋蛋哥
'ding'ge'de'qi'pa 定格的奇葩
'jiu'wo'nuan'nan 酒窝暖男
'lei'lei 蕾蕾
'lei'lei 雷雷
'shu'pian'ge 薯片哥
'wo'xing 我兴
'xing'tuo 兴陀
'xing'xing 兴兴
'xing'xing'ge 兴兴哥
'xing'ya'zi 兴伢子
'xing'ye'yi'ban'bu'gao'xiao 兴爷一般不搞笑
'xing'ye'zhang'tu'zi 兴爷张兔子
'yi'xing 艺兴
'zhang'dai'dai 张呆呆
'zhang'er'xing 张二兴
'zhang'meng'meng 张萌萌
'zhang'wu'sui 张五岁
'zhang'yi'xing 张艺兴
