'bei'jing'ke'gai'ban 北京课改版
'bei'jing'xin'jing'ban 北京新京版
'er'nian'ji'zhong'ying'shuang'yu 二年级中英双语
'liu'nian'ji'zhong'ying'shuang'yu 六年级中英双语
'san'nian'ji'zhong'ying'shuang'yu 三年级中英双语
'sheng'dian'wa 声典蛙
'sheng'dian'wa'dian'du'bi 声典蛙点读笔
'sheng'dian'wa'guan'fang'wang'zhan 声典蛙官方网站
'sheng'dian'wa'yu'yin'xia'zai 声典蛙语音下载
'sheng'dian'wa'zhong'ying'shuang'yu'ban 声典蛙中英双语版
'si'nian'ji'zhong'ying'shuang'yu 四年级中英双语
'wu'nian'ji'zhong'ying'shuang'yu 五年级中英双语
'yi'nian'ji'zhong'ying'shuang'yu 一年级中英双语
'yu'xue'lin 育学林
