'ban'shi'she'ji'quan 版式设计权
'ban'shui'biao'zhun'he'ji'suan'fang'fa 版税标准和计算方法
'bao'hu'zuo'pin'wan'zheng'quan 保护作品完整权
'bao'kan'zhuan'zai'zhai'bian'fa'ding'xu'ke 报刊转载摘编法定许可
'bei'xu'ke'ren'he'shou'rang'ren'de'quan'li'jie'xian 被许可人和受让人的权利界限
'biao'yan'quan 表演权
'biao'yan'yan'chu'he'biao'yan'zhe 表演演出和表演者
'biao'yan'zhe'de'cai'chan'quan 表演者的财产权
'biao'yan'zhe'de'quan'li 表演者的权利
'biao'yan'zhe'de'ren'shen'quan 表演者的人身权
'biao'yan'zhe'quan'de'bao'hu'qi 表演者权的保护期
'biao'zhun'de'zhu'zuo'quan'wen'ti 标准的著作权问题
'bo'fang'lu'yin'zhi'pin'fa'ding'xu'ke 播放录音制品法定许可
'bo'fang'zuo'pin'fa'ding'xu'ke 播放作品法定许可
'bu'shi'yong'zhu'zuo'quan'fa'de'shi'xiang 不适用著作权法的事项
'chu'ban'jing'wai'yin'xiang'zhi'pin'he'tong'de'deng'ji 出版境外音像制品合同的登记
'chu'ban'ta'ren'xiang'you'zhuan'you'chu'ban'quan'de'tu'shu 出版他人享有专有出版权的图书
'chu'ban'wai'guo'tu'shu'he'tong'de'deng'ji 出版外国图书合同的登记
'chu'ban'wen'zi'zuo'pin'bao'chou'de'ji'suan'fang'shi 出版文字作品报酬的计算方式
'chu'zu'quan 出租权
'chuang'zuo 创作
'dang'shi'ren'chen'shu'shen'bian'de'qi'xian 当事人陈述申辩的期限
'dui'biao'yan'zhe'quan'de'xian'zhi 对表演者权的限制
'dui'guang'bo'dian'shi'zu'zhi'quan'de'xian'zhi 对广播电视组织权的限制
'dui'yin'xiang'zhi'zuo'zhe'quan'de'xian'zhi 对音像制作者权的限制
'dui'zhu'zuo'quan'de'xian'zhi 对著作权的限制
'fa'biao'quan 发表权
'fa'ding'xu'ke 法定许可
'fa'lv'xing'zheng'fa'gui'gui'ding'de'qi'ta'zuo'pin 法律行政法规规定的其他作品
'fa'xing'quan 发行权
'fan'yi'quan 翻译权
'fang'ying'quan 放映权
'fei'fa'bi'kai'huo'zhe'po'huai'ji'shu'cuo'shi 非法避开或者破坏技术措施
'fei'fa'chu'zu'zuo'pin'he'lu'yin'lu'xiang'zhi'pin 非法出租作品和录音录像制品
'fei'fa'fa'biao'he'zuo'zuo'pin 非法发表合作作品
'fei'fa'fa'biao'ta'ren'zuo'pin 非法发表他人作品
'fei'fa'shi'yong'ta'ren'de'ban'shi'she'ji 非法使用他人的版式设计
'fei'fa'zai'ta'ren'zuo'pin'shang'shu'ming 非法在他人作品上署名
'fei'fa'zhan'lan'she'zhi'gai'bian'fan'yi'zhu'shi'zuo'pin 非法展览摄制改编翻译注释作品
'fu'zhi'quan 复制权
'gai'bian'quan 改编权
'guan'cang'he'li'shi'yong 馆藏合理使用
'guan'fang'wen'jian'ji'qi'guan'fang'yi'wen 官方文件及其官方译文
'guang'bo'dian'shi'zu'zhi'quan 广播电视组织权
'guang'bo'dian'shi'zu'zhi'quan'de'bao'hu'qi 广播电视组织权的保护期
'guang'bo'quan 广播权
'guo'jia'ji'guan'wei'zhi'xing'gong'wu'de'he'li'shi'yong 国家机关为执行公务的合理使用
'he'li'shi'yong 合理使用
'he'zuo'zuo'pin'zhu'zuo'quan'de'gui'shu'ji'qi'xing'shi 合作作品著作权的归属及其行使
'hui'bian'quan 汇编权
'hui'bian'zuo'pin 汇编作品
'hui'bian'zuo'pin'zhu'zuo'quan'de'gui'shu 汇编作品著作权的归属
'ji'ben'gao'chou'biao'zhun'ji'zi'shu'de'ji'suan'fang'shi 基本稿酬标准及字数的计算方式
'ji'suan'ji'ruan'jian 计算机软件
'ji'suan'ji'ruan'jian'zhu'zuo'quan'de'bao'hu'ban'fa 计算机软件著作权的保护办法
'jian'zhu'zuo'pin 建筑作品
'jiao'ke'shu'hui'bian'fa'ding'xu'ke 教科书汇编法定许可
'kou'shu'zuo'pin 口述作品
'li'fa'tong'yong'shu'biao'tong'yong'biao'ge'he'gong'shi 历法通用数表通用表格和公式
'lin'shi'cuo'shi 临时措施
'lu'yin'lu'xiang'zhi'pin'he'lu'yin'lu'xiang'zhi'zuo'zhe 录音录像制品和录音录像制作者
'mei'shu'zuo'pin 美术作品
'mian'fei'biao'yan'de'he'li'shi'yong 免费表演的合理使用
'min'jian'wen'xue'yi'shu'zuo'pin 民间文学艺术作品
'mo'xing'zuo'pin 模型作品
'piao'qie'ta'ren'zuo'pin 剽窃他人作品
'ping'lun'xing'he'li'shi'yong 评论性合理使用
'qin'fan'zhu'zuo'quan'de'min'shi'ze'ren 侵犯著作权的民事责任
'qin'fan'zhu'zuo'quan'de'xing'wei 侵犯著作权的行为
'qin'fan'zhu'zuo'quan'de'xing'zheng'ze'ren 侵犯著作权的行政责任
'qin'fan'zhu'zuo'quan'min'shi'su'song'de'di'yu'guan'xia 侵犯著作权民事诉讼的地域管辖
'qin'fan'zhu'zuo'quan'min'shi'su'song'shi'xiao 侵犯著作权民事诉讼时效
'qin'fan'zhu'zuo'quan'zui 侵犯著作权罪
'qin'quan'pei'chang'e'de'ji'suan 侵权赔偿额的计算
'qu'yi'zuo'pin 曲艺作品
'she'ying'zuo'pin 摄影作品
'she'zhi'quan 摄制权
'shi'shi'xin'wen 时事新闻
'shi'shi'xing'wen'zhang'de'he'li'shi'yong 时事性文章的合理使用
'shi'yong'zuo'pin'de'fu'chou'biao'zhun 使用作品的付酬标准
'shu'ming'quan 署名权
'su'qian'cai'chan'bao'quan 诉前财产保全
'su'qian'zheng'ju'bao'quan 诉前证据保全
'tu'shu'chu'ban'he'tong 图书出版合同
'tu'xing'zuo'pin 图形作品
'wai'guo'ren'wu'guo'ji'ren 外国人无国籍人
'wai'qu'cuan'gai'ta'ren'zuo'pin 歪曲篡改他人作品
'wang'luo'zhu'zuo'quan'qin'quan'an'jian'de'di'yu'guan'xia 网络著作权侵权案件的地域管辖
'wang'zhan'zhuan'zai'zhai'bian'fa'ding'xu'ke 网站转载摘编法定许可
'wei'bao'dao'shi'shi'xin'wen'de'he'li'shi'yong 为报道时事新闻的合理使用
'wei'jing'xu'ke'bo'fang'huo'zhe'fu'zhi'guang'bo'dian'shi 未经许可播放或者复制广播电视
'wei'tuo'zuo'pin'zhu'zuo'quan'de'gui'shu 委托作品著作权的归属
'wen'zi'zuo'pin 文字作品
'wu'dao'zuo'pin 舞蹈作品
'xi'ju'zuo'pin 戏剧作品
'xian'xing'deng'ji'bao'cun'cheng'xu'ji'qi'hou'xu'cuo'shi 先行登记保存程序及其后续措施
'xiao'shou'qin'quan'fu'zhi'pin'zui 销售侵权复制品罪
'xin'xi'wang'luo'chuan'bo'quan 信息网络传播权
'xin'xi'wang'luo'chuan'bo'quan'de'bao'hu'ban'fa 信息网络传播权的保护办法
'xiu'gai'quan 修改权
'xu'ke'quan 许可权
'yan'yi'zuo'pin'de'chu'ban 演绎作品的出版
'yan'yi'zuo'pin'zhu'zuo'quan'de'gui'shu 演绎作品著作权的归属
'yi'ci'xing'fu'chou'biao'zhun 一次性付酬标准
'yi'jing'fa'biao'de'zuo'pin 已经发表的作品
'yi'shu'xing'ti'yu'xiang'mu'de'zhu'zuo'quan'wen'ti 艺术性体育项目的著作权问题
'yin'shu'gao'chou'biao'zhun'he'ji'suan'fang'fa 印数稿酬标准和计算方法
'yin'xiang'zhi'zuo'zhe'de'quan'li 音像制作者的权利
'yin'xiang'zhi'zuo'zhe'quan'de'bao'hu'qi 音像制作者权的保护期
'yin'xiang'zhi'zuo'zhe'yu'biao'yan'zhe'de'guan'xi 音像制作者与表演者的关系
'yin'yue'zuo'pin 音乐作品
'ying'dang'you'zhu'zuo'quan'ren'xiang'you'de'qi'ta'quan'li 应当由著作权人享有的其他权利
