'ba'yu 鲅鱼
'ban'yue 半月
'bei'tiao'lou 北条楼
'bei'tiao'mei'dai'zi 北条美代子
'bo'lao'wu 伯劳屋
'bu'lei'si'ji 布雷斯鸡
'bu'xiao'de'chu'shi 不笑的厨师
'cai'bo'cheng'yi'lang 才波城一郎
'cang'lai'zhen'you'mei 仓濑真由美
'cha'ban'sheng 插班生
'chi'qi'qian'xia 赤崎千夏
'chuan'cheng'ling'zi 川澄绫子
'chuan'dao'li 川岛丽
'chuan'tian'shen'si 川田绅司
'chuang'zhen 创真
'cun'tian'tai'zhi 村田太志
'da'xi'sha'zhi 大西沙织
'da'yu'tang'wen'xu 大御堂文绪
'de'ke'lu'bo'ke'lu 的克鲁波克鲁
'de'mo'shu'shi 的魔术师
'diao'qie 吊切
'ding'shi'wu 定食屋
'dong'bei'de'yue'tu 东北的跃兔
'dou'dang'bu 兜档布
'dun'zhu'lei'liao'li 炖煮类料理
'duo'na'tuo'wu'tong'tian 多纳托梧桐田
'fa'jiao'wu'ben'pu 发酵屋本铺
'fei'sha'zi 绯沙子
'fen'zi'mei'shi'xue'de'shen'zhi'zi 分子美食学的神之子
'fen'zi'shi'wu'li'lun 分子食物理论
'fu'tian'bian'dang 富田便当
'fu'tian'you'zai 富田友哉
'ga'li'de'nv'wang'da'ren 咖喱的女王大人
'ga'li'liao'li 咖喱料理
'gai'fan'yan 盖饭研
'gang'ben'xin'yan 冈本信彦
'gao'qiao'mei'jia'zi 高桥美佳子
'gao'qiao'wei'nai'mei 高桥未奈美
'gong'li'yan'tao'hui 宫里研讨会
'guan'shou'ping 关守平
'guo'lu'qian'de'mo'nv 锅炉前的魔女
'hao'tian'lin'qing'zhi 豪田林清志
'he'xi'jian'wu 河西健吾
'hei'mu'chang'liang 黑木场凉
'heng'bin'zhong'hua'jie 横滨中华街
'heng'wei'ma'li 横尾麻里
'hou'teng'sha'xu'li 后藤沙绪里
'hua'jiang'xia'shu 花江夏树
'huang'jin'shi'dai 黄金时代
'hui'li'nai 绘里奈
'hui'li'nai'pai 绘里奈派
'ji'xing'de'gui'po 极星的鬼婆
'ji'xing'de'sheng'mu 极星的圣母
'ji'xing'ji 极星鸡
'ji'xing'liao 极星寮
'ji'ye'you'ji 吉野悠姬
'ji'zhi'guo'ning'ning 纪之国宁宁
'jia'wei'ya'yi 加隈亚衣
'jian'ao 煎熬
'jian'dao'chun'si 间岛淳司
'jin'teng'xiao'xing 近藤孝行
'jiu'chuan'ling 久川绫
'jiu'wo'zhao'ji 久我照纪
'kuang'quan 狂犬
'lai'hu'ma'sha'mei 濑户麻沙美
'liao'li 料理
'liao'li'dui'jue 料理对决
'liao'li'fen'zi'mei'shi'xue 料理分子美食学
'liu'lang'chu'shi 流浪厨师
'liu'tian'chun'yi 柳田淳一
'luo'lan'sha'pei'er 罗兰沙佩尔
'luo'ti'wei'qun 裸体围裙
'mao'ye'ai'yi 茅野爱衣
'mei'zuo'mao 美作昴
'mi'shu'zi 秘书子
'na'dou 纳豆
'nai'cun'jian'ci 乃村健次
'nei'tian'zhen'li 内田真礼
'neng'deng'ma'mei'zi 能登麻美子
'nv'mu'dao'dong'fu 女木岛冬辅
'pu'lu'si'pu'er'xun'zhang 普鲁斯普尔勋章
'qian'biao'xia'ya 千表夏芽
'qian'biao'zhi'hui 千表嬂嬒
'qian'jiu'bao'tao 茜久保桃
'qian'ri'xiang'zi 乾日向子
'qing'mu'da'wu 青木大吾
'qu'liao'li 麴料理
'ri'gao'li'cai 日高里菜
'ri'li'yang'zi 日笠阳子
'rou'lei'jiang'jun 肉类将军
'rou'mei 肉魅
'rui'shan 睿山
'rui'shan'zhi'jin'ye 睿山枝津也
'shan'tian'zhi'he 杉田智和
'shen'liang'zi 榊凉子
'shen'zhi'she 神之舌
'shi'ji 食戟
'shi'ji'zhi'ling 食戟之灵
'shi'jie'hou'bu 十杰候补
'shi'shang'jing'xiang 石上静香
'shi'shi'chu 食事处
'shi'yi 食医
'shi'zhi'mo'wang 食之魔王
'shui'dao'yu 水岛裕
'shui'hu'rou'pin 水户肉品
'shui'hu'yu'mei 水户郁魅
'shui'yuan'dong'mei 水原冬美
'si'gong'shi'fu 四宫师父
'si'gong'xiao'ci'lang 四宫小次郎
'si'wu'tang 四物汤
'si'ying'shi 司瑛士
'song'gang'zhen'cheng 松冈祯丞
'ta'ke'mi'a'er'di'ni 塔克米阿尔迪尼
'tang'dao'yin 堂岛银
'teng'jing'xue'dai 藤井雪代
'ti'qie'ai'li'si 薙切爱丽丝
'ti'qie'guo'ji'ke'yan'zu 薙切国际科研组
'ti'qie'hui'li'nai 薙切绘里奈
'ti'qie'ji 薙切蓟
'ti'qie'xian'zuo'wei'men 薙切仙左卫门
'tian'suo'hui 田所惠
'tie'wan'huo'long'xiao'jie 铁腕火龙小姐
'wan'jing'shan'er 丸井善二
'wei'jue'di'ping'xian'de'kai'tuo'zhe 味觉地平线的开拓者
'wei'jue'di'ping'xian'de'tan'qiu'zhe 味觉地平线的探求者
'wei'jue'shi'jie'de'ge'xin'zhe 味觉世界的革新者
'wei'zhi'bo'xue'bo'shi 味之博学博士
'wu'wu 雾屋
'wu'zhi'nv'di 雾之女帝
'xi'jian'run 汐见润
'xiang'liao'quan'wei 香料权威
'xiao'jin'jing'ya'ji 小金井亚纪
'xiao'lin'long'dan 小林龙胆
'xiao'lin'yu'jie 小林裕介
'xiao'shan'li'ye 小山力也
'xiao'xi'kuan'yi 小西宽一
'xiao'ye'you'shu 小野友树
'xin'hu'fei'sha'zi 新户绯沙子
'xin'hu'jia 新户家
'xing'ping 幸平
'xing'ping'cheng'yi'lang 幸平城一郎
'xing'ping'chuang'zhen 幸平创真
'xiu'luo 修罗
'xue'tong'zi 雪童子
'xun'zhi'liao'li 熏制料理
'yan'xun'gui'gong'zi 烟熏贵公子
'yao'shan 药膳
'yao'shan'cai'pin'de'hang'jia 药膳菜品的行家
'yao'shan'liao'li 药膳料理
'ye'shan'liang 叶山亮
'ye'shou'sen'lin'de'xiao'hong'mao 野兽森林的小红帽
'yi'jin'zhan'lie 衣襟绽裂
'yi'sa'mi'a'er'di'ni 伊萨米阿尔迪尼
'yi'se'hui 一色慧
'yi'wu'qi'jun 伊武崎峻
'yin'he'wan'zhang 银河万丈
'yin'zuo'ri'lun 银座日轮
'ying'jing'xiao'hong 樱井孝宏
'yuan'yue'du'jia'cun 远月度假村
'yuan'yue'shi'jie'ping'yi'hui 远月十杰评议会
'yuan'yue'xuan'ba'sai 远月选拔赛
'yuan'yue'xue'yuan 远月学园
'yue'tian'zhi'jian 月天之间
'zhai'teng'zong'ming 斋藤综明
'zhao'dai'bu'zhou 招待不周
'zhen'zhong'nai'xu 贞冢奈绪
'zhong'bai'she'niao'juan 中百舌鸟绢
'zhong'cun'you'yi 中村悠一
'zhong'shu'mei'shi'ji'guan 中枢美食机关
'zhong'tian'li'sha 种田梨沙
'zhuang'hui'yuan 庄惠园
'zhui'zong'zhe 追踪者
'zi'an'wu'ren 子安武人
'zi'luo'lan'da'dao'shang'dian'jie 紫罗兰大道商店街
'zong'shuai 总帅
'zou'fang'bu'shun'yi 诹访部顺一
'zuo'fu'tong'zi 座敷童子
'zuo'teng'zhao'er 佐藤昭二
