'a'er'tei'mi'si 阿耳忒弥斯
'bo'na'de 伯纳德
'chi'wan'yong'bing'tuan 赤腕佣兵团
'chun'jie'de'ma'li'ya 纯洁的玛利亚
'dao'tian'min 岛田敏
'hua'jiang'xia'shu 花江夏树
'hua'ze'xiang'cai 花泽香菜
'ji'er'bo'te 吉尔伯特
'ji'yao'mu 纪尧姆
'jia'er'fa 迦尔法
'jia'wei'ya'yi 加隈亚衣
'jin'yuan'shou'zi 金元寿子
'lu'mei'bo'ji'yao'mu 鲁梅伯纪尧姆
'luo'luo'te 罗洛特
'ma'li'ya 玛利亚
'ma'li'ya'sen'lin 玛丽亚森林
'ma'sha 玛莎
'mi'jia'le 米迦勒
'neng'deng'ma'mei'zi 能登麻美子
'pu'li'a'pu'si 普里阿普斯
'ri'li'yang'zi 日笠阳子
'san'zhai'jian'tai 三宅健太
'sheng'mu 圣母
'wei'fu 维弗
'wen'che'si'te 温彻斯特
'xiao'dao'xing'zi 小岛幸子
'xiao'song'wei'ke'zi 小松未可子
'xiao'ye'xian'zhang 小野贤章
'xiao'ye'you'shu 小野友树
'yi'cheng'mei'you'xi 一城美由希
'yi'wan 伊万
'yi'xi'jie 以西结
'ying'jing'xiao'hong 樱井孝宏
'yue'se'fu 约瑟夫
