'chi'chan 黐纏
'chi'jia 黐家
'chi'tou'po 黐頭婆
'chi'xian 黐線
'chi'ya'chi'zhao 黐牙黐爪
'chi'zhu 黐住
'gui'shi'dou'fu 鬼食豆腐
'hu'tu 鶻突
'ni'mai 匿埋
'ren'huan'xi 人歡喜
'tan'cha 歎茶
'tan'de'yi 貪得意
'tan'liang 貪靚
'tan'qi 嘆氣
'tan'shi'jie 歎世界
'tan'wei'shi'shi 貪威識食
'tan'xi 嘆息
'tui'chang'tou 褪腸頭
'tui'tai 褪舦
'xi'wen'zai 細蚊仔
'xun'ji 揗雞
'xun'xun'zhen 揗揗震
'yan'xian'ya'dan 醃咸鸭蛋
'yan'xian'yu 醃咸鱼
'zi'ju'dan'zhuan 趑車噉轉
