'a'mu'chang'ren'ce 阿母常仁恻
'ai'ai'san'zi'yu 哀哀三字狱
'ai'cong'zhong'xi'bu'ke'sheng 哀从中兮不可胜
'ai'er'bu'jian'hen'wu'qiong 爱而不见恨无穷
'ai'ji'bu'neng 爱既不能
'ai'jiao'sheng'cui'lie 哀叫声摧裂
'ai'tan'wu'qiong'yi 哀叹无穷已
'ai'xiang'chan'mian'xi'che'xin'sui 哀响缠绵兮彻心髓
'ai'yun'shan'yi'you'qiu 爱云山以幽求
'an'de'bu'yi'xiong'pi'zhan 安得不以熊罴战
'an'de'gan'yu'xin'zhi'wei'ning 安得感余心之未宁
'an'de'song'wo'zhi'ru'pang 安得送我置汝旁
'an'ma'gui'xi'jia'ren'san 鞍马归兮佳人散
'an'nie'dong'liang'cheng'du'mu 暗啮栋梁成蠹木
'an'shang'huo'xi'xiang'ying 岸上火兮相迎
'an'xing'yu'ci 安行于次
'an'yong'wei'long'ku'tian'he 安用为龙窟天河
'an'zhi'bu'shi'juan'she'xing 安知不是卷舌星
'ang'ang'qi'chi'qu 昂昂七尺驱
'ao'e'wu'yan 敖恶无厌
'ao'you'si'hai'qiu'qi'huang 遨游四海求其凰
'ao'zai'shan'xi'di'ang 鳌载山兮低昂
'ba'jian'huo'yu'jiao'long'zheng 拔剑或与蛟龙争
'ba'jian'yu'zhan'qie'fu'xiu 拔剑欲斩且复休
'ba'jiu'da'hu'xi'jun'lin'wo'ju 把酒大呼兮君临我居
'ba'lan'tang 拔兰堂
'ba'shang'qiu'kong'yun'ying'mei 拔上秋空云影没
'ba'wan'si'qian'mao'qiao 八万四千毛窍
'ba'yi'tang'yang'ba'feng'sheng 八佾倘佯八风生
'bai'chan'yi'guan 百廛亦官
'bai'chang'yun'xi'lie'hui'feng 摆长云兮捩回风
'bai'gu'bu'zhi'shui 白骨不知谁
'bai'guan'bing'ru'xi 百官并入兮
'bai'guan'ji'ji 百官济济
'bai'hu'tiao'liang'huang'hu'li 白狐跳梁黄狐立
'bai'ju'yi'bu'neng'wang'qing'yin 白居易不能忘情吟
'bai'ju'yi'chi'luo'ci 白居易齿落辞
'bai'li'dan'bi 百力殚弊
'bai'lu'hu'xi'fan'fei 白鹭忽兮翻飞
'bai'ma'jiang'jun'ruo'lei'dian 白马将军若雷电
'bai'niao'bu'cai'cheng'hao'qiu 百鸟不猜称好逑
'bai'niao'bu'zheng'yuan'feng'xi 百鸟不争缘凤惜
'bai'ou'xi'fei'lai 白鸥兮飞来
'bai'ri'heng'kong'xing'xiu'jian 白日横空星宿见
'bai'ri'shang'sheng'ying'bu'e 白日上升应不恶
'bai'ri'xi'jiang'duan 白日兮将短
'bai'tou'luan'fa'chui'guo'er 白头乱发垂过耳
'bai'yuan'wo'tao'xi'lai'xi 白鼋涡涛戏濑兮
'bai'yun'xi'gui'lai 白云兮归来
'bai'yun'zheng'rong'rong 白云正溶溶
'bai'zhe'bu'hui'xi'ci'wu'ci'zhi 百折不回兮此物此志
'ban'zong'zong 般纵纵
'bao'cang'wan'yu'xi'yun'ba'huang 包藏万宇兮孕八荒
'bao'han'dong'zhi'xi'shun'rong'ku 包涵动植兮顺荣枯
'bao'tong'san'shi'shi'jia'yan 报通三世释迦言
'bao'yin'nue'huo 暴淫虐惑
'bao'zhou'si'jie'chen'fu 宝洲四皆臣伏
'bei'chun'she'xia'xi 背春涉夏兮
'bei'du'hui'xi'xun'liu'nan 北渡回兮迅流难
'bei'feng'li'xi'su'leng'leng 北风厉兮肃冷冷
'bei'feng'wei'wo'cong'tian'lai 悲风为我从天来
'bei'hu'jin'xi'xing'ren'jue 北户墐兮行人绝
'bei'ji'guan'xi'si'fan'xian 悲急管兮思繁弦
'bei'jia'liao'li'chui'wu'yi 悲笳嘹唳垂舞衣
'bi'cang'zhe'he'gu 彼苍者何辜
'bi'e'qi'yun'zi 必遏其孕孳
'bi'er'jiao'rou'ju'shu 俾尔嚼肉咀蔬
'bi'er'zhi'yu'yue'xi 俾尔之愉悦兮
'bi'jian'yue'jie'shen 必俭约戒身
'bi'jue'qi'yuan'qi 必绝其蝝蚔
'bi'po'qian'jiu'bang 逼迫迁旧邦
'bi'ri'zhi'cha 彼日之差
'bi'shou'qi'fu 彼受其福
'bi'tian'lang'lang'xi'ai'ri'hui 碧天朗朗兮爱日晖
'bi'wa'ju'song'zhu'fu'guan 弊蛙拘送主府官
'bi'wan'liu'zhi'hun'ru'xi 彼万流之混入兮
'bi'xing'yuan'zui'qu'xiang'qi 避刑远罪趋祥祺
'bi'yong'xian'zheng 必用贤正
'bian'cong'ge'dao'chu'xi'qing 便从阁道出西清
'bian'huang'yu'hua'yi 边荒与华异
'bian'lu'huan 遍胪欢
'bian'tou'gong'qing'reng'du'jiao 边头公卿仍独骄
'bian'wei'ren'nu 变为人奴
'bian'xia'tian'huang'tian'yi'shui 便下天潢天一水
'bian'yu'xiang'yue'tao'yao'yu'tian'di'yi 便欲相约讨药与天帝医
'bian'zhou'cheng'men'chao'bu'kai 汴州城门朝不开
'bie'hou'dao'lu'zu'ge 别后道路阻隔
'bie'yang'ji'zi'lian'shen'jun 别养骥子怜神俊
'bie'zhi'nian'zhi'xi'sheng'zhang'bian'bi 憋之念之兮生长边鄙
'bin'xing'xing'er'yi'bai 鬓星星而已白
'bin'yan'zhi'zhi 宾筵秩秩
'bin'yu'san'xi'fu'xiang'yi 宾欲散兮复相依
'bing'fu'qu'yi 冰复去矣
'bing'guang'quan'yao'gui'wo'yue 并光全耀归我月
'bing'jian'wan'guo 并建万国
'bing'long'lin'xi'nan'rong'dao 冰龙鳞兮难容舠
'bing'qi'he'sheng'xi'mo'guo'wo'zui'ku 禀气合生兮莫过我最苦
'bing'qi'huan'xi'ning'qi'jie 炳其焕兮凝其洁
'bing'qu'xu'xi'chang'er'hai 并曲溆兮怅而还
'bing'sheng'tang'shi 冰生唐时
'bing'shuang'lin'lin'xi'shen'ku'han 冰霜凛凛兮身苦寒
'bo'lian'zhu'xi'wen'ta'jiang 波连珠兮文沓绛
'bo'ming'zheng'zhi'fei'lian'yong 薄命正值飞廉慵
'bo'shi'chu'li 袯襫锄犁
'bo'xiao'sheng'er'shang'wen 波小声而上闻
'bo'yi'e'si'huang'kou'fei 伯夷饿死黄口肥
'bo'zhi'jie'xi'nian'si'nan 薄志节兮念死难
'bo'zhong'hu'xi'dan'er'xian 泊中湖兮澹而闲
'bu'bian'ci'xiong'wu'ben'zu 不辨雌雄无本族
'bu'bian'yan'yu'chi 不辨妍与媸
'bu'cong'ren'yan 不从人言
'bu'de'ling'tun'ju 不得令屯聚
'bu'de'xiang'sui'xi'kong'duan'chang 不得相随兮空断肠
'bu'de'xiang'wen'zhi 不得相闻知
'bu'de'yi 不得已
'bu'de'yi'ye 不得已耶
'bu'de'yu'fei'xi 不得於飞兮
'bu'de'zai'lang'ba'qian 不得在郎罢前
'bu'dong'bu'ji 不冻不饥
'bu'fa'yan'ni'fei'yi'zhao 布发掩泥非一朝
'bu'fang'dao'mai'wang'er'deng'xian'xi 不妨导脉望而登仙兮
'bu'feng'bu'fu 不丰不敷
'bu'feng'shan'xi'an'zhi'wai 不封禅兮安知外
'bu'gan'qi'yi'wei'jian'qi 不敢起意为奸欺
'bu'guo'bu'xi 不虢不赩
'bu'ji'yu'niao'que 不集于鸟雀
'bu'jing'bu'yi 不惊不逸
'bu'jue'ti'xia'xi'zhan'shang 不觉涕下兮沾裳
'bu'kan'qi'li'ma 不堪其詈骂
'bu'ke'jiu'hu 不可救乎
'bu'ke'yi'you'xi 不可以游息
'bu'neng'juan'shen'xi'xin'you'yi 不能捐身兮心有以
'bu'neng'qin'xi'qi'bing'ying 不能寝兮起屏营
'bu'quan'bu'que 不全不缺
'bu'ran'jue'li'sheng'tian'qu 不然绝粒升天衢
'bu'ran'ming'ke'you'di'du 不然鸣珂游帝都
'bu'ren'yu'zhi'ci 不忍与之辞
'bu'sheng'bu'pi 不升不圮
'bu'shu'yue'du'shen 部署岳渎神
'bu'wang'bu'diao 不网不钓
'bu'wei'can'sheng'xi'que'de'xuan'gui 不谓残生兮却得旋归
